#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
CATEGORY=Special Ability|Bardic Knowledge.MOD	TYPE:Lore																																									
CATEGORY=Special Ability|Breath Fire ~ Hydra.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Frost ~ Hydra.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Cold.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Corrosive Gas.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Fire.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Force.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Paralyzing Gas.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Repulsion Gas.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
CATEGORY=Special Ability|Breath Weapon ~ Cone of Sleep.MOD	SERVESAS:ABILITY=Special Ability|Breath Weapon																																									
