SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																															
#																																	
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define				BONUS				STACK	MULT	CHOOSE	SELECT														Source Page
#Self 																																	
Permanency Spell / Extend Tentacles	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:Self Only, (2,000XP), Caster Level %1.|%LIST			DEFINE:PermanecyExtendTentaclesLVL|0				BONUS:VAR|PermanecyExtendTentaclesLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyExtendTentaclesLVL|Extend Tentacles	COST:0												SOURCEPAGE:SS
Permanency Spell / Fins to Feet	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:Self Only, (1,000XP), Caster Level %1.|%LIST			DEFINE:PermanecyFinsToFeetLVL|0				BONUS:VAR|PermanecyFinsToFeetLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyFinsToFeetLVL|Fins to Feet	COST:0												SOURCEPAGE:SS
# Other																																	
Permanency Spell / Air Breating	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(1,500XP), Caster Level %1.|%LIST			DEFINE:PermanecyAirBreathingLVL|0				BONUS:VAR|PermanecyAirBreathingLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|13|14|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyAirBreathingLVL|Air Breathing	COST:0												SOURCEPAGE:SS
Permanency Spell / Blindsight	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(1,500XP), Caster Level %1.|%LIST			DEFINE:PermanecyBlindsightLVL|0				BONUS:VAR|PermanecyBlindsightLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyBlindsightLVL|Blindsight	COST:0												SOURCEPAGE:SS
Permanency Spell / Cloud Wings	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(1,000XP), Caster Level %1.|%LIST			DEFINE:PermanecyCloudWingsLVL|0				BONUS:VAR|PermanecyCloudWingsLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyCloudWingsLVL|Cloud Wings	COST:0												SOURCEPAGE:SS
Permanency Spell / Fuse Arms	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(1,500XP), Caster Level %1.|%LIST			DEFINE:PermanecyFuseArmsLVL|0				BONUS:VAR|PermanecyFuseArmsLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|11|12|13|14|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyFuseArmsLVL|Fuse Arms	COST:0												SOURCEPAGE:SS
Permanency Spell / Girallon's Blessing	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(1,500XP), Caster Level %1.|%LIST			DEFINE:PermanecyGirallonSBlessingVL|0				BONUS:VAR|PermanecyGirallonSBlessingLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|13|14|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyGirallonSBlessingLVL|Girallon's Blessing	COST:0												SOURCEPAGE:SS
Permanency Spell / Improved Blindsight	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(2,500XP), Caster Level %1.|%LIST			DEFINE:PermanecyImprovedBlindsightLVL|0				BONUS:VAR|PermanecyImprovedBlindsightLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|15|16|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyImprovedBlindsightLVL|Blindsight (Improved)	COST:0												SOURCEPAGE:SS
Permanency Spell / Improved Enlarge	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:(2,500XP), Caster Level %1.|%LIST			DEFINE:PermanecyImprovedEnlargeLVL|0				BONUS:VAR|PermanecyImprovedEnlargeLVL|%LIST					MULT:YES	CHOOSE:NUMCHOICES=1|STRING|17|18|19|20		SPELLS:Permanency Spell|TIMES=ATWILL|CASTERLEVEL=PermanecyImprovedEnlargeLVL|Enlarge (Improved)	COST:0												SOURCEPAGE:SS
Permanency Spell / Improved Reduce	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Low-Light Vision	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Major Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Rapid Burrowing	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Scent	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Superior Resistance	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Weapon of Energy	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
Permanency Spell / Wings of the Sea	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.																													SOURCEPAGE:SS
# Location																																	
Permanency Spell / Bridge of Sound	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:Location, (1,000XP), Caster Level %1.|%LIST																												SOURCEPAGE:SS
Permanency Spell / Illusory Pit	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:Location, (1,000XP), Caster Level %1.|%LIST																												SOURCEPAGE:SS
Permanency Spell / Wall of Limbs	CATEGORY:Special Ability	TYPE:SpecialQuality.PermanencySpell		DESC:.	DESC:Location, (1,000XP), Caster Level %1.|%LIST																												SOURCEPAGE:SS
