SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																								
																										
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier		Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus
# Ray weapons																										
Energon Energy Ray		PROFICIENCY:WEAPON|Spells(Ray)		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light		SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:30		SOURCEPAGE:MM	MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Energon Traits					
Eldritch Blast		PROFICIENCY:WEAPON|Spells(Ray)		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:60	SPROP:+%d%|EldritchBlast|EldritchBlastDie	SOURCEPAGE:CA	MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Eldritch Blast					
Coldfire		PROFICIENCY:WEAPON|Spells(Ray)		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:15	SPROP:+%d%|Coldfire|ColdfireDie	SOURCEPAGE:Mon	MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Coldfire					
Glacial Ray		PROFICIENCY:WEAPON|Spells(Ray)		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d12	CRITRANGE:1	CRITMULT:x2					RANGE:15		SOURCEPAGE:Fro	MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Glacial Ray					
Rimefire Bolt		PROFICIENCY:WEAPON|Spells(Ray)		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:30	SPROP:+%d%|RimefireBolt|RimefireDie	SOURCEPAGE:Fro	MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Rimefire Bolt					
Urophion Strand		PROFICIENCY:WEAPON|Spells(Ray)		TYPE:Weapon.Natural.Ranged.Finesseable.Unarmed.Touch	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:0	CRITRANGE:1	CRITMULT:x2					RANGE:50		SOURCEPAGE:LoM	MODS:NO	PREABILITY:1,CATEGORY=Special Ability,Strands					
																										
# Natural Reach Weapon																										
Gouger Tongue	OUTPUTNAME:Tongue	PROFICIENCY:WEAPON|Gouger Tongue		TYPE:Weapon.Natural.Melee.Reach.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:0	CRITRANGE:1	CRITMULT:x3				REACH:15			SOURCEPAGE:Mon	MODS:NO	PRERACE:1,Beholderkin (Gouger)					
Ice Toad Tongue	OUTPUTNAME:Tongue	PROFICIENCY:WEAPON|Ice Toad Tongue		TYPE:Weapon.Natural.Melee.Reach.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:0	CRITRANGE:1	CRITMULT:x2				REACH:10			SOURCEPAGE:Fro	MODS:NO	PRERACE:1,Ice Toad					
Bonedrinker Tentacle	OUTPUTNAME:Tentacle	PROFICIENCY:WEAPON|Bonedrinker Tentacle		TYPE:Weapon.Natural.Melee.Reach.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d10	CRITRANGE:1	CRITMULT:x2				REACH:10			SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Bonedrinker					
Canoloth Tongue	OUTPUTNAME:Tongue	PROFICIENCY:WEAPON|Canoloth Tongue		TYPE:Weapon.Natural.Melee.Reach.Piercing	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2				REACH:20			SOURCEPAGE:MM3	MODS:NO	PRERACE:1,Yugoloth (Canoloth)					
Ahuizotl Tail Hand	OUTPUTNAME:Tail Hand	PROFICIENCY:WEAPON|Ahuizotl Tail Hand		TYPE:Weapon.Natural.Melee.Reach.Bludgeoning	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:L	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x2				REACH:10			SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Ahuizotl					
Darkweaver Tentacle	OUTPUTNAME:Tentacle	PROFICIENCY:WEAPON|Darkweaver Tentacle		TYPE:Weapon.Natural.Melee.Reach.Bludgeoning	COST:0	WT:0	WIELD:Light	SLOTS:1	SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2				REACH:10			SOURCEPAGE:FFo	MODS:NO	PRERACE:1,Darkweaver					
