SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net								
										
# Skill Name	Key Stat	Untrained?	Type	Source Page	Skill Penalty Apply	Visible	Bonus to skill	Choose	Modify VAR	Temporary effect description
Craft (Calligraphy)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Calligraphy)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=CalligraphyTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used
Craft (Gemcutting).MOD	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Gemcutting)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=GemcuttingTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used			
Craft (Iceworking)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Iceworking)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=IceworkingTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used
Craft (Locksmithing)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Locksmithing)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=LocksmithingTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used
Craft (Stonecarving)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Stonecarving)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=StonecarvingTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used
Craft (Woodcarving)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Woodcarving)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=WoodcarvingTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used
Craft (Weaving)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Craft	SOURCEPAGE:Sottinteso	TEMPBONUS:PC|SKILL|Craft (Weaving)|-2|TYPE=Circumstance|!PREITEM:1,TYPE=WeavingTools					TEMPDESC:Craft skill checks are made with a -2 circumstance penalty If improvised tools are used
Knowledge (Tactics)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Sottinteso						
Knowledge (Underdark)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Sottinteso						
Knowledge (Lycanthrope Lore)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Sottinteso						
Knowledge (Poison)	KEYSTAT:INT	USEUNTRAINED:NO	TYPE:Intelligence.Knowledge	SOURCEPAGE:Sottinteso						
Perform (Chant)	KEYSTAT:CHA	USEUNTRAINED:NO	TYPE:Charisma.Perform	SOURCEPAGE:Sottinteso						
Profession (Apothecary)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Brewer)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Cook)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Driver)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Engineer)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:Sottinteso						
Profession (Executioner)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:Sottinteso						
Profession (Fisher)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Guide)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Herdsman)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Innkeeper)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Lumberjack)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
Profession (Miller)	KEYSTAT:WIS	USEUNTRAINED:NO	TYPE:Wisdom.Profession	SOURCEPAGE:srdskillsii.rtf						
