SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
								
###Block: Region								
# Template Name	Visible							
# Human Region A/B								
Canjar Favored	VISIBLE:NO	FAVOREDCLASS:Wizard	SOURCEPAGE:RLPHB	
Corvara Favored	VISIBLE:NO	FAVOREDCLASS:Rogue	SOURCEPAGE:RLPHB					
Equaar Favored	VISIBLE:NO	FAVOREDCLASS:Ranger	SOURCEPAGE:RLPHB					
Kanii Favored	VISIBLE:NO	FAVOREDCLASS:Rogue	SOURCEPAGE:RLPHB					
Naiat Favored	VISIBLE:NO	FAVOREDCLASS:Bard	SOURCEPAGE:RLPHB					
Vatraska Favored	VISIBLE:NO	FAVOREDCLASS:Cleric	SOURCEPAGE:RLPHB					
Zarovan Favored	VISIBLE:NO	FAVOREDCLASS:Sorcerer	SOURCEPAGE:RLPHB					

Bite (Fine)	VISIBLE:NO	PRESIZEEQ:F	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1
Bite (Diminutive)	VISIBLE:NO	PRESIZEEQ:D	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2
Bite (Tiny)	VISIBLE:NO	PRESIZEEQ:T	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3
Bite (Small)	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4
Bite (Medium)	VISIBLE:NO	PRESIZEEQ:M	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6
Bite (Large)	VISIBLE:NO	PRESIZEEQ:L	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8
Bite (Huge)	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6
Bite (Gargantuan)	VISIBLE:NO	PRESIZEEQ:G	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d6
Bite (Colossal)	VISIBLE:NO	PRESIZEEQ:C	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6
#
Wing Slap (Fine)	VISIBLE:NO	PRESIZEEQ:F	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2
Wing Slap (Diminutive)	VISIBLE:NO	PRESIZEEQ:D	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3
Wing Slap (Tiny)	VISIBLE:NO	PRESIZEEQ:T	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4
Wing Slap (Small)	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6
Wing Slap (Medium)	VISIBLE:NO	PRESIZEEQ:M	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8
Wing Slap (Large)	VISIBLE:NO	PRESIZEEQ:L	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6
Wing Slap (Huge)	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d6
Wing Slap (Gargantuan)	VISIBLE:NO	PRESIZEEQ:G	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6
Wing Slap (Colossal)	VISIBLE:NO	PRESIZEEQ:C	NATURALATTACKS:Wing Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,6d6
