SOURCELONG:Pathfinder Srd	SOURCESHORT:PFSrd	SOURCEWEB:https://sites.google.com/site/pathfinderogc										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE
# Class Name req	Requirements	FINE										
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE			
# Class Name 4	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)							
#(level number)	ADD:SPELLCASTER o CAST	ADD:FEAT Proficiencies	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Druid.MOD	CSKILL:Fly											
CLASS:Sorcerer.MOD	CSKILL:Fly											
CLASS:Wizard.MOD	CSKILL:Fly											
#												
###TODO: CONTIGUOUS:Sorcerer												
CLASS:Sorcerer Bloodline	HD:6	TYPE:Base.PC	ABB:BSor	MAXLEVEL:20	SOURCEPAGE:PFSrd	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE		SERVESAS:CLASS|Sorcerer	
#CLASS:Sorcerer Bloodline												
CLASS:Sorcerer Bloodline	STARTSKILLPTS:2	CSKILL:Appraise|Bluff|TYPE.Craft|Fly|Intimidate|Knowledge (Arcana)|TYPE.Profession|Spellcraft|Use Magic Device										
CLASS:Sorcerer Bloodline	SPELLSTAT:CHA	SPELLTYPE:Arcane	MEMORIZE:NO		BONUS:CASTERLEVEL|Sorcerer Bloodline|CL	SPELLLIST:1|Sorcerer						
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Sorcerer Bloodline
###Block: Bloodline												
1	BONUS:VAR|BloodlineLVL|CL	ABILITY:Special Ability|AUTOMATIC|Sorcerer Bloodline										
#												
1	CAST:0,3	KNOWN:4,2	AUTO:FEAT|Eschew Material									
2	CAST:0,4	KNOWN:5,2										
3	CAST:0,5	KNOWN:5,3										
4	CAST:0,6,3	KNOWN:6,3,1										
5	CAST:0,6,4	KNOWN:6,4,2										
6	CAST:0,6,5,3	KNOWN:7,4,2,1										
7	CAST:0,6,6,4	KNOWN:7,5,3,2										
8	CAST:0,6,6,5,3	KNOWN:8,5,3,2,1										
9	CAST:0,6,6,6,4	KNOWN:8,5,4,3,2										
10	CAST:0,6,6,6,5,3	KNOWN:9,5,4,3,2,1										
11	CAST:0,6,6,6,6,4	KNOWN:9,5,5,4,3,2										
12	CAST:0,6,6,6,6,5,3	KNOWN:9,5,5,4,3,2,1										
13	CAST:0,6,6,6,6,6,4	KNOWN:9,5,5,4,4,3,2										
14	CAST:0,6,6,6,6,6,5,3	KNOWN:9,5,5,4,4,3,2,1										
15	CAST:0,6,6,6,6,6,6,4	KNOWN:9,5,5,4,4,4,3,2										
16	CAST:0,6,6,6,6,6,6,5,3	KNOWN:9,5,5,4,4,4,3,2,1										
17	CAST:0,6,6,6,6,6,6,6,4	KNOWN:9,5,5,4,4,4,3,3,2										
18	CAST:0,6,6,6,6,6,6,6,5,3	KNOWN:9,5,5,4,4,4,3,3,2,1										
19	CAST:0,6,6,6,6,6,6,6,6,4	KNOWN:9,5,5,4,4,4,3,3,3,2										
20	CAST:0,6,6,6,6,6,6,6,6,5	KNOWN:9,5,5,4,4,4,3,3,3,3										
#												
CLASS:Godling Adept	HD:8	TYPE:Base.PC.Godling	ABB:AGod	MAXLEVEL:20	SOURCEPAGE:PFSrd	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/3*4|TYPE=Base.REPLACE			
#CLASS:Godling Adept												
CLASS:Godling Adept	STARTSKILLPTS:6	CSKILL:Appraise|Bluff|Climb|TYPE.Craft|Diplomacy|Disguise|Escape Artist|Fly|Intimidate|TYPE.Knowledge|Speak Language|Spot|Listen|TYPE.Perform|TYPE.Profession|Ride|Sense Motive|Sleight of Hand|Spellcraft|Move Silently|Tumble|Use Magic Device										
CLASS:Godling Adept	SPELLSTAT:INT	SPELLTYPE:Arcane	MEMORIZE:NO		BONUS:CASTERLEVEL|Godling Adept|CL	DEFINE:GodlingLVL|0	DEFINE:GodlingAdeptLVL|0					
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Godling Adept
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies									
#												
1	PROHIBITSPELL:ALIGNMENT.Lawful|PREABILITY:1,CATEGORY=Special Ability,Minor Ascendancy ~ Choatic Ascendancy											
