SOURCELONG:Pathfinder Srd	SOURCESHORT:PFSrd	SOURCEWEB:https://sites.google.com/site/pathfinderogc																													
																															
###Block: AB																															
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose					
By the Blood I			TYPE:Arcane.Divine	CLASSES:Godling=1		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood II			TYPE:Arcane.Divine	CLASSES:Godling=2		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood III			TYPE:Arcane.Divine	CLASSES:Godling=3		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood IV			TYPE:Arcane.Divine	CLASSES:Godling=4		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood V			TYPE:Arcane.Divine	CLASSES:Godling=5		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood VI			TYPE:Arcane.Divine	CLASSES:Godling=6		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood VII			TYPE:Arcane.Divine	CLASSES:Godling=7		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood VIII			TYPE:Arcane.Divine	CLASSES:Godling=8		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
By the Blood IX			TYPE:Arcane.Divine	CLASSES:Godling=9		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Curse a subject	SOURCEPAGE:PFSrd													
Detect Domain			TYPE:Arcane.Divine	CLASSES:Godling=1		SCHOOL:Divination			COMPS:V	CASTTIME:1 standard action	RANGE:60 ft.	TARGETAREA:Cone-shaped emanation.		DURATION:Concentration, up to 10 min/level	SAVEINFO:None	SPELLRES:No	DESC:Sense the presence of creature able to access one or more cleric domain.	SOURCEPAGE:PFSrd													
Manifest I			TYPE:Arcane.Divine	CLASSES:Godling=1		SCHOOL:Evocation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Spell related to your lineage	SOURCEPAGE:PFSrd													
