SOURCELONG:Gozzilioni	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																		
#																				
###Block																				
# Ability Name	Category of Ability	Type	Visible		Restricted Ability		Required AL		Prohibited Var. Value			Special ABility					Define	Description	Source Page	
Trick ~ Attack	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Attack ~ DC 20 ~ The animal attacks apparent enemies. You may point to a particular creature that you wish the animal to attack, and it will comply if able. Normally, an animal will attack only humanoids, monstrous humanoids, giants, or other animals.	SOURCEPAGE:PHB	
Trick ~ Attack Unnatural Creatures	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Trick ~ Attack	OUTPUTNAME:Trick ~ Attack (unnatural creatures)												DESC:Attack ~ DC 20 ~ The animal attacks apparent enemies. You may point to a particular creature (including such unnatural creatures as undead and aberrations) that you wish the animal to attack, and it will comply if able.	SOURCEPAGE:PHB	
Trick ~ Come	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Come  ~ DC 15 ~ The animal comes to you, even if it normally would not do so.	SOURCEPAGE:PHB	
Trick ~ Defend	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Defend ~ DC 20 ~ The animal defends you (or is ready to defend you if no threat is present), even without any command being given. Alternatively, you can command the animal to defend a specific other character.	SOURCEPAGE:PHB	
Trick ~ Down	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Down ~ DC 20 ~ The animal breaks off from combat or otherwise backs down.	SOURCEPAGE:PHB	
Trick ~ Fetch	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Fetch ~ DC 15 ~ The animal goes and gets something. If you do not point out a specific item, the animal fetches some random object.	SOURCEPAGE:PHB	
Trick ~ Guard	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Guard ~ DC 20 ~ The animal stays in place and prevents others from approaching.	SOURCEPAGE:PHB	
Trick ~ Heel	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Heel ~ DC 15 ~ The animal follows you closely, even to places where it normally would not go.	SOURCEPAGE:PHB	
Trick ~ Perform	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Perform ~ DC 15 ~ The animal performs a variety of simple tricks, such as sitting up, rolling over, roaring or barking, and so on.	SOURCEPAGE:PHB	
Trick ~ Seek	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Seek ~ DC 15 ~ The animal moves into an area and looks around for anything that is obviously alive or animate.	SOURCEPAGE:PHB	
Trick ~ Stay	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Stay ~ DC 20 ~ The animal stays in place, waiting for you to return. It does not challenge other creatures that come by, though it still defends itself if it needs to.	SOURCEPAGE:PHB	
Trick ~ Track	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO	PREABILITY:1,CATEGORY=Special Ability,Scent													DESC:Track ~ DC 20 ~ The animal tracks the scent presented to it.	SOURCEPAGE:PHB	
Trick ~ Work	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Work ~ DC 15 ~ The animal pulls or pushes a medium or heavy load.	SOURCEPAGE:PHB	
Trick ~ Ambush	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Ambush ~ DC 15 ~ The animal hides using the Hide skill to the best of its ability. It then stays in one place and attacks the first creature to come near it, unless it has been previously trained to recognize the creature as a friend.	SOURCEPAGE:RE	
Trick ~ Bull Rush	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Bull Rush ~ DC 15 ~ The animal attempts to bull rush a designated creature.	SOURCEPAGE:RE	
Trick ~ Flush Out	CATEGORY:Special Ability	TYPE:TrainingTricks.SpecialQuality	VISIBLE:YES	MULT:NO														DESC:Flush Out ~ DC 20 ~ The animal moves into an area and, if it encounters any creatures, it makes noise and feints attacks toward the creature in an attempt to drive it to you.	SOURCEPAGE:RE	
