SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net																																											
																																													
# BASICS																																													
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page				
Ancestral Relic	TYPE:General	VISIBLE:YES									PRELEVEL:MIN=3			PREALIGN:LG										DESC:See Text																	SOURCEPAGE:EXD				
Animal Friend	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15					PREABILITY:1,CATEGORY=Special Ability,Wild Empathy		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD	DEFINE:WildEmpathyGood|4	SAB:+% on wild empathy with good-aligned animals or magical beast.		
Celestial Familiar	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Summon Familiar		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text														BONUS:VAR|CelestialFamiliarLVL|FamiliarLVL			SOURCEPAGE:EXD	ABILITY:Special Ability|AUTOMATIC|Celestial Familiar	DEFINE:CelestialFamiliarLVL|0		
Celestial Mount	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
#Consecrated Spell	cedi CD																																												
Consecrate Spell Like Ability	TYPE:General	VISIBLE:YES	OUTPUTNAME:Consecrate Spell-Like Ability											PREALIGN:LG,NG,CG										DESC:See Text	STACK:NO	MULT:YES	CHOOSE:SPELLS|SPELLBOOK=Innate														SOURCEPAGE:EXD				
Consecrate Spell Trigger	TYPE:Exalted	VISIBLE:YES				PREFEAT:1,Craft Wand,Craft Staff								PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Turn Undead		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Exalted Companion	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG								ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text														BONUS:VAR|ExaltedCompanionLVL|AnimalCompanionLVL			SOURCEPAGE:EXD	ABILITY:Special Ability|AUTOMATIC|Exalted Companion	DEFINE:ExaltedCompanionLVL|0		
Exalted Smite	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG						PREABILITY:1,CATEGORY=Special Ability,Smite Evil		ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
Exalted Spell Resistance	TYPE:Exalted	VISIBLE:YES												PREALIGN:LG,NG,CG	PRESTAT:1,CHA=15						PRESRGTEQ:1	ABILITY:Special Ability|VIRTUAL|Aura of Good	DEFINE:AuraGood|TL	DESC:See Text																	SOURCEPAGE:EXD				
