SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Good Hope.MOD	DESCRIPTOR:Good																										
Shield Other.MOD	DESCRIPTOR:Good																										
#																											
Affliction			TYPE:Arcane.Divine	CLASSES:Cleric=3|Druid=3|Sorcerer,Wizard=4		SCHOOL:Necromancy		DESCRIPTOR:Good	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Evil creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Infects evil subject with chosen affliction.	SOURCEPAGE:EXD									
Amber Sarcophagus			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 day/level	SAVEINFO:None	SPELLRES:Yes	DESC:Target is trapped in stasis inside amber.	SOURCEPAGE:EXD		COST:500							
Aspect of the Deity			TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Aspect of the Deity, but get celestial qualities.	SOURCEPAGE:EXD									
Aspect of the Deity (Greater)	OUTPUTNAME:Aspect of the Deity, Greater		TYPE:Arcane.Divine			SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:As Lesser Aspect of the Deity, but gain wings, enhanced ability scores, and various resistamce and immunities.	SOURCEPAGE:EXD									
Aspect of the Deity (Lesser)	OUTPUTNAME:Aspect of the Deity, Lesser		TYPE:Arcane.Divine	CLASSES:Paladin=4		SCHOOL:Transmutation		DESCRIPTOR:Good	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your form becomes more like your deity's.	SOURCEPAGE:EXD									
Axiomatic Creature			TYPE:Arcane.Divine	CLASSES:Cleric=8|Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S, M, XP, Archon	CASTTIME:1 round	RANGE:Touch	TARGETAREA:One corporeal creature of lawful or neutral alignment that is native to the Material Plane		DURATION:Permanent	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Transform creature into n axiomatic creature.	SOURCEPAGE:EXD		COST:10000	XPCOST:1000						
Bastion of Good			TYPE:Divine	CLASSES:Cleric=7		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, Abstinence	CASTTIME:1 standard action	RANGE:20-ft	TARGETAREA:20-ft radius spherical emanation centered on you		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Acts as Minor Globe of Invlunerability and double strength Magic Circle against Evil.Abstinence: fast 24 hours.	SOURCEPAGE:EXD									
