SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10																														
																																	
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
###Block: Class Abilities																																	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An anointed knight is proficient with all simple and martial weapons, all types of armor, and shields.	KEY:Anointed Knight ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProfHeavy						SORTKEY:Class_Anointed_Knight	SOURCEPAGE:ExD	
Anoint Self	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An anointed knight concocts a magic oil with which to anoint herself, at a cost of 100 gp (for alchemical components). She can make only one dose of the oil each time this class feature is gained (at 1st, 4th, 7th, and 10th level). Creating the oil takes 1 hour.	KEY:Anointed Knight ~ Anoint Self				DEFINE:AnointSelfLVL|0					BONUS:VAR|AnointSelfLVL|AnointedKnightLVL+CHA	BONUS:ABILITYPOOL|Anoint Self|(AnointedKnightLVL+2)/3																SORTKEY:Class_Anointed_Knight	SOURCEPAGE:ExD	
Anoint Ancestral Weapon	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An anointed knight concocts a magic oil with which to coat her ancestral weapon, at a cost of 100 gp (for alchemical components). She can make only one dose of the oil each time this class feature is gained (at 2nd, 5th, and 8th level). If the oil is applied to a weapon other than the anointed knight's ancestral weapon, nothing happens and the oil is wasted. Creating the oil takes 1 hour.	KEY:Anointed Knight ~ Anoint Ancestral Weapon				DEFINE:AnointAncestralWeaponLVL|0					BONUS:VAR|AnointAncestralWeaponLVL|AnointedKnightLVL+CHA	BONUS:ABILITYPOOL|Anoint Ancestral Weapon|(AnointedKnightLVL+1)/3																SORTKEY:Class_Anointed_Knight	SOURCEPAGE:ExD	
Bonus Feats	CATEGORY:Special Ability	TYPE:ClassFeatures.AnointedKnightClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, and again at 6th and 9th level, the anointed knight gains a bonus feat. This feat must be drawn from the following feats, and the knight must meet all the prerequisites for it: Blind-Fight, Cleave, Combat Expertise, Combat Reflexes, Diehard, Dodge, Endurance, Exalted Smite*, Great Cleave, Holy Subdual*, Improved Bull Rush, Improved Disarm, Improved Feint, Improved Overrun, Improved Sunder, Improved Trip, Mobility, Power Attack, Sanctify Martial Strike*, Sanctify Weapon*, Spring Attack, Subduing Strike*, Whirlwind Attack.	KEY:Anointed Knight ~ Bonus Feats									BONUS:ABILITYPOOL|Anointed Knight Feat|min(3,(AnointedKnightLVL/3))																	SORTKEY:Class_Anointed_Knight	SOURCEPAGE:ExD	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Apostles of peace gain no proficiency with any weapon or armor. As part of their sacred vows, apostles of peace forswear the use of armor, though they may wear magic items that protect them (such as a Ring of Protection or Bracers of Armor). An apostle of peace who wears any armor is unable to cast apostle of peace spells or use any of his supernatural class abilities while doing so and for 24 hours thereafter.	KEY:Apostole of Peace ~ Weapon and Armor Proficiency																										SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:ExD	
Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An apostle of peace has the ability to cast a number of divine spells. To cast an apostle of peace spell, the apostle must have a Wisdom score of at least 10 + the spell's level, so an apostle with a Wisdom of 10 or lower cannot cast these spells. Apostle of peace bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the apostle of peace's Wisdom modifier. When the apostle of peace gets 0 spells per day of a given spell level (for instance, 2nd-level spells for a 2nd-level apostle), he gains only the bonus spells he would be entitled to based on his Wisdom score for that spell level. The apostle of peace's spell list appears below. An apostle of peace prepares and casts spells just as a cleric does. To determine the caster level of an apostle of peace, add the character's apostle levels to one-half of his caster levels in other spellcasting classes.	KEY:Apostole of Peace ~ Spellcasting																										SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:ExD	
Spontaneous Casting	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An apostle of peace can channel stored spell energy into healing spells that the apostle did not prepare ahead of time. An apostle can "lose" any prepared apostle spell in order to cast any cure spell of the same spell level or lower (a cure spell is any spell with "cure" in its name).	KEY:Apostole of Peace ~ Spontaneous Casting																		ABILITY:Special Ability|AUTOMATIC|Spontaneous Casting ~ Cure Spells								SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:ExD	
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An apostle of peace can turn undead as a good cleric of his apostle of peace level would. If he is also a cleric (or paladin), he adds his apostle levels to his effective cleric levels to determine his turning capability.	KEY:Apostole of Peace ~ Turn Undead									BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|ApostoleOfPeaceLVL|TYPE=Level.REPLACE									ABILITY:Special Ability|AUTOMATIC|Basic Turning|Turn Undead								SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:ExD	
Pacifying Touch	CATEGORY:Special Ability	TYPE:ClassFeatures.ApostoleOfPeaceClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, an apostle of peace gains the ability to pacify hostile or angry creatures by touch. The effect is similar to the calm emotions spell. The apostle can affect only a single target with each use of the ability, and must touch the target. A touched creature receives no saving throw and spell resistance does not apply. The pacifying touch does not suppress positive emotions, just anger, rage, and hostility. The apostle of peace can make a level check as if casting dispel magic, using his character level as his caster level, to dispel certain mind-affecting spells affecting the target. The pacifying touch can only dispel spells that incite violent emotions in the target, such as fear or rage.	KEY:Apostole of Peace ~ Pacifying Touch																										SORTKEY:Class_Apostole_Of_Peace	SOURCEPAGE:ExD	
