SOURCELONG:Gozzilioni Book of Exalted Deeds	SOURCESHORT:ExD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-10										
													
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
# Class Name req	Requirements	FINE											
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS	
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST							
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)			
CLASS:Anointed Knight	HD:10	TYPE:PC.Prestige	ABB:AnK	MAXLEVEL:10	SOURCEPAGE:ExD	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	CLASSTYPE:Prestige	ROLE:Skill	DEFINE:AnointedKnightLVL|0	BONUS:VAR|AnointedKnightLVL|CL
CLASS:Anointed Knight	PREALIGN:LG,NG,CG	PREATT:5	PRESKILL:1,Craft (Alchemy)=5	PRESKILL:2,Knowledge (Arcana)=3,Spellcraft=3	PREABILITY:1,CATEGORY=FEAT,Ancestral Relic								
CLASS:Anointed Knight	STARTSKILLPTS:2	CSKILL:Climb|Concentration|Craft (Alchemy)|Heal|Jump|Knowledge (Arcana)|Knowledge (Religion)|Knowledge (The Planes)|Ride|Spellcraft											
1				ABILITY:Anointed Knight Class Feature|AUTOMATIC|Anointed Knight ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.AnointedKnightProficiencies									
#													
1				ABILITY:Anointed Knight Class Feature|AUTOMATIC|Anointed Knight ~ Anoint Self|!PREABILITY:1,CATEGORY=ACF,TYPE.AnointedKnightAnointSelf									
2				ABILITY:Anointed Knight Class Feature|AUTOMATIC|Anointed Knight ~ Anoint Ancestral Weapon|!PREABILITY:1,CATEGORY=ACF,TYPE.AnointedKnightAnointAncestralWeapon									
3				ABILITY:Anointed Knight Class Feature|AUTOMATIC|Anointed Knight ~ Bonus Feats|!PREABILITY:1,CATEGORY=ACF,TYPE.AnointedKnightBonusFeats									
													
