SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net																									
																											
###Block: AB																											
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose	
Aberrate			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, Fiend	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature		DURATION:10 minutes/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject becomes an aberration.	SOURCEPAGE:BoVD									
Abyssal Might			TYPE:Arcane.Divine	CLASSES:Blackguard=3|Cleric=4|Sorcerer,Wizard=4		SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Evil	COMPS:V, S, M, Demon	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +2 to STR, CON, DEX and SR,.	SOURCEPAGE:BoVD									
Addiction			TYPE:Arcane.Divine	CLASSES:Assassin=1|Bard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Enchantment			COMPS:V, S, Drug	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject becomes addicted to a drug. Drug:the chosen drug for the addiction.	SOURCEPAGE:BoVD									
Alert Bebilith			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One bebilith		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Summons bebilith to deal with a demon.	SOURCEPAGE:BoVD									
Angry Ache			TYPE:Divine	CLASSES:Assassin=1|Cleric=1		SCHOOL:Necromancy			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one living creature		DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject takes -2 penalty on attack rolls.	SOURCEPAGE:BoVD									
Befoul	OUTPUTNAME:Befoul		TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:Water in a volume of 100-ft/level by 100-ft/level by 10-ft/level		DURATION:Permanent (see text)	SAVEINFO:None (see text)	SPELLRES:No	DESC:Large amount of water becomes poisonous.	SOURCEPAGE:BoVD									
#Bestow Curse (Greater)	vedi CD																DESC:										
Bestow Wound			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Caster transfers 1 hp/level of wounds on another.	SOURCEPAGE:BoVD		COST:10							
Black Bag			TYPE:Arcane	CLASSES:Assassin=1|Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:A black leather bag		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Create extradimensional bag of torture tools.	SOURCEPAGE:BoVD									
Bodak Birth			TYPE:Divine	CLASSES:Cleric=8		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, F, Drug	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:You or one creature touched		DURATION:Instantaneous	SAVEINFO:None (see text)	SPELLRES:No	DESC:Transforms a willing subject into a Bodak. Drug:Agony	SOURCEPAGE:BoVD									
Boneblade			TYPE:Divine	CLASSES:Blackguard=2|Cleric=3		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, F, Undead	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One bone that becomes a blade		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Turns a bone into a magic weapon.	SOURCEPAGE:BoVD									
Boneblast			TYPE:Divine	CLASSES:Blackguard=1|Cleric=2		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, M, Undead	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature that has a skeleton		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:1d3 CON damage to subject.	SOURCEPAGE:BoVD									
Call Dretch Horde			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	COMPS:V, S, Soul	CASTTIME:1 minute	RANGE:Close	TARGETAREA:2d4 dretches		DURATION:1 year	SAVEINFO:None	SPELLRES:No	DESC:Summon 2d4 dretches.	SOURCEPAGE:BoVD									
Call Lemure Horde			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	COMPS:V, S, Soul	CASTTIME:1 minute	RANGE:Close	TARGETAREA:3d4 lemures		DURATION:1 year	SAVEINFO:None	SPELLRES:No	DESC:Summon 2d4 lemures.	SOURCEPAGE:BoVD									
Call Nightmare			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Conjuration	SUBSCHOOL:Calling	DESCRIPTOR:Evil	COMPS:V, S, Soul	CASTTIME:1 minute	RANGE:Medium	TARGETAREA:One nightmare		DURATION:1 week	SAVEINFO:None	SPELLRES:No	DESC:Summon a Nightmare.	SOURCEPAGE:BoVD									
Charnel Fire			TYPE:Divine	CLASSES:Cleric=5		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:one corpse		DURATION:Instantaneous	SAVEINFO:None (see text)	SPELLRES:No	DESC:Consumes one corpse or undead creature.	SOURCEPAGE:BoVD									
#Cheat			TYPE:Arcane.Divine	CLASSES:Bard=1|Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level or until used	SAVEINFO:None	SPELLRES:No	DESC:Caster rerolls when determining the success of a game of chance.	SOURCEPAGE:BoVD									
Circle of Nausea			TYPE:Divine	CLASSES:Cleric=3|Druid=2		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:An emanation extending in a 20-ft radius around a 2-ft radius ciurcle on the ground with the caster in the center		DURATION:1 minute/level	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Foes are denied all actions or take -2 penalty on attacks, saving throws and skill check.	SOURCEPAGE:BoVD									
Claws of the Savage			TYPE:Arcane.Divine	CLASSES:Blackguard=4|Cleric=4|Druid=4		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Subject gains claws that deal damage based on size.	SOURCEPAGE:BoVD									
Cloud of the Achaierai			TYPE:Divine	CLASSES:Cleric=6		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V, S, Disease	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:10-ft radius spread		DURATION:10 minutes/level	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Cloud deals 2d6 damage plus Confusion. Disease: Soul Rot	SOURCEPAGE:BoVD									
#Clutch of Orcus			TYPE:Divine	CLASSES:Cleric=3		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid		DURATION:Concentration (see text)	SAVEINFO:Will negates (see text)	SPELLRES:No	DESC:Deals 1d3 points of damage each round and paralyzes foe while caster concentrates.	SOURCEPAGE:BoVD									
Cruel Disappointment			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:one living creature		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Fools subject for 1 round, then -4 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD									
Crushing Fist of Spite			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Evocation		DESCRIPTOR:Evil|Force	COMPS:V, S, M, Disease	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:5-ft radius cylinder, 30-ft high		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:Fist deals 1d6/damage/level each round. Disease: Festering anger	SOURCEPAGE:BoVD									
Curse of the Putrid Husk			TYPE:Arcane.Divine	CLASSES:Bard=3|Sorcerer,Wizard=3		SCHOOL:Illusion	SUBSCHOOL:Phantasm	DESCRIPTOR:Fear|Mind-Affecting|Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round + 1d10 minutes	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject is unconscious for 1d10 minutes.	SOURCEPAGE:BoVD									
Damning Darkness			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Evocation		DESCRIPTOR:Darkness|Evil	COMPS:V, M/DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Object touched		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Darkness deals either 2d6 or 1d6 damage/round.	SOURCEPAGE:BoVD									
Dance of Ruin			TYPE:Arcane.Divine	CLASSES:Bard=2|Cleric=2|Sorcerer,Wizard=2		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 round	RANGE:Close	TARGETAREA:Spread centered on caster		DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:Nondemons take 2d20 damage.	SOURCEPAGE:BoVD									
Dancing Chains			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One chain/level within range		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Animates one chain/level.	SOURCEPAGE:BoVD									
Darkbolt			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=2		SCHOOL:Evocation		DESCRIPTOR:Darkness|Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Deals 1d8 damage/2 levels and stuns 1 round.	SOURCEPAGE:BoVD									
Darklight			TYPE:Arcane	CLASSES:Assassin=2|Sorcerer,Wizard=1		SCHOOL:Evocation		DESCRIPTOR:Darkness	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature or object touched		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Creates 5-ft radius area where all can see without light.	SOURCEPAGE:BoVD									
Death Grimace			TYPE:Arcane.Divine	CLASSES:Assassin=1|Blackguard=1|Sorcerer,Wizard=1		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one corpse		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Caster leaves magical "calling card" on a corpse.	SOURCEPAGE:BoVD									
Demon Wings			TYPE:Divine	CLASSES:Blackguard=3		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster flies at  his land speed.	SOURCEPAGE:BoVD									
Demoncall			TYPE:Divine	CLASSES:Blackguard=2		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:See text	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +10 on one Knowledge (The Planes), Knowledge (Arcana) or Knowledge (Religion) checks.	SOURCEPAGE:BoVD									
Demonflesh			TYPE:Divine	CLASSES:Blackguard=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains +1 natural armor/5 caster levels.	SOURCEPAGE:BoVD									
Despoil			TYPE:Divine	CLASSES:Cleric=9		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S, M	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:100-ft/level radius		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:Kills plants, damage objects in 100-ft radius/level.	SOURCEPAGE:BoVD									
Devil's Ego			TYPE:Divine			SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster gains 1d4+1 CHA and become an outsider.	SOURCEPAGE:BoVD									
Devil's Eye			TYPE:Arcane.Divine	CLASSES:Blackguard=2|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster can see in even magical darkness, up to 30-ft.	SOURCEPAGE:BoVD									
Devil's Tail			TYPE:Divine			SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Caster fgains a spiked tail that deals 1d4 damage.	SOURCEPAGE:BoVD									
Distort Summon			TYPE:Arcane.Divine	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:50-ft radius spread		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:No	DESC:Creates area where only evil creatures can be summoned.	SOURCEPAGE:BoVD									
Distort Weapon			TYPE:Divine	CLASSES:Blackguard=1		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one weapon		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon confirms critical hits against good foes.	SOURCEPAGE:BoVD									
Dread Word			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Evocation		DESCRIPTOR:Evil	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:one creature of good alignment		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:1d3 CON drain on one target.	SOURCEPAGE:BoVD									
Drown (BoVD)			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Evil	COMPS:V	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One humanoid		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:Subject begins to drown or takes 2d6 damage.	SOURCEPAGE:BoVD									
Drug Resistance			TYPE:Arcane.Divine	CLASSES:Cleric=1|Sorcerer,Wizard=1		SCHOOL:Enchantment			COMPS:V, M	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:one living creature		DURATION:1 hour/level	SAVEINFO:Fortitude negates (harmless)	SPELLRES:Yes	DESC:Subject is immune to addiction.	SOURCEPAGE:BoVD									
Ectoplasmic Enhancement			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 round	RANGE:Close	TARGETAREA:one incorporeal undead/level		DURATION:24 hours	SAVEINFO:None	SPELLRES:No	DESC:Incorporeal undead gain +1 AC, +1d8 hp, +1 on attacks and +2 turn resistance for every 3 levels. 	SOURCEPAGE:BoVD									
#Entice Gift	vedi Drac			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment		DESCRIPTOR:Mind-Affecting	COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Creature gives caster what it's holding.	SOURCEPAGE:BoVD								
Eternity of Torture			TYPE:Divine			SCHOOL:Necromancy		DESCRIPTOR:Evil	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Permanent	SAVEINFO:Fortitude partial	SPELLRES:Yes	DESC:Target is rendered helpless, ageless and has all ability scores except for CON drop to 0.	SOURCEPAGE:BoVD									
Evil Eye			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Enchantment		DESCRIPTOR:Evil	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature		DURATION:Instantaneous (see text)	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Subject takes -4 penalty on attacks, saves and checks.	SOURCEPAGE:BoVD									
Extract Drug			TYPE:Arcane.Divine	CLASSES:Bard=1|Cleric=1|Druid=1|Sorcerer,Wizard=1		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, F	CASTTIME:1 minute	RANGE:Touch	TARGETAREA:one dose of drug		DURATION:Permanent	SAVEINFO:None	SPELLRES:No	DESC:Creates drug from inanimate object.	SOURCEPAGE:BoVD									
Eye of the Beholder			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Caster's eye gains random beholdxer ray.	SOURCEPAGE:BoVD									
Eye of the Zombie			TYPE:Arcane.Divine	CLASSES:Cleric=2|Sorcerer,Wizard=3		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S, F	CASTTIME:30 minutes	RANGE:Personal	TARGETAREA:You		DURATION:1 hour/level	SAVEINFO:None	SPELLRES:Yes	DESC:Caster sees through a zombie's eyes'	SOURCEPAGE:BoVD									
False Sending			TYPE:Arcane.Divine	CLASSES:Cleric=5|Sorcerer,Wizard=6		SCHOOL:Illusion	SUBSCHOOL:Glamer		COMPS:V, S, M/DF	CASTTIME:10 minutes	RANGE:See text	TARGETAREA:One creature		DURATION:1 round	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Sending, except caster imitates someone else.	SOURCEPAGE:BoVD									
Fiendish Clarity			TYPE:Arcane.Divine	CLASSES:Cleric=7|Sorcerer,Wizard=7		SCHOOL:Divination		DESCRIPTOR:Evil	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:10 minutes/level	SAVEINFO:None	SPELLRES:No	DESC:Caster sees in even magical darkness, see invisible up to 60-ft and can detect good.	SOURCEPAGE:BoVD									
