SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net											
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	FINE		
# Class Name req	Requirements	FINE											
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	define class variables (DEFINE:variable|value	FINE				
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)			
CLASS:Fang Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Fang Dragon	PRERACE:1,Dragon (Fang%	PRERACETYPE:Dragon											
CLASS:Fang Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|max(DragonAge,(var("BL=Sorcerer")+var("CL=Sorcerer")))			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Ability Drain ~ Fang Dragon									DEFINE:FangDragonAbilityDrainDamage|1	DEFINE:FangDragonAbilityDrainDamageDie|2		
#1													
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Increased Damage|Sound Imitation	ABILITY:Special Ability|AUTOMATIC|Trip					DEFINE:DragonAge|1	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=DragonCL|Detect Magic|Read Magic		
6										DEFINE:DragonAge|2			
9										DEFINE:DragonAge|3	SPELLS:Innate|TIMES=2|CASTERLEVEL=DragonCL|Shield		
12								SR:16		DEFINE:DragonAge|4	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Dispel Magic		
15	ADD:SPELLCASTER|1|Sorcerer							SR:18	DR:5/Magic	DEFINE:DragonAge|5			
18	BONUS:PCLEVEL|Sorcerer|1							SR:20		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Spell Turning		
21	BONUS:PCLEVEL|Sorcerer|1							SR:22	DR:10/Magic	DEFINE:DragonAge|7			
24	BONUS:PCLEVEL|Sorcerer|1							SR:25		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=2|CASTERLEVEL=DragonCL|Telekinesis		
27	BONUS:PCLEVEL|Sorcerer|1							SR:27	DR:15/Magic	DEFINE:DragonAge|9			
30	BONUS:PCLEVEL|Sorcerer|1			ABILITY:Special Ability|AUTOMATIC|Fast Healing				SR:28		DEFINE:DragonAge|10	DEFINE:FastHealing|2		
33	BONUS:PCLEVEL|Sorcerer|1							SR:29	DR:20/Magic	DEFINE:DragonAge|11			
36	BONUS:PCLEVEL|Sorcerer|1							SR:31		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=2|CASTERLEVEL=DragonCL|Globe of Invulnerability		
17	BONUS:PCLEVEL|Sorcerer|1												
20	BONUS:PCLEVEL|Sorcerer|1												
23	BONUS:PCLEVEL|Sorcerer|1												
26	BONUS:PCLEVEL|Sorcerer|1												
29	BONUS:PCLEVEL|Sorcerer|1												
32	BONUS:PCLEVEL|Sorcerer|1												
35	BONUS:PCLEVEL|Sorcerer|1												
#													
CLASS:Battle Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Battle Dragon	PRERACE:1,Dragon (Battle%	PRERACETYPE:Dragon											
CLASS:Battle Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device|TYPE.Perform								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Sonic Energy									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|6	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Fear Gas												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Sonic|Bardic Music			BONUS:VAR|BardicMusicTimes|1	BONUS:VAR|BardicMusicLvl|DragonCL	BONUS:VAR|InspireDurationBase|5				
5										DEFINE:DragonAge|1			
8										DEFINE:DragonAge|2	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Protection from Evil		
11									DR:5/Magic	DEFINE:DragonAge|3			
14										DEFINE:DragonAge|4	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Aid	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Shield Other	
17								SR:21	DR:10/Magic	DEFINE:DragonAge|5			
20				ABILITY:Special Ability|AUTOMATIC|Battle Dragon Inspire Courage				SR:24		DEFINE:DragonAge|6			
23								SR:26	DR:15/Magic	DEFINE:DragonAge|7			
26				ABILITY:Special Ability|AUTOMATIC|Fast Healing			BONUS:VAR|FastHealing|2	SR:29		DEFINE:DragonAge|8			
29								SR:30	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Evil
32								SR:32		DEFINE:DragonAge|10			
35								SR:33		DEFINE:DragonAge|11			DR:10/Evil
38				ABILITY:Special Ability|AUTOMATIC|Battle Fury|Battle Dragon Battle Fury			BONUS:VAR|BattleDragonBattleFuryTimesLVL|DragonCL	SR:35		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Heroes' Feast		
#													
CLASS:Chaos Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Chaos Dragon	PRERACE:1,Dragon (Chaos%	PRERACETYPE:Dragon											
CLASS:Chaos Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Line of Random Energy									DEFINE:BreathWeaponLine|max((SIZE-1)*20,30)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|4	
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Confusion Gas									BONUS:VAR|BreathWeaponDuration|DragonAge			
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity to Compulsion Effects									
6										DEFINE:DragonAge|1			
9										DEFINE:DragonAge|2	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Protection from Law		
12									DR:5/Magic	DEFINE:DragonAge|3			
15										DEFINE:DragonAge|4	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Chaos Hammer|Entropic Shield		
18								SR:24	DR:10/Magic	DEFINE:DragonAge|5			
21								SR:26		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Dispel Law|Mind Fog		
24								SR:28	DR:15/Magic	DEFINE:DragonAge|7			
27								SR:30		DEFINE:DragonAge|8	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Word of Chaos		
30								SR:32	DR:20/Magic	DEFINE:DragonAge|9			DR:5/Law
33								SR:34		DEFINE:DragonAge|10	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Mislead		
36								SR:37		DEFINE:DragonAge|11			DR:10/Law
39								SR:38		DEFINE:DragonAge|12	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Cloak of Chaos		
#													
CLASS:Ethereal Dragon	HD:12	TYPE:Monster		MAXLEVEL:NOLIMIT	SOURCEPAGE:Drac	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE				
CLASS:Ethereal Dragon	PRERACE:1,Dragon (Ethereal%	PRERACETYPE:Dragon											
CLASS:Ethereal Dragon	STARTSKILLPTS:6	CSKILL:Listen|Search|Spot|Concentration|Diplomacy|Escape Artist|Intimidate|TYPE.Knowledge|Sense Motive|Use Magic Device								MODTOSKILLS:YES			
1							BONUS:VAR|DragonCL|DragonAge			DEFINE:DragonCL|0			
1							BONUS:COMBAT|AC|CL-1|TYPE=NaturalArmor.REPLACE			VISION:Keen Senses|Darkvision (120')|Blindsense (60')			
###Block: Breath Weapon and other SA's													
1	ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Force									DEFINE:BreathWeaponCone|max((SIZE-1)*10,15)	DEFINE:BreathWeaponDice|(2*DragonAge)	DEFINE:BreathWeaponDamageDie|6	
#1													
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis												
1	ABILITY:Special Ability|AUTOMATIC|Immunity To Sleep												
###Block: Frightful Presence													
1	ABILITY:Special Ability|AUTOMATIC|Frightful Presence						BONUS:VAR|FrightfulPresRange|DragonAge*30|PREVARGTEQ:DragonAge,5						
###Block: Normal Progression													
1				ABILITY:Special Ability|AUTOMATIC|Immunity To Ether Cyclones|Ethereal Dragon Skills									
4										DEFINE:DragonAge|1			
7				ABILITY:Special Ability|AUTOMATIC|Ethereal Vision|See Ethereal						DEFINE:DragonAge|2			
10									DR:5/Magic	DEFINE:DragonAge|3			
13										DEFINE:DragonAge|4	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Blink		
16								SR:20	DR:10/Magic	DEFINE:DragonAge|5			
19								SR:21		DEFINE:DragonAge|6	SPELLS:Innate|TIMES=3|CASTERLEVEL=DragonCL|Dimensional Anchor	SPELLS:Innate|TIMES=1|CASTERLEVEL=DragonCL|Ethereal Jaunt	
