SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																																												
																																														
# BASICS																																														
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Adroit Flyby Attack	TYPE:General	VISIBLE:YES				PREFEAT:1,Flyby Attack,Hover,Wingover															PREMOVE:1,Fly=90			DESC:See Text																	SOURCEPAGE:Drac					
Awaken Frightful Presence	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CHA=11					PRERACE:1,RACETYPE=Dragon				DESC:See Text														BONUS:VAR|AwakenedFrightfulPresRange|5*HD/2			SOURCEPAGE:Drac	ABILITY:Special Ability|VIRTUAL|Awakened Frightful Presence|!PREABILITY:1,CATEGORY=Special Ability,Frightful Presence	ABILITY:Special Ability|VIRTUAL|Increased Frightful Presence|PREABILITY:1,CATEGORY=Special Ability,Frightful Presence	DEFINE:AwakenedFrightfulPresRange|FrightfulPresRange/2	BONUS:VAR|FrightfulPresenceDC|2	BONUS:VAR|FrightfulPresRange|max((AwakenedFrightfulPresRange),(5*HD/2))
Awaken Spell Resistance	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=13					PRERACE:1,RACETYPE=Dragon				DESC:See Text	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:MISC|SR|2			SOURCEPAGE:Drac	SR:HD-2				
Clinging Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=13					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+1 round		DESC:See Text																	SOURCEPAGE:Drac					
#Devastating Critical	vedi epico																																													
#Dire Charge	vedi epico	VISIBLE:YES																																							SOURCEPAGE:Drac					
Draconic Knowledge	TYPE:Monstrous	VISIBLE:YES										PRESKILL:3,TYPE=Knowledge			PRESTAT:1,INT=19					PRERACE:1,RACETYPE=Dragon		SAB:+%|DraconicKnowledge	DEFINE:DragonAge|0	DESC:See Text																	SOURCEPAGE:Drac	DEFINE:DraconicKnowledge|INT+DragonAge				
Embed Spell Focus	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,CON=13				PRESPELLTYPE:1,Arcane=1,Divine=1,Psionic=1	PRERACE:1,RACETYPE=Dragon				DESC:See Text																	SOURCEPAGE:Drac					
Endure Blows	TYPE:Monstrous	VISIBLE:YES				PREFEAT:1,Toughness									PRESTAT:1,CON=13					PRERACE:1,RACETYPE=Dragon				DESC:See Text																	SOURCEPAGE:Drac	DR:0/-	BONUS:DR|2|-			
Enlarge Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=13					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+1 round		DESC:See Text																	SOURCEPAGE:Drac					
#Epic Fortitude	vedi epico																																													
#Epic Reflexes	vedi epico																																													
#Epic Will	vedi epico																																													
Extend Spreading Breath	TYPE:Metabreath	VISIBLE:YES				PREFEAT:2,Shape Breath,Spreading Breath									PRESTAT:1,CON=13				PRESIZEGTEQ:S	PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+2 round		DESC:See Text																	SOURCEPAGE:Drac					
#Fast Healing	vedi epico																																													
Heighten Breath	TYPE:Metabreath	VISIBLE:YES													PRESTAT:1,CON=13					PREABILITY:1,CATEGORY=Special Ability,Breath Weapon		SAB:+1 round		DESC:See Text																	SOURCEPAGE:Drac					
Improved Maneuverability	TYPE:General	VISIBLE:YES				PREFEAT:1,Hover,Wingover															PREMOVE:1,Fly=150			DESC:See Text	STACK:YES	MULT:YES	CHOOSE:NOCHOICE											BONUS:VAR|Maneuverability|1			SOURCEPAGE:Drac					
Improved Multiattack.MOD	TYPE:Monstrous	SOURCEPAGE:Drac	BONUS:COMBAT|TOHIT-PRIMARY|2	BONUS:COMBAT|TOHIT-SECONDARY|2
Improved Rapidstrike	TYPE:Monstrous	VISIBLE:YES		PREATT:15		PREFEAT:1,Rapidstrike				PREHANDSGT:2					PRESTAT:1,DEX=9					PRERACE:1,RACETYPE=Dragon,RACETYPE=Elemental,RACETYPE=Aberration,RACETYPE=Magical Beast,RACETYPE=Plant		SAB:1 secondary attack with one natural weapol.		DESC:See Text																	SOURCEPAGE:Drac					
Improved Snatch	TYPE:General	VISIBLE:YES				PREFEAT:1,Snatch																		DESC:See Text																	SOURCEPAGE:Drac					
Improved Speed	TYPE:Monstrous	VISIBLE:YES													PRESTAT:1,STR=13					PRERACE:1,RACETYPE=Dragon				DESC:See Text																	SOURCEPAGE:Drac	BONUS:MOVEADD|TYPE=Walk,TYPE=Climb,TYPE=Swim|10	BONUS:MOVEADD|TYPE=Fly|20			
#Improved Spell Capacity	vedi epico																																													
Large and in Charge	TYPE:General	VISIBLE:YES																	PREREACHGTEQ:10	PRESIZEGTEQ:L				DESC:See Text																	SOURCEPAGE:Drac					
