SOURCELONG:Draconomicon	SOURCESHORT:Drac	SOURCEWEB:http://www.gozzilioni.net																										
																												
###Block: AB																												
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Animate Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon becomes a construct.	SOURCEPAGE:Drac										
Aura of Terror			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You gain an aura of fear, or your frightful presence becomes more effective.	SOURCEPAGE:Drac										
Blinding Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=3		SCHOOL:Transmutation		DESCRIPTOR:Light	COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Tour breath weapon blinds targets.	SOURCEPAGE:Drac										
Breath Flare			TYPE:Arcane	CLASSES:Sorcerer,Wizard=1		SCHOOL:Transmutation		DESCRIPTOR:Light	COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:your breath weapon dazzles targets.	SOURCEPAGE:Drac										
Breath Weapon Admixture			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Transmutation		DESCRIPTOR:Acid|Cold|Electricity|Fire	COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon also deals a second type of damage.	SOURCEPAGE:Drac										
Breath Weapon Substitution			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation		DESCRIPTOR:Acid|Cold|Electricity|Fire	COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon deals a different kind of damage than normal.	SOURCEPAGE:Drac										
#Burning Blood
Deafening Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon also deals sonic damage and deafens.	SOURCEPAGE:Drac										
Dispelling Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Abjuration			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon acts as a targeted dispel magic to all creatures in its area.	SOURCEPAGE:Drac										
Draconic Polymorph			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation		DESCRIPTOR:Polymorph	COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:No	DESC:You change into a dragon's form.	SOURCEPAGE:Drac										
Enervating Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Necromancy			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon also bestows 2d4 negative levels.	SOURCEPAGE:Drac										
Ethereal Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=5		SCHOOL:Transmutation			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon manifests on the Ethereal Plane.	SOURCEPAGE:Drac										
Hiss of Sleep			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 round	RANGE:Close	TARGETAREA:One creature/level		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:No	DESC:You induce comatose slumber in targets.	SOURCEPAGE:Drac										
Imperious Glare			TYPE:Arcane	CLASSES:Sorcerer,Wizard=6		SCHOOL:Necromancy		DESCRIPTOR:Fear|Mind-Affecting	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature/level, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates (see text)	SPELLRES:Yes	DESC:You cause targets to cower in fear.	SOURCEPAGE:Drac										
Maddening Whispers			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:V	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature/level		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:You induce confusion and madness in targets.	SOURCEPAGE:Drac										
#Magic Fang (Superior)
Mesmerizing Glare			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting	COMPS:S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One living creature/level, no two of wich can be more than 30-ft apart		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:Yes	DESC:Your gaze dazes creatures.	SOURCEPAGE:Drac										
Razorfangs			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Transmutation			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your bite or claw attack threatens a critical hit on a 19 or 20.	SOURCEPAGE:Drac										
Rebuking Breath			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Necromancy			COMPS:S, B	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your breath weapon		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:Your breath weapon rebukes undead.	SOURCEPAGE:Drac										
Scintillating Scales			TYPE:Arcane	CLASSES:Sorcerer,Wizard=2		SCHOOL:Abjuration			COMPS:V	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:You gain an AC deflection bonus equal to your Constitution modifier.	SOURCEPAGE:Drac										
Sharptooth			TYPE:Arcane	CLASSES:Sorcerer,Wizard=4		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:One of your natural weapons deals damage as you were one size larger.	SOURCEPAGE:Drac										
