SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Cold Ancorite	HD:8	TYPE:PC.Prestige.Frostfell	ABB:ClA	MAXLEVEL:10	SOURCEPAGE:Fro	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE		
CLASS:Cold Ancorite	PREALIGN:LG,LN,LE,NG,TN,NE	PRECHECKBASE:1,Fortitude=5	PRESKILL:3,Climb=9,Jump=9,Knowledge (Religion)=9	PRESKILL:1,Survival=4	PREFEAT:2,Improved Unarmed Strike,Mountaineer	PRETEXT:must live for a week on her own in a wilderness region, during which time she can travel no lower than 12,000 feet in altitude.					
CLASS:Cold Ancorite	STARTSKILLPTS:4	CSKILL:Balance|Climb|Concentration|TYPE.Craft|Escape Artist|Jump|Knowledge (Nature)|Knowledge (Religion)|Listen|Spot|Survival|Tumble|Use Rope									
1				ABILITY:Special Ability|AUTOMATIC|Wisdom of the Mountain			BONUS:VAR|MonkACLVL|CL	BONUS:UDAM|CLASS.Monk|CL		MOVE:Climb,10	
2				ABILITY:Special Ability|AUTOMATIC|Slow Breath			BONUS:VAR|SlowBreathBonus|2				
3							BONUS:ABILITYPOOL|Cloud Anchorite Feat|(CL+1)/4			BONUS:MOVEADD|TYPE=Climb|10	
4				ABILITY:Special Ability|AUTOMATIC|Resistance To Cold|Cloud Anchorite Fast Movement			BONUS:VAR|ColdResistanceBonus|(CL/4)*5	BONUS:VAR|CloudAnchoriteFastMovement|(CL/4)*10			
5				ABILITY:Special Ability|AUTOMATIC|Empty Stride						BONUS:MOVEADD|TYPE=Climb|10	
6				ABILITY:Special Ability|AUTOMATIC|Acrobatic Charge			BONUS:VAR|SlowBreathBonus|4				
7										BONUS:MOVEADD|TYPE=Climb|10	
8											
9				ABILITY:Special Ability|AUTOMATIC|Walk on the Clouds			BONUS:VAR|WalkOnTheCloudsPerDay|1	BONUS:VAR|WalkOnTheCloudsLVL|CL		BONUS:MOVEADD|TYPE=Climb|10	
10				ABILITY:Special Ability|AUTOMATIC|Immortality of the Mountain							
#											
CLASS:Cryokineticist	HD:8	TYPE:PC.Prestige.Frostfell	ABB:Cry	MAXLEVEL:10	SOURCEPAGE:Fro	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE		
