SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
#War Megaloceros			STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Spot|1|TYPE=Racial				BONUS:STAT|STR|13	BONUS:STAT|DEX|2	BONUS:STAT|CON|8	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Stampede|Toss	ABILITY:Special Ability|AUTOMATIC|Combative Mount|Scent			ABILITY:Special Ability|AUTOMATIC|Training ~ War Megaloceros					MONSTERCLASS:Animal:7	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal							SOURCEPAGE:Fro							
# Race Name																																																																						
Branta			STARTFEATS:1	SIZE:L	MOVE:Walk,50	FACE:10	REACH:5	VISION:Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|12	BONUS:STAT|CHA|-4			MONCSKILL:Balance|Jump|Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Toss	ABILITY:Special Ability|AUTOMATIC|Scent|Surefooted								MONSTERCLASS:Magical Beast:3	RACETYPE:Magical Beast		TYPE:Magical Beast	TEMPLATE:Magical Beast	TEMPLATE:Cold			HITDICEADVANCEMENT:6		CR:2	SOURCEPAGE:Fro							
Chilblain			STARTFEATS:1	SIZE:L	MOVE:Walk,30,Fly,60	FACE:10	REACH:10	VISION:Darkvision (120')					BONUS:COMBAT|AC|23|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|18	BONUS:STAT|DEX|6	BONUS:STAT|CON|14	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|9			MONCSKILL:Concentration|Intimidate|Listen|Spot					AUTO:FEAT|Improved Initiative				LEGS:4	HANDS:4				NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Cold,*4,1d8		ABILITY:Special Ability|AUTOMATIC|Breath Weapon ~ Cone of Coldfire|Cold Aura ~ Chilblain|Frost Touch|Frozen Stare	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Immunity To Paralysis|Immunity To Poison				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:29	DR:15/Silver		MONSTERCLASS:Aberration:20	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Cold			HITDICEADVANCEMENT:30,45		CR:18	SOURCEPAGE:Fro	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Detect Fire|Frostfell Slide|Frostburn (Lesser),11+CHA|Frostburn,14+CHA|Ice Storm|Shivering Touch,13+CHA|Wall of Ice,14+CHA	BONUS:VAR|BreathWeaponCone|60	BONUS:VAR|BreathWeaponDice|10	DEFINE:BreathWeaponDamageDie|6	BONUS:VAR|FastHealing|10	BONUS:VAR|Maneuverability|5	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Cone of Cold,15+CHA|Wall of Coldfire,15+CHA
Dire Animal (Dire Polar Bear)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Swim,20	FACE:15	REACH:10	VISION:Low-light		PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|28		BONUS:STAT|CON|12	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2				MONCSKILL:Hide|Listen|Spot|Swim					AUTO:FEAT|Track				LEGS:4	HANDS:3				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Dire Polar Bear Skills					MONSTERCLASS:Animal (Will):18	RACETYPE:Animal	RACESUBTYPE:Dire	TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:36,45		CR:11	SOURCEPAGE:Fro							
Glyptodon			STARTFEATS:1	SIZE:L	MOVE:Walk,20,Burrow,5	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|-2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot|Swim									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Tail Slap|CRITMULTADD|1			NATURALATTACKS:Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Augmented Critical ~ Glyptodon|Trample				ABILITY:Special Ability|AUTOMATIC|Training ~ Glyptodon			DR:5/Piercing		MONSTERCLASS:Animal:10	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:15,30		CR:5	SOURCEPAGE:Fro							
Megaloceros			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Improved Grab|Stampede|Toss	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Training ~ Megaloceros					MONSTERCLASS:Animal:6	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:12,18		CR:4	SOURCEPAGE:Fro							
Smilodon			STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:5	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Balance,Hide,Move Silently|4|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-4			MONCSKILL:Balance|Hide|Jump|Listen|Move Silently|Spot									LEGS:4	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6		ABILITY:Special Ability|AUTOMATIC|Augmented Critical ~ Smilodon|Improved Grab|Pounce|Rake	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Smilodon Skills					MONSTERCLASS:Animal:9	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:18		CR:5	SOURCEPAGE:Fro							
Mammoth (Wolly)	OUTPUTNAME:[NAME] Mammoth		STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:10	VISION:Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|10|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|-2	BONUS:STAT|CON|14	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Gore|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Stamp,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6	NATURALATTACKS:Gore,Weapon.Natural.Melee.Finesseable.Piercing,*1,2d10	ABILITY:Special Ability|AUTOMATIC|Improved Grab|Toss|Trample	ABILITY:Special Ability|AUTOMATIC|Scent			ABILITY:Special Ability|AUTOMATIC|Training ~ Wolly Mammoth					MONSTERCLASS:Animal:14	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:20,28		CR:9	SOURCEPAGE:Fro							
Zeuglodon			STARTFEATS:1	SIZE:G	MOVE:Swim,40	FACE:20	REACH:15	VISION:Blindsight (120')		PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Spot|4|TYPE=Racial				BONUS:STAT|STR|28	BONUS:STAT|DEX|2	BONUS:STAT|CON|18	BONUS:STAT|INT|-8		BONUS:STAT|CHA|-4			MONCSKILL:Listen|Spot|Swim									LEGS:0	HANDS:0				NATURALATTACKS:Tail Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6		ABILITY:Special Ability|AUTOMATIC|Stunning Strike	ABILITY:Special Ability|AUTOMATIC|Hold Breath			ABILITY:Special Ability|AUTOMATIC|Zeuglodon Skills					MONSTERCLASS:Animal:15	RACETYPE:Animal		TYPE:Animal	TEMPLATE:Animal				HITDICEADVANCEMENT:30,45		CR:9	SOURCEPAGE:Fro							
