SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	AUTO:ARMORPROF|Tatterdemalion	AUTO:WEAPONPROF|Longsword,Rapier,Sap,Sword (Short),Shortbow,Whip																											SOURCEPAGE:LM
																																
# Ability Name																																
Master of Radiance Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:MasterOfRadianceTurnUndeadLVL|0					BONUS:VAR|TurnLevelBase|MasterOfRadianceTurnUndeadLVL	BONUS:VAR|TurnDamagePlusBase|MasterOfRadianceTurnUndeadLVL																	SOURCEPAGE:LM
Master of Radiance Radiant Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:MasterOfRadianceRadiantAuraLVL|0					BONUS:VAR|RadiantAuraPerDay|(MasterOfRadianceRadiantAuraLVL+1)/2																		SOURCEPAGE:LM
Master of Shrouds Rebuke Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:MasterOfShroudsRebukeUndeadLVL|0					BONUS:VAR|TurnLevelBase|MasterOfShroudsRebukeUndeadLVL	BONUS:VAR|TurnDamagePlusBase|MasterOfShroudsRebukeUndeadLVL																	SOURCEPAGE:LM
Master of Shrouds Summon Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:MasterOfShroudsSummonUndeadLVL|0					BONUS:VAR|SummonUndeadPerDay|3+CHA																		SOURCEPAGE:LM
Pale Master Undead Armor Affinity	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:PaleMasterUndeadArmorAffinityLVL|0					BONUS:VAR|UndeadArmorSpellFailure|10*(PaleMasterUndeadArmorAffinityLVL/4)																		SOURCEPAGE:LM
Pale Master Undead Graft	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:PaleMasterUndeadGraftLVL|0					BONUS:VAR|UndeadGraftDC|PaleMasterUndeadGraftLVL	BONUS:VAR|UndeadGraftRequisiteLVL|PaleMasterUndeadGraftLVL-5	BONUS:VAR|UndeadGraftPerDay|(PaleMasterUndeadGraftLVL-4)/2																SOURCEPAGE:LM
Sacred Purifier Greater Turning	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:SacredPurifierGreaterTurnUndeadLVL|0					BONUS:VAR|GreaterTurnLevelBase|SacredPurifierGreaterTurnUndeadLVL|TYPE=Level.REPLACE	BONUS:VAR|GreaterTurnTimesBase|1|TYPE=Base	BONUS:VAR|GreaterTurnCheckBase|CHA|TYPE=Base																SOURCEPAGE:LM
Sacred Purifier Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:SacredPurifierTurnUndeadLVL|0					BONUS:VAR|TurnLevelBase|SacredPurifierTurnUndeadLVL	BONUS:VAR|TurnDamagePlusBase|SacredPurifierTurnUndeadLVL																	SOURCEPAGE:LM
Sacred Purifier Energy Burst	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:SacredPurifierPositiveBurstLVL|0					BONUS:VAR|PositiveEnergyBurstDC|SacredPurifierPositiveBurstLVL+CHA	BONUS:VAR|PositiveEnergyDie|SacredPurifierPositiveBurstLVL																	SOURCEPAGE:LM
True Necromancer Rebuke Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:TrueNecromancerRebukeUndeadLVL|0					BONUS:VAR|TurnLevelBase|TrueNecromancerRebukeUndeadLVL	BONUS:VAR|TurnDamagePlusBase|TrueNecromancerRebukeUndeadLVL																	SOURCEPAGE:LM
True Necromancer Create Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:TrueNecromancerCreateUndeadLVL|0					BONUS:VAR|CreateUndeadPerDay|1|PREVARGTEQ:TrueNecromancerCreateUndeadLVL,2	BONUS:VAR|CreateUndeadPerDay|1|PREVARGTEQ:TrueNecromancerCreateUndeadLVL,5																	SOURCEPAGE:LM
True Necromancer Necromantic Prowess	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:TrueNecromancerNecromanticProwessLVL|0					BONUS:VAR|NecromanticProwessBonus|TrueNecromancerNecromanticProwessLVL/3	BONUS:VAR|CreateUndeadLVL|NecromanticProwessBonus	BONUS:VAR|CreateGreaterUndeadLVL|NecromanticProwessBonus	BONUS:VAR|HorridWiltingLVL|NecromanticProwessBonus	BONUS:VAR|EnergyDrainLVL|NecromanticProwessBonus					BONUS:VAR|WailOfTheBansheeLVL|NecromanticProwessBonus									SOURCEPAGE:LM
True Necromancer Zone of Desecration	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES											BONUS:VAR|ZoneOfDesecrationRadius|20|TYPE=Radius																		SOURCEPAGE:LM
True Necromancer Major Desecration	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:TrueNecromancerMajorDesecrationLVL|0					BONUS:VAR|ZoneOfDesecrationRadius|-20|TYPE=Radius.REPLACE	BONUS:VAR|MajorDesecrationRadius|10*TrueNecromancerMajorDesecrationLVL																	SOURCEPAGE:LM
True Necromancer Create Greater Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:TrueNecromancerCreateGreaterUndeadLVL|0					BONUS:VAR|CreateGreaterUndeadPerDay|1|PREVARGTEQ:TrueNecromancerCreateGreaterUndeadLVL,8	BONUS:VAR|CreateGreaterUndeadPerDay|1|PREVARGTEQ:TrueNecromancerCreateGreaterUndeadLVL,11																	SOURCEPAGE:LM
Ephemeral Exemplar Improved Deflection	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:EphemeralExemplarImprovedDeflectionLVL|0					BONUS:VAR|ImprovedDeflectionBonus|EphemeralExemplarImprovedDeflectionLVL																		SOURCEPAGE:LM
Lurking Terror Deathly Power	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:LurkingTerrorDeathlyPowerLVL|0					BONUS:VAR|DeatlhyPowerBonus|LurkingTerrorDeathlyPowerLVL																		SOURCEPAGE:LM
																																
# Ability Name																																
Atropal Scion Rebuke Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:AllowExtraTurning|1	DEFINE:AllowImprovedTurning|1				BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|HD|TYPE=Level.REPLACE	BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																SOURCEPAGE:LM
Brain in a Jar Rebuke Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:AllowExtraTurning|1	DEFINE:AllowImprovedTurning|1				BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|HD|TYPE=Level.REPLACE	BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base																SOURCEPAGE:LM
Dream Vestige Deflective Aura	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES											BONUS:VAR|DeflectiveAuraAC|13																		SOURCEPAGE:LM
Lich Good Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:YES						DEFINE:AllowExtraTurning|1	DEFINE:AllowImprovedTurning|1				BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|HD|TYPE=Level.REPLACE	BONUS:VAR|TurnTimesBase|3+CHA|TYPE=Base	BONUS:VAR|TurnCheckBase|CHA|TYPE=Base	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|2|TYPE=Level.REPLACE|PREABILITY:1,CATEGORY=Special Ability,Turn Undead															SOURCEPAGE:LM
