SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
#CLASS:Necrotic Cyst Spells	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
#CLASS:Necrotic Cyst Spells	SPELLSTAT:SPELL	SPELLTYPE:None	SPELLBOOK:YES	SPELLLIST:1|Necrotic Cyst	BONUS:CASTERLEVEL|Necrotic Cyst|TL	BONUSSPELLSTAT:NONE					
#1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Necrotic Cyst Spells (Arcane/WIS)	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
CLASS:Necrotic Cyst Spells (Arcane/WIS)	SPELLSTAT:WIS	SPELLTYPE:Arcane	SPELLBOOK:YES		BONUS:CASTERLEVEL|Necrotic Cyst (Arcane/WIS)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Necrotic Cyst Spells (Arcane/INT)	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
CLASS:Necrotic Cyst Spells (Arcane/INT)	SPELLSTAT:INT	SPELLTYPE:Arcane	SPELLBOOK:YES		BONUS:CASTERLEVEL|Necrotic Cyst (Arcane/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Necrotic Cyst Spells (Arcane/CHA)	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
CLASS:Necrotic Cyst Spells (Arcane/CHA)	SPELLSTAT:CHA	SPELLTYPE:Arcane	SPELLBOOK:YES		BONUS:CASTERLEVEL|Necrotic Cyst (Arcane/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Necrotic Cyst Spells (Divine/WIS)	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
CLASS:Necrotic Cyst Spells (Divine/WIS)	SPELLSTAT:WIS	SPELLTYPE:Divine	SPELLBOOK:YES		BONUS:CASTERLEVEL|Necrotic Cyst (Divine/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Necrotic Cyst Spells (Divine/INT)	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
CLASS:Necrotic Cyst Spells (Divine/INT)	SPELLSTAT:INT	SPELLTYPE:Divine	SPELLBOOK:YES		BONUS:CASTERLEVEL|Necrotic Cyst (Divine/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Necrotic Cyst Spells (Divine/CHA)	HD:1	TYPE:NecroticCystSpells	ABB:Necrotic Cyst Spells		SOURCEPAGE:LM					VISIBLE:NO	
CLASS:Necrotic Cyst Spells (Divine/CHA)	SPELLSTAT:CHA	SPELLTYPE:Divine	SPELLBOOK:YES		BONUS:CASTERLEVEL|Necrotic Cyst (Divine/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
