SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
#Necrotic Awareness.MOD	CLASSES:Mother Cyst=1	
#Necrotic Cyst.MOD	CLASSES:Mother Cyst=2	
#Necrotic Scrying.MOD	CLASSES:Mother Cyst=2	
#Necrotic Bloat.MOD	CLASSES:Mother Cyst=3	
#Necrotic Domination.MOD	CLASSES:Mother Cyst=4	
#Necrotic Burst.MOD	CLASSES:Mother Cyst=5	
#Necrotic Eruption.MOD	CLASSES:Mother Cyst=6	
#Necrotic Tumor.MOD	CLASSES:Mother Cyst=7	
#Necrotic Empowerment.MOD	CLASSES:Mother Cyst=8	
#Necrotic Termination.MOD	CLASSES:Mother Cyst=9	
