SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net															
																	
###Block:Familiar																	
# Class of the Master	Type	Spell Res.	Copy Masters BAB	Copy Masters Checks	HP formula based on Master	Use Masters skills?	Special ABility					Define	Combat bonus	Main Race Type			
FOLLOWER:StitchedFleshFamiliarLVL=1	TYPE:StitchedFamiliar		COPYMASTERBAB:MASTER	COPYMASTERCHECK:MASTER	COPYMASTERHP:max(1,MASTER/2)	USEMASTERSKILL:YES	ABILITY:Special Ability|AUTOMATIC|Empathic Link										
FOLLOWER:StitchedFleshFamiliarLVL=1	TYPE:StitchedFamiliar						ABILITY:Special Ability|AUTOMATIC|Share Spells|Improved Evasion					DEFINESTAT:MINVALUE|INT|6		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			RACETYPE:Magical Beast
FOLLOWER:StitchedFleshFamiliarLVL=3	TYPE:StitchedFamiliar						ABILITY:Special Ability|AUTOMATIC|Deliver Touch Spells					DEFINESTAT:MINVALUE|INT|7		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=5	TYPE:StitchedFamiliar						ABILITY:Special Ability|AUTOMATIC|Speak with Master					DEFINESTAT:MINVALUE|INT|8		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=7	TYPE:StitchedFamiliar						ABILITY:Special Ability|AUTOMATIC|Speak with Own Kind					DEFINESTAT:MINVALUE|INT|9		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=9	TYPE:StitchedFamiliar											DEFINESTAT:MINVALUE|INT|10		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=11	TYPE:StitchedFamiliar	SR:16										DEFINESTAT:MINVALUE|INT|11		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=12	TYPE:StitchedFamiliar	SR:17															
FOLLOWER:StitchedFleshFamiliarLVL=13	TYPE:StitchedFamiliar	SR:18					ABILITY:Special Ability|AUTOMATIC|Scry on Familiar					DEFINESTAT:MINVALUE|INT|12		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=14	TYPE:StitchedFamiliar	SR:19															
FOLLOWER:StitchedFleshFamiliarLVL=15	TYPE:StitchedFamiliar	SR:20										DEFINESTAT:MINVALUE|INT|13		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=16	TYPE:StitchedFamiliar	SR:21															
FOLLOWER:StitchedFleshFamiliarLVL=17	TYPE:StitchedFamiliar	SR:22										DEFINESTAT:MINVALUE|INT|14		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=18	TYPE:StitchedFamiliar	SR:23															
FOLLOWER:StitchedFleshFamiliarLVL=19	TYPE:StitchedFamiliar	SR:24										DEFINESTAT:MINVALUE|INT|15		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:StitchedFleshFamiliarLVL=20	TYPE:StitchedFamiliar	SR:25															
																	
###Block: Specific Familiars																	
# Class of the Master	Type			Required Race			Apply Kit					Special ABility		Add			
FOLLOWER:FamiliarLVL=1	TYPE:StitchedFamiliar	PRERACE:1,Raven															
FOLLOWER:FamiliarLVL=1	TYPE:StitchedFamiliar	PRERACE:1,Bat	KIT:1|Bat Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FamiliarLVL=1	TYPE:StitchedFamiliar	PRERACE:1,Cat	KIT:1|Cat Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FamiliarLVL=1	TYPE:StitchedFamiliar	PRERACE:1,Hawk	KIT:1|Hawk Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FamiliarLVL=1	TYPE:StitchedFamiliar	PRERACE:1,Lizard	KIT:1|Lizard Familiar	TEMPLATE:Stitched Flesh Familiar													
