SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																							
###Block: Specific Armors																									
																									
# Equipment Name			Type	Cost	Weight	AC Penalty Check	Modifier	Maximum DEX Bonus	Source Page	% of Spell Failure	Combat bonus	Special Property	Virtual Feat	Damage Reduction	Innate Spells	Bonus to skill	Modify VAR	Automaticaly Added to Inventory							
#Exoskeleton	COST:49500																								
#Ghoul Shell	COST:35230																								
#Ghost Shrouds	COST:35000																								
#Shadow Veil	COST:10000																								
#Vampire Hide	COST:63325																								
#Zombie Hide	COST:46315																								
#Wight Shield	COST:16309																								
#Wrapped Tower	COST:6330																								
																									
#Tatterdemalion		PROFICIENCY:ARMOR|Tatterdemalion	TYPE:Enhancement.Armor.Light.Suit.Specific.Nonmetal	COST:0	WT:20	ACCHECK:-1	EQMOD:CLOTH.MWORKA	MAXDEX:5	SOURCEPAGE:BOVD, pag 53	SPELLFAILURE:15	BONUS:COMBAT|AC|4|TYPE=Armor.REPLACE								PRECLASS:1,Cancer Mage=3						
Exoskeleton		PROFICIENCY:ARMOR|Breastplate	TYPE:Enhancement.Armor.Medium.Suit.Specific.UndeadArmor	COST:200	WT:30	ACCHECK:-4	EQMOD:STEEL.MWORKA.PLUS2A	MAXDEX:3	SOURCEPAGE:LM	SPELLFAILURE:25	BONUS:COMBAT|AC|5|TYPE=Armor.REPLACE			DR:5/Bludgeoning											
Ghoul Shell		PROFICIENCY:ARMOR|Leather	TYPE:Enhancement.Armor.Light.Suit.Specific.Nonmetal.UndeadArmor	COST:10	WT:15	ACCHECK:0	EQMOD:LEATHER.MWORKA.PLUS3A	MAXDEX:6	SOURCEPAGE:LM	SPELLFAILURE:10	BONUS:COMBAT|AC|2|TYPE=Armor.REPLACE				SPELLS:Ghoul Shell|TIMES=3|CASTERLEVEL=12|Ghoul Touch,15										
Ghost Shrouds		PROFICIENCY:ARMOR|Padded	TYPE:Enhancement.Armor.Light.Suit.Specific.Nonmetal.UndeadArmor	COST:5	WT:10	ACCHECK:0	EQMOD:CLOTH.MWORKA	MAXDEX:8	SOURCEPAGE:LM	SPELLFAILURE:5	BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE														
Shadow Veil		PROFICIENCY:ARMOR|Padded	TYPE:Enhancement.Armor.Light.Suit.Specific.Nonmetal.UndeadArmor	COST:5	WT:10	ACCHECK:0	EQMOD:CLOTH.MWORKA	MAXDEX:8	SOURCEPAGE:LM	SPELLFAILURE:5	BONUS:COMBAT|AC|2|TYPE=Deflection.REPLACE	SPROP:20% chance concealment against creature without darkvision, blindsight or other sensory apparatus that rely on light.													
Vampire Hide		PROFICIENCY:ARMOR|Studded Leather	TYPE:Enhancement.Armor.Light.Suit.Specific.UndeadArmor	COST:25	WT:20	ACCHECK:-1	EQMOD:STEEL.MWORKA.PLUS3A	MAXDEX:5	SOURCEPAGE:LM	SPELLFAILURE:15	BONUS:COMBAT|AC|3|TYPE=Armor.REPLACE			DR:5/Silver and Magic											
Zombie Hide		PROFICIENCY:ARMOR|Hide	TYPE:Enhancement.Armor.Medium.Suit.Specific.Nonmetal.UndeadArmor	COST:46315	WT:25	ACCHECK:-3	EQMOD:CLOTH.PLUS1A	MAXDEX:4	SOURCEPAGE:LM	SPELLFAILURE:20	BONUS:COMBAT|AC|3|TYPE=Shield.REPLACE			DR:5/Slashing											
																									
# Equipment Name																									
Wight Shield		PROFICIENCY:SHIELD|Shield (Light)	TYPE:Enhancement.Light.Shield.Specific.Metal.UndeadArmor	COST:9	WT:6	ACCHECK:-1	EQMOD:STEEL.MWORKA.PLUS1S		SOURCEPAGE:LM	SPELLFAILURE:5	BONUS:COMBAT|AC|1|TYPE=Shield.REPLACE								CRITMULT:x2	CRITRANGE:1	DAMAGE:1d3	WIELD:Light	SIZE:M		
Wrapped Tower		PROFICIENCY:SHIELD|Tower Shield	TYPE:Enhancement.Shield.Tower.Specific.Wooden.Nonmetal.UndeadArmor	COST:30	WT:45	ACCHECK:-10	EQMOD:WOOD.PLUS1S	MAXDEX:2	SOURCEPAGE:LM	SPELLFAILURE:50	BONUS:COMBAT|AC|4|TYPE=Shield.REPLACE	SPROP:Wrapped Tower shields can grant full cover, see text												BONUS:WEAPON|TOHIT|-2|PREFEAT:1,Tower Shield Proficiency	BONUS:WEAPON|TOHIT|SHIELDACCHECK|!PREFEAT:1,Tower Shield Proficiency
