SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net																					
																							
###Block: Stitched flesh Familiar																							
# Template Name				Visible	Template																	Required Size	Natural Attacks
Stitched Flesh Familiar	VISIBLE:NO	TEMPLATE:Undead	HITDIE:12	DEFINE:LOCK.CON|10																			
# Template Name																							
Hunger ~ Bite	VISIBLE:NO	TEMPLATE:CHOOSE:Hunger ~ Bite (Fine)|Hunger ~ Bite (Diminutive)|Hunger ~ Bite (Tiny)|Hunger ~ Bite (Small)|Hunger ~ Bite (Medium)|Hunger ~ Bite (Large)|Hunger ~ Bite (Huge)|Hunger ~ Bite (Gargantuan)|Hunger ~ Bite (Colossal)																					
Hunger ~ Bite (Fine)	VISIBLE:NO	PRESIZEEQ:F	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1																				
Hunger ~ Bite (Diminutive)	VISIBLE:NO	PRESIZEEQ:D	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d2																				
Hunger ~ Bite (Tiny)	VISIBLE:NO	PRESIZEEQ:T	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d3																				
Hunger ~ Bite (Small)	VISIBLE:NO	PRESIZEEQ:S	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d4																				
Hunger ~ Bite (Medium)	VISIBLE:NO	PRESIZEEQ:M	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d6																				
Hunger ~ Bite (Large)	VISIBLE:NO	PRESIZEEQ:L	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8																				
Hunger ~ Bite (Huge)	VISIBLE:NO	PRESIZEEQ:H	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6																				
Hunger ~ Bite (Gargantuan)	VISIBLE:NO	PRESIZEEQ:G	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d6																				
Hunger ~ Bite (Colossal)	VISIBLE:NO	PRESIZEEQ:C	NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,3d8																				
