SOURCELONG:Lords of Madness	SOURCESHORT:LoM	SOURCEWEB:http://www.gozzilioni.net										
												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Savant Aboleth	HD:8	TYPE:Prestige	ABB:Svt	MAXLEVEL:5	SOURCEPAGE:LoM	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Savant Aboleth	PRERACE:1,RACESUBTYPE=Aboleth	PREFEAT:4,Ability Focus(Enslave),Ability focus(Slime),Craft Aboleth Glyph,Quickslime	PRESPELLTYPE:1,Arcane=3									
CLASS:Savant Aboleth	STARTSKILLPTS:6	CSKILL:Appraise|Bluff|Concentration|TYPE.Craft|Decipher Script|Forgery|Gather Information|Intimidate|TYPE.Knowledge|Listen|Search|Sense Motive|Speak Language|Spellcraft|Spot|Swim|Use Magic Device										
#												
1	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Glyph Mastery|Glyph of Warding (Sp)|Ossification			BONUS:VAR|GlyphOfWardingLVL|CL	BONUS:VAR|GlyphOfWardingPerDay|CL	BONUS:VAR|OssificationBonus|(((CL+1)/2)*2)			
2	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Enlarged Enslave|Recrudescent Memories								
3	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Greater Glyph of Warding (Sp)			BONUS:VAR|GreaterGlyphOfWardingLVL|CL	BONUS:VAR|GreaterGlyphOfWardingPerDay|CL				
4	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|True Enslave								
5	ADD:SPELLCASTER|ANY			ABILITY:Special Ability|AUTOMATIC|Elder Glyph of Warding (Sp)			BONUS:VAR|ElderGlyphOfWardingLVL|CL	BONUS:VAR|ElderGlyphOfWardingPerDay|CL				
#												
