SOURCELONG:Lords of Madness	SOURCESHORT:LoM	SOURCEWEB:http://www.gozzilioni.net											
													
###Block:Alchemical Stuff and Liquids													
# Equipment Name		Type	Cost	Weight	Source Page	Quality and value							
Illithid Stew		TYPE:Goods.Food	COST:0.03	WT:0.5	SOURCEPAGE:LoM, pag 82.	SPROP:Fortitude DC 14 or nauseated for 10 minutes.							
Aboleth Graft (Amphibious Skin)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:30000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Water Breathing		
Aboleth Graft (Inksac)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:9000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Mucus Cloud		
Aboleth Graft (Mucus Projector)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:36000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Slime		
Aboleth Graft (Waterjet)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:2500	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh				
Illithid Graft (Burrowing Claws)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.IllithidGraft	COST:30000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Illithid Flesh	PREFEAT:1,Graft Flesh	ABILITY:Special Ability|VIRTUAL|Resistance To Mind-Affecting	MOVE:Burrow,20	BONUS:VAR|MindAffectingResistanceBonus|-4	BONUS:SKILL|Disable Device,Open Lock,Sleight of Hands|-4
Illithid Graft (Darksight Eyes)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.IllithidGraft	COST:24000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Illithid Flesh	PREFEAT:1,Graft Flesh	ABILITY:Special Ability|VIRTUAL|Resistance To Mind-Affecting	VISION:Darkvision (60')	BONUS:VAR|MindAffectingResistanceBonus|-4	
Illithid Graft (Mind Blast Relay)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.IllithidGraft	COST:50000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Illithid Flesh	PREFEAT:1,Graft Flesh	ABILITY:Special Ability|VIRTUAL|Resistance To Mind-Affecting	ABILITY:Special Ability|VIRTUAL|Immunity To Mind Blast	BONUS:VAR|MindAffectingResistanceBonus|-4	
Silthilar Graft (Chitin Plating +1)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:4000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|AC|1|TYPE=NaturalArmor		
Silthilar Graft (Chitin Plating +2)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:16000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|AC|2|TYPE=NaturalArmor		
Silthilar Graft (Chitin Plating +3)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:36000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|AC|3|TYPE=NaturalArmor		
Silthilar Graft (Chitin Plating +4)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:64000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|AC|4|TYPE=NaturalArmor		
Silthilar Graft (Chitin Plating +5)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:100000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|AC|5|TYPE=NaturalArmor		
Silthilar Graft (Flexible Spine)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:91000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|INITIATIVE|4|TYPE=Racial	BONUS:SKILL|Balance,Escape Artist,Tumble|4|TYPE=Racial	
Silthilar Graft (Extend Legs)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:91000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:MOVEADD|TYPE.Walk|5		
Silthilar Graft (Healing Blood)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:182000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Fast Healing	BONUS:VAR|FastHealing|2	
Silthilar Graft (Rudimentary Eyespots)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:60000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Immunity To Flanking	BONUS:SKILL|Spot|4	
Silthilar Graft (Silthilar Bones)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:110000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:STAT|CON|2		
Silthilar Graft (Silthilar Heart)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:91000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh				
Silthilar Graft (Silthilar Muscles)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:110000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:STAT|STR|2		
Silthilar Graft (Silthilar Tendons)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.SilthilarGraft	COST:110000	WT:0.00	SOURCEPAGE:LoM			PREABILITY:1,CATEGORY=Special Ability,Graft Silthilar Flesh	PREFEAT:1,Graft Flesh		BONUS:STAT|DEX|2		
