SOURCELONG:Lords of Madness	SOURCESHORT:LoM	SOURCEWEB:http://www.gozzilioni.net										
												
#			TYPE:Magic.Wondrous.Headgear	COST:2000	WT:0		SOURCEPAGE:RLDMG					
###Block								mods	EQMOD			
Master Glyph (Glypg of the Deep)	OUTPUTNAME:[NAME]		TYPE:Magic.Wondrous.Consumable.AbolethGlyph	COST:120000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Master Glyph (Glypg of Enfeeblement)	OUTPUTNAME:[NAME]		TYPE:Magic.Wondrous.Consumable.AbolethGlyph	COST:72000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Master Glyph (Glypg of Extension)	OUTPUTNAME:[NAME]		TYPE:Magic.Wondrous.Consumable.AbolethGlyph	COST:20000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Master Glyph (Glypg of Law)	OUTPUTNAME:[NAME]		TYPE:Magic.Wondrous.Consumable.AbolethGlyph	COST:30000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Master Glyph (Glypg of Slave's Glory)	OUTPUTNAME:[NAME]		TYPE:Magic.Wondrous.Consumable.AbolethGlyph	COST:40000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Master Glyph (Glypg of Slime Curse)	OUTPUTNAME:[NAME]		TYPE:Magic.Wondrous.Consumable.AbolethGlyph	COST:25000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Lens of Ray Chaining			TYPE:Magic.Wondrous.Eyegear	COST:11000	WT:1	BASEITEM:Eye Lenses	SOURCEPAGE:LoM		EQMOD:CHARGED_ITEM_9|CHARGES(9)			
Lens of Ray Doubling			TYPE:Magic.Wondrous.Eyegear	COST:16000	WT:1	BASEITEM:Eye Lenses	SOURCEPAGE:LoM		EQMOD:CHARGED_ITEM_9|CHARGES(9)			
Lens of Ray Extending			TYPE:Magic.Wondrous.Eyegear	COST:2500	WT:1	BASEITEM:Eye Lenses	SOURCEPAGE:LoM		EQMOD:CHARGED_ITEM_9|CHARGES(9)			
Lens of Ray Widening			TYPE:Magic.Wondrous.Eyegear	COST:32000	WT:1	BASEITEM:Eye Lenses	SOURCEPAGE:LoM		EQMOD:CHARGED_ITEM_9|CHARGES(9)			
Sphere Mirror			TYPE:Magic.Wondrous	COST:91000	WT:20		SOURCEPAGE:LoM	MODS:NO				
Brain Canister			TYPE:Magic.Wondrous	COST:30000	WT:5		SOURCEPAGE:LoM	MODS:NO				
Brainmate			TYPE:Magic.Wondrous	COST:10000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Striator			TYPE:Magic.Wondrous	COST:1500	WT:0		SOURCEPAGE:LoM	MODS:NO				
Thought Extruder			TYPE:Magic.Wondrous	COST:45000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Resonance Stone of Despair			TYPE:Magic.Wondrous	COST:56000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Resonance Stone of Fear			TYPE:Magic.Wondrous	COST:56000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Resonance Stone of Delirium			TYPE:Magic.Wondrous	COST:45000	WT:0		SOURCEPAGE:LoM	MODS:NO				
Grell Crystall			TYPE:Magic.Wondrous	COST:10	WT:0		SOURCEPAGE:LoM	MODS:NO				
Lightning Lances			TYPE:Magic.Grellalchemy	COST:3800	WT:0		SOURCEPAGE:LoM	MODS:NO	EQMOD:CHARGED_ITEM_5|CHARGES(5)			
Lightning Lances (Greater)	OUTPUTNAME:Lightning Lances, [NAME]		TYPE:Magic.GrellAlchemy	COST:18000	WT:0		SOURCEPAGE:LoM	MODS:NO	EQMOD:CHARGED_ITEM_7|CHARGES(7)			
Darkrunner Emblem			TYPE:Magic.Wondrous	COST:1200	WT:0		SOURCEPAGE:LoM	MODS:NO		SAB:+2 competence bonus on Survival check made underground.	SPELLS:Darkrunner Emblem|TIMES=ATWILL|CASTERLEVEL=3|Continual Flame	
Cerulean Sign +1			TYPE:Magic.Wondrous	COST:4000	WT:0		SOURCEPAGE:LoM	MODS:NO		SAB:+1 resistance bonus on Will checks against Aberration. +1 luck bonus on all saving throw and AC against Aberration. +1 luck bonus on level check made to overcome aberration's spell resistance.		
Cerulean Sign +2			TYPE:Magic.Wondrous	COST:16000	WT:0		SOURCEPAGE:LoM	MODS:NO		SAB:+2 resistance bonus on Will checks against Aberration. +2 luck bonus on all saving throw and AC against Aberration. +2 luck bonus on level check made to overcome aberration's spell resistance.		
Cerulean Sign +3			TYPE:Magic.Wondrous	COST:36000	WT:0		SOURCEPAGE:LoM	MODS:NO		SAB:+3 resistance bonus on Will checks against Aberration. +3 luck bonus on all saving throw and AC against Aberration. +3 luck bonus on level check made to overcome aberration's spell resistance.		
Cerulean Sign +4			TYPE:Magic.Wondrous	COST:60000	WT:0		SOURCEPAGE:LoM	MODS:NO		SAB:+4 resistance bonus on Will checks against Aberration. +4 luck bonus on all saving throw and AC against Aberration. +4 luck bonus on level check made to overcome aberration's spell resistance.		
Cerulean Sign +5			TYPE:Magic.Wondrous	COST:100000	WT:0		SOURCEPAGE:LoM	MODS:NO		SAB:+5 resistance bonus on Will checks against Aberration. +5 luck bonus on all saving throw and AC against Aberration. +5 luck bonus on level check made to overcome aberration's spell resistance.		
Topaz Diadem			TYPE:Magic.Wondrous.Headband	COST:12000	WT:0		SOURCEPAGE:LoM	MODS:NO	PRECLASS:1,Topaz Guardian=1	BONUS:COMBAT|AC|1|TYPE=Sacred	SAB:+1 sacred bonus on saving throw against attacks made by or created by evil creature. Continuous Protection from Evil.	
Amulet of Inviolate Form			TYPE:Magic.Wondrous.Amulet	COST:11000	WT:0		SOURCEPAGE:LoM	MODS:NO	EQMOD:CHARGED_ITEM_7|CHARGES(7)			
Chuulface Mask			TYPE:Magic.Wondrous.Eyegear	COST:65000	WT:1		SOURCEPAGE:LoM	MODS:NO		SAB:spells with verbal component have 10%% failure chance.	ABILITY:Special Ability|VIRTUAL|Water Breathing	VISION:Darkvision (60')
The Codex Anathema			TYPE:Magic.Wondrous.Book.Consumable	COST:37500	WT:5		SOURCEPAGE:LoM	MODS:NO				
Dust of Negation			TYPE:Magic.Wondrous.Consumable	COST:3300	WT:0		SOURCEPAGE:LoM					
