SOURCELONG:Lord of Madness	SOURCESHORT:LoM	SOURCEWEB:http://www.gozzilioni.net																																																																				
																																																																						
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells						
#Aboleth			STARTFEATS:1	SIZE:H	MOVE:Walk,10,Swim,60	FACE:15	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Aboleth,Aquan,Undercommon		BONUS:COMBAT|AC|7|TYPE=NaturalArmor						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Listen|Spot|Swim|TYPE=Knowledge			AUTO:WEAPONPROF|TYPE=Simple|Aboleth Bite	AUTO:EQUIP|Aboleth Bite					LEGS:0					NATURALATTACKS:Tentacle,Weapon.Natural.Melee.Finesseable.Bludgeoning.Slime,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Enslave|Mucus Cloud|Slime									MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Aquatic	TYPE:Aberration					HITDICEADVANCEMENT:16,24		CR:7	SOURCEPAGE:MonstersIntro-A.rtf							
Aboleth.MOD																																																						RACESUBTYPE:Aboleth																
Aboleth.COPY=Aboleth (Amphibious)																																																																						
Aboleth (Amphibious).MOD	OUTPUTNAME:Aboleth, Amphibious	BONUS:MOVEADD|TYPE.Walk|10	BONUS:MOVEADD|TYPE.Swim|-20	ABILITY:Special Ability|AUTOMATIC|Amphibious																																																											SOURCEPAGE:LoM, pag 20							
Aboleth (Uobilyth)	OUTPUTNAME:Aboleth, Uobilyth		STARTFEATS:1	SIZE:H	MOVE:Walk,10,Fly,60	FACE:15	REACH:10	VISION:Darkvision (60')		PREALIGN:LN,LE,TN,NE,CN,CE	AUTO:LANG|Aboleth|Aquan|Undercommon		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Listen|Spot|Swim|TYPE=Knowledge			AUTO:WEAPONPROF|TYPE=Simple						LEGS:0					NATURALATTACKS:Tentacle,Weapon.Natural.Melee.Finesseable.Bludgeoning.Slime,*4,1d6		ABILITY:Special Ability|AUTOMATIC|Enslave|Mucus Cloud|Slime					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Aberration:8	RACETYPE:Aberration	RACESUBTYPE:Aboleth	TYPE:Aberration					HITDICEADVANCEMENT:16,24		CR:7	SOURCEPAGE:LoM, pag 20		DEFINE:Maneuverability|4					
Aboleth (Stygian)			STARTFEATS:1	SIZE:G	MOVE:Walk,10,Swim,60	FACE:20	REACH:15	VISION:Darkvision (60')			AUTO:LANG|Aboleth|Aquan|Undercommon		BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|24	BONUS:STAT|DEX|2	BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6			MONCSKILL:Concentration|Listen|Spot|Swim|TYPE=Knowledge			AUTO:WEAPONPROF|TYPE=Simple						LEGS:0					NATURALATTACKS:Tentacle,Weapon.Natural.Melee.Finesseable.Bludgeoning.Slime,*4,3d6		ABILITY:Special Ability|AUTOMATIC|Enslave|Mucus Cloud|Slime|Smite Good|Aboleth Smite Good						SR:25	DR:10/Magic		MONSTERCLASS:Aberration:24	RACETYPE:Aberration	RACESUBTYPE:Aquatic|Cold|Aboleth	TYPE:Aberration	TEMPLATE:Aberration	TEMPLATE:Aquatic	TEMPLATE:Cold				CR:15	SOURCEPAGE:LoM, pag 20		BONUS:VAR|AbolethSmiteGoodLVL|20					
Neogi (Spawn).MOD											AUTO:LANG|Common		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial						BONUS:STAT|CON|-2						MONCSKILL:Balance|Climb|Jump|Move Silently|Spot					AUTO:FEAT|Weapon Finesse															ABILITY:Special Ability|AUTOMATIC|Neogi Skills															CR:1/3	SOURCEPAGE:LoM, pag 91							
Neogi (Adult).MOD		FAVCLASS:Sorcerer|Rogue									AUTO:LANG|Common				BONUS:SKILL|Climb|8|TYPE=Racial												MONCSKILL:Appraise|Balance|Climb|Disable Device|Intimidate|Jump|Move Silently|Search|Spot																				ABILITY:Special Ability|AUTOMATIC|Neogi Skills														LEVELADJUSTMENT:3	CR:3	SOURCEPAGE:LoM, pag 91							
Neogi (Great Old Master).MOD	OUTPUTNAME:Neogi (Mindless Great Old Master)										AUTO:LANG|Common				BONUS:SKILL|Climb|8|TYPE=Racial																																ABILITY:Special Ability|AUTOMATIC|Neogi Skills																							
Neogi (Great Old Master/LoM)	OUTPUTNAME:Neogi (Great Old Master)		STARTFEATS:1	SIZE:H	MOVE:Walk,20,Climb,20	FACE:15	REACH:10	VISION:Darkvision (60')			AUTO:LANG|Common		BONUS:COMBAT|AC|6|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb|8|TYPE=Racial		BONUS:VAR|PoisonDC|3|TYPE=Racial		BONUS:STAT|STR|8	BONUS:STAT|DEX|-2	BONUS:STAT|CON|4	BONUS:STAT|INT|-6	BONUS:STAT|WIS|4	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Intimidate|Jump|Move Silently|Spot									LEGS:6	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Poison,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Spit Spawn				ABILITY:Special Ability|AUTOMATIC|Neogi Skills					MONSTERCLASS:Aberration:10	RACETYPE:Aberration		TYPE:Aberration	TEMPLATE:Aberration|Neogi						CR:6	SOURCEPAGE:LoM, pag 91							
