SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
#	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	AUTO:ARMORPROF|Tatterdemalion																												SOURCEPAGE:?
Fatemaker Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	AUTO:WEAPONPROF|Longsword|Rapier|Sap|Sword (Short)|Shortbow|Whip																												
Armored Casting (Fatemaker)	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES	DESC:You may wear light armor without incurring the normal arcane spell failure chance.	OUTPUTNAME:Armored Casting																											SOURCEPAGE:PH
																																
# Ability Name																																
Fighter Align Puissance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:FighterAlignPuissanceLVL|0					BONUS:VAR|AlignPuissancePerDay|1	BONUS:VAR|AlignPuissanceDuration|FighterAlignPuissanceLVL																	SOURCEPAGE:PH
Monk Axiomatic Soul	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:MonkAxiomaticSoulLVL|0					BONUS:VAR|AxiomaticSoulSR|MonkAxiomaticSoulLVL																		SOURCEPAGE:PH
Monk Ki Strike Cold Iron	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|KiStrikeColdIron|1	BONUS:VAR|KiStrikeAdaman|-1																	SOURCEPAGE:PH
Paladin Smite Evil Outsider	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:PaladinSmiteEvilOutsidersLVL|0					BONUS:VAR|SmiteEvilOutsiders|1+max(0,CHA)	BONUS:VAR|SmiteEvilOutsidersDamage|max(0,CHA)																	SOURCEPAGE:PH
Sorcerer Extraplanar Spell Penetration	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ExtraplanarSpellPenetrationPerDay|3	BONUS:VAR|ExtraplanarSpellPenetrationBonus|CHA																	SOURCEPAGE:PH
Defiant Spell Resistance ~ Mind Affecting	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DefiantSpellResistanceMindAffectingLVL|0					BONUS:VAR|MindAffectingSR|DefiantSpellResistanceMindAffectingLVL																		SOURCEPAGE:PH
Defiant Divine Resistance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DivineResistance|max(0,CHA)																		SOURCEPAGE:PH
Defiant Divine Cancellation	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DefiantDivineCancellationLVL|0					BONUS:VAR|DivineCancellationPerDay|max(0,CHA)	BONUS:VAR|DivineCancellationLVL|DefiantDivineCancellationLVL																	SOURCEPAGE:PH
Defiant Aligned Strike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DefiantAlignedStrikeLVL|0					BONUS:VAR|AlignedStrikePerDay|DefiantAlignedStrikeLVL/5	BONUS:VAR|AlignedStrikeDuration|DefiantAlignedStrikeLVL																	SOURCEPAGE:PH
Doomlord Entropic Blow	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DoomlordEntropicBlowLVL|0					BONUS:VAR|EntropicBlowDamage|2*DoomlordEntropicBlowLVL	BONUS:VAR|EntropicBlow|1+(DoomlordEntropicBlowLVL/5)																	SOURCEPAGE:PH
