SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Defiant	HD:8	TYPE:PC.Prestige	ABB:Defi	MAXLEVEL:10	SOURCEPAGE:PH	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	EXCLASS:Ex Defiant	
CLASS:Defiant	PRECHECKBASE:1,Will=5	PRESKILL:1,Knowledge (The Planes)=4	PRESKILL:1,Knowledge (Religion)=8	PRETEXT:must not worship any deity or have one as patron or has any connection to a god. Member of the Athar faction.							
CLASS:Defiant	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Gather Information|Intimidate|Knowledge (The Planes)|Knowledge (Religion)|Listen|TYPE.Profession|Spellcraft									
1	EXCHANGELEVEL:Ex Cleric|1|9|0			ABILITY:Special Ability|AUTOMATIC|Lay on Hands|PRECLASS:1,Ex Cleric=1			BONUS:VAR|LayOnHandsLVL|CL				
1				ABILITY:Special Ability|AUTOMATIC|Imbue Himself|PRECLASS:1,Ex Cleric=3			BONUS:VAR|ImbueHimselfPerDay|3				
1				ABILITY:Special Ability|AUTOMATIC|Gift of Language|PRECLASS:1,Ex Cleric=5			BONUS:VAR|GiftOfLanguagePerDay|1				
1				ABILITY:Special Ability|AUTOMATIC|Dismissal (Sp)|PRECLASS:1,Ex Cleric=7			BONUS:VAR|DismissalPerDay|2	BONUS:VAR|DismissalLVL|CL			
1				ABILITY:Special Ability|AUTOMATIC|Plane Shift (Sp)|PRECLASS:1,Ex Cleric=9			BONUS:VAR|PlaneShiftPerDay|3	BONUS:VAR|PlaneShiftLVL|CL			
#											
1				ABILITY:Special Ability|AUTOMATIC|Spell Resistance ~ Mind Affecting|Defiant Spell Resistance ~ Mind Affecting			BONUS:VAR|DefiantSpellResistanceMindAffectingLVL|CL				
2				ABILITY:Special Ability|AUTOMATIC|Divine Resistance|Defiant Divine Resistance							
3				ABILITY:Special Ability|AUTOMATIC|Divine Damage Immunity							
4				ABILITY:Special Ability|AUTOMATIC|Divine Cancellation|Defiant Divine Cancellation							
5				ABILITY:Special Ability|AUTOMATIC|Aligned Strike|Defiant Aligned Strike			BONUS:VAR|DefiantAlignedStrikeLVL|CL				
6				ABILITY:Special Ability|AUTOMATIC|Divine Prevention							
7				ABILITY:Special Ability|AUTOMATIC|Nondetection							
8				ABILITY:Special Ability|AUTOMATIC|Divine Retribution							
9				ABILITY:Special Ability|AUTOMATIC|Divine Interference							
