SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																																				
#																																						
###Block:Book abilities																																						
Abyssal Bloodiron	KEY:ABLOOD	TYPE:BaseMaterial.MasterworkQuality.Ammunition.Armor.Shield.Weapon	COST:10000	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+4 bonus on critical hit confirmation check. 30Hp/inch and 10 hardness	PRETYPE:1,Metal		REPLACES:MWORKW	ITYPE:Masterwork.Metal.AbyssalBloodIron	BONUS:EQMARMOR|ACCHECK|1|TYPE=Enhancement	BONUS:ITEMCOST|TYPE.Enhancement.Weapon|2000				ASSIGNTOALL:NO																						
Astral Driftmetal	KEY:ADRFT	TYPE:BaseMaterial.MasterworkQuality.Armor.Shield	COST:12000	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:full armor bonus to AC (including enhancement) applies to wearer's touch AC against Incorporeal Attack. 30Hp/inch and 12 hardness	PREMULT:1,[PRETYPE:3,Metal,Armor,Heavy],[PRETYPE:2,Metal,Shield],[PRETYPE:1,Breastplate]		REPLACES:MWORKW	ITYPE:Masterwork.Metal.AstralDriftmetal	BONUS:EQMARMOR|ACCHECK|1|TYPE=Enhancement					ASSIGNTOALL:NO																						
#																																						
|Spell Effect (Single Use/Completion/Fireproof)	KEY:A_1USEMI_FP	NAMEOPT:SPELL	TYPE:Scroll.Arcane.Minor	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Fireproof	SOURCEPAGE:PH	PRETYPE:3,Scroll,Arcane,Minor							CHOOSE:EQBUILDER.SPELL|Arcane|0|3																							
|Spell Effect (Single Use/Completion/Fireproof)	KEY:A_1USEME_FP	NAMEOPT:SPELL	TYPE:Scroll.Arcane.Medium	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Fireproof	SOURCEPAGE:PH	PRETYPE:3,Scroll,Arcane,Medium							CHOOSE:EQBUILDER.SPELL|Arcane|2|5																							
|Spell Effect (Single Use/Completion/Fireproof)	KEY:A_1USEMA_FP	NAMEOPT:SPELL	TYPE:Scroll.Arcane.Major	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Fireproof	SOURCEPAGE:PH	PRETYPE:3,Scroll,Arcane,Major							CHOOSE:EQBUILDER.SPELL|Arcane|4|9																							
|Spell Effect (Single Use/Completion/Fireproof)	KEY:D_1USEMI_FP	NAMEOPT:SPELL	TYPE:Scroll.Divine.Minor	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Fireproof	SOURCEPAGE:PH	PRETYPE:3,Scroll,Divine,Minor							CHOOSE:EQBUILDER.SPELL|Divine|0|3																							
|Spell Effect (Single Use/Completion/Fireproof)	KEY:D_1USEME_FP	NAMEOPT:SPELL	TYPE:Scroll.Divine.Medium	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Fireproof	SOURCEPAGE:PH	PRETYPE:3,Scroll,Divine,Medium							CHOOSE:EQBUILDER.SPELL|Divine|2|5																							
|Spell Effect (Single Use/Completion/Waterproof)	KEY:D_1USEMA_FP	NAMEOPT:SPELL	TYPE:Scroll.Divine.Major	COST:(1.1)*((25*(max((%SPELLLEVEL),(1/2)))*%CASTERLEVEL)+%SPELLCOST+(5*%SPELLXPCOST))	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable.Fireproof	SOURCEPAGE:PH	PRETYPE:3,Scroll,Divine,Major							CHOOSE:EQBUILDER.SPELL|Divine|4|9																							
|Planar Touchstone (Single Use/Completion)	KEY:PSTONE_1USE	NAMEOPT:SPELL	TYPE:PlanarTouchstone	COST:0	VISIBLE:QUALIFY	ITYPE:Enhancement.Magic.Consumable	SOURCEPAGE:PH	PRETYPE:1,PlanarTouchstone						CHOOSE:EQBUILDER.SPELL|ANY|0|9																								
#																																						
Fireproof	KEY:CLOTH_FIR_PRF	TYPE:Clothing	COST:80	VISIBLE:QUALIFY	SOURCEPAGE:PH		PRETYPE:1,Clothing			ITYPE:Fireproof																												
#																																						
Fireproof PH	KEY:BK_FIR_PRF2	TYPE:Spellbook	COST:50	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:impervious to damage caused by fire	PRETYPE:1,Book,Spellbook																															
Waterproof PH	KEY:BK_WTR_PRF2	TYPE:Spellbook	COST:50	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:impervious to damage caused by water	PRETYPE:1,Book,Spellbook																															
#																																						
Touchstone Blade	KEY:TCH_BLD_M	TYPE:Weapon.Melee.Thrown	COST:200	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:touchstone blade	PRETYPE:2,MasterworkQuality,Weapon	PREMULT:2,[PRETYPE:1,Melee,Thrown],[PRETYPE:1,Slashing,Piercing]		ITYPE:Goods.PlanarTouchstone																												ASSIGNTOALL:NO
#																																						
Amphibious	KEY:AMPH_A	TYPE:Armor	COST:21000	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Enables the character to breath water	PRETYPE:2,Enhancement,Armor	ABILITY:Special Ability|VIRTUAL|Water Breathing	BONUS:SKILL|Swim|5|TYPE=Competence																													
Fire Warding	KEY:FR_WRD_A	TYPE:Armor	COST:24000	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Negate the weare's vulnerability to fire	PRETYPE:2,Enhancement,Armor																															
Frost Warding	KEY:FRS_WRD_A	TYPE:Armor	COST:24000	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Negate the weare's vulnerability to cold	PRETYPE:2,Enhancement,Armor																															
Hamatula Barbs	KEY:HAMA_BRB_A	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Creature that hits the wearer with natural or handheld melee weapon, without reach, take 1d8 slashing and piercing damage	PRETYPE:2,Enhancement,Armor																															
Planar Tolerance	KEY:PLN_TOLER_A	TYPE:Armor.Shield	COST:25000	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Negates the natural effects like Planar Tolerance spell	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]																															
Slimy	KEY:SLMY_A	TYPE:Armor.Shield	COST:16200	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:3/day Babau Slime spell	PREMULT:2,[PRETYPE:1,Enhancement],[PRETYPE:1,Armor,Shield]	SPELLS:Slimy|TIMES=3|CASTERLEVEL=5|Babau Slime,13+CHA																														
Styptic	KEY:STPY_A	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Doesn't suffer ongoing blood loss from dying, infernal wounds or similar, 25%% of being unaffected by blood draining abilities or wounding weapon effects	PRETYPE:2,Enhancement,Armor																															
#																																						
Aquan	KEY:AQN_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Fire subtype creatures, +2d6 bonus damage vs. creature with Fire subtype, 1 negative level bestowed to any fire creature that wield it	PRETYPE:2,Enhancement,Ammunition		ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Fire																												
Aquan	KEY:AQN_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Fire subtype creatures, +2d6 bonus damage vs. creature with Fire subtype, 1 negative level bestowed to any fire creature that wield it	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Fire																												
Aquan	KEY:AQN_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Fire subtype creatures, +2d6 bonus damage vs. creature with Fire subtype, 1 negative level bestowed to any fire creature that wield it	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Fire																												
Auran	KEY:ARN_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Earth subtype creatures, +2d6 bonus damage vs. creature with Earth subtype, 1 negative level bestowed to any earth creature that wield it	PRETYPE:2,Enhancement,Ammunition		ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Earth																												
Auran	KEY:ARN_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Earth subtype creatures, +2d6 bonus damage vs. creature with Earth subtype, 1 negative level bestowed to any earth creature that wield it	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Earth																												
Auran	KEY:ARN_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Earth subtype creatures, +2d6 bonus damage vs. creature with Earth subtype, 1 negative level bestowed to any earth creature that wield it	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Earth																												
Consumptive	KEY:CNSNT_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+1d6 bonus negative energy damage	PRETYPE:2,Enhancement,Ammunition																															
Consumptive	KEY:CNSNT_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+1d6 bonus negative energy damage	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown																														
Consumptive	KEY:CNSNT_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+1d6 bonus negative energy damage	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown																														
Consumptive Burst	KEY:CNSNT_BR_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+1d6 bonus negative energy damage. On a critical hits bestow a negative level even if the consumptive ability is not active.	PRETYPE:2,Enhancement,Ammunition																															
Consumptive Burst	KEY:CNSNT_BR_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+1d6 bonus negative energy damage. On a critical hits bestow a negative level even if the consumptive ability is not active.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown																														
Consumptive Burst	KEY:CNSNT_BR_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:+1d6 bonus negative energy damage bestowed on ammunition. On a critical hits bestow a negative level even if the consumptive ability is not active.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown																														
Ignan	KEY:IGN_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Water subtype creatures, +2d6 bonus damage vs. creature with Water subtype, 1 negative level bestowed to any water creature that wield it	PRETYPE:2,Enhancement,Ammunition		ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Water																												
Ignan	KEY:IGN_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Water subtype creatures, +2d6 bonus damage vs. creature with Water subtype, 1 negative level bestowed to any water creature that wield it	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Water																												
Ignan	KEY:IGN_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Water subtype creatures, +2d6 bonus damage vs. creature with Water subtype, 1 negative level bestowed to any water creature that wield it	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Water																												
Impedance	KEY:IMPEDE_A	TYPE:Ammunition	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Impede magic planar trait to creature hit.	PRETYPE:2,Enhancement,Ammunition																															
Impedance	KEY:IMPEDE_M	TYPE:Weapon.Melee.Thrown	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Impede magic planar trait to creature hit.	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown																														
Impedance	KEY:IMPEDE_R	TYPE:Weapon.Ranged	PLUS:3	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Impede magic planar trait to creature hit.	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown																														
Terran	KEY:TRN_A	TYPE:Ammunition	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Air subtype creatures, +2d6 bonus damage vs. creature with Air subtype, 1 negative level bestowed to any air creature that wield it	PRETYPE:2,Enhancement,Ammunition		ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Air																												
Terran	KEY:TRN_M	TYPE:Weapon.Melee.Thrown	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Air subtype creatures, +2d6 bonus damage vs. creature with Air subtype, 1 negative level bestowed to any air creature that wield it	PRETYPE:2,Enhancement,Weapon	PRETYPE:1,Melee,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Air																												
Terran	KEY:TRN_R	TYPE:Weapon.Ranged	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:PH	SPROP:Bypass damage reduction of Air subtype creatures, +2d6 bonus damage vs. creature with Air subtype, 1 negative level bestowed to any air creature that wield it	PRETYPE:3,Enhancement,Weapon,Ranged	!PRETYPE:1,Thrown	ABILITY:Special Ability|AUTOMATIC|Negative Levels	BONUS:VAR|NegLevels|1|PRERACE:1,RACESUBTYPE=Air																												
