SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																																																															
# Race Name	Output Name	Favored Class		Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells
Planetouched (Aasimar).MOD																																					LEGS:2	HANDS:2																									CR:1	SOURCEPAGE:PH	
Bariaur.MOD	OUTPUTNAME:Bariaur, Exalted																																																																
lanetouched (Bariaur)	OUTPUTNAME:Bariaur	FAVCLASS:Ranger		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Celestial|Common	LANGBONUS:Abyssal,Infernal							BONUS:STAT|STR|2					BONUS:STAT|CHA|-2												LEGS:4	HANDS:2				NATURALATTACKS:Ram,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Internal|AUTOMATIC|Bariaur Racial Trait Default										RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Planetouched|Bariaur	TYPE:PC						LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:PH	
Buommans		FAVCLASS:Monk		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Low-Light			AUTO:LANG|Buonmi|Common	LANGBONUS:Aquan,Githzerai,Terran											BONUS:STAT|WIS|2	BONUS:STAT|CHA|-2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Buommans Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Extraplanar|Planetouched|Bariaur	TYPE:PC							CR:1	SOURCEPAGE:PH	
Mephling (Air)		FAVCLASS:Bard		STARTFEATS:1	SIZE:S	MOVE:Walk,30,Fly,10	FACE:5	REACH:5				AUTO:LANG|Common|Auran	LANGBONUS:Aquan,Ignan,Terran								BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Mephling Racial Trait Default|Mephling Air Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Extraplanar|Planetouched|Mephling	TYPE:PC						LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:PH	
Mephling (Earth)		FAVCLASS:Druid		STARTFEATS:1	SIZE:S	MOVE:Walk,30,Burrow,10	FACE:5	REACH:5				AUTO:LANG|Common|Terran	LANGBONUS:Aquan,Auran,Ignan							BONUS:STAT|STR|2	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Mephling Racial Trait Default|Mephling Earth Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Extraplanar|Planetouched|Mephling	TYPE:PC						LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:PH	
Mephling (Fire)		FAVCLASS:Sorcerer		STARTFEATS:1	SIZE:S	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Common|Ignan	LANGBONUS:Aquan,Auran,Terran								BONUS:STAT|DEX|2		BONUS:STAT|INT|-2		BONUS:STAT|CHA|2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Mephling Racial Trait Default|Mephling Fire Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Extraplanar|Planetouched|Mephling	TYPE:PC						LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:PH	
Mephling (Water)		FAVCLASS:Monk		STARTFEATS:1	SIZE:S	MOVE:Walk,30,Swim,30	FACE:5	REACH:5				AUTO:LANG|Common|Aquan	LANGBONUS:Auran,Ignan,Terran									BONUS:STAT|CON|2	BONUS:STAT|INT|-2		BONUS:STAT|CHA|2												LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Mephling Racial Trait Default|Mephling Water Racial Trait										RACETYPE:Humanoid	RACESUBTYPE:Extraplanar|Planetouched|Mephling	TYPE:PC						LEVELADJUSTMENT:1	CR:1	SOURCEPAGE:PH	
Neraph		FAVCLASS:Ranger		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Neraph|Slaad	LANGBONUS:Common,Celestial,Abyssal																		CHANGEPROF:Annulat=Martial						LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Neraph Racial Trait Default										RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Planetouched|Neraph	TYPE:PC							CR:1/2	SOURCEPAGE:PH	
Shadowswyft		FAVCLASS:Rogue		STARTFEATS:1	SIZE:M	MOVE:Walk,40	FACE:5	REACH:5	VISION:Low-Light|Darkvision (120')			AUTO:LANG|Shadowswyft|Common	LANGBONUS:Abyssal,Celestial,Elven								BONUS:STAT|DEX|2	BONUS:STAT|CON|-2															LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Shadowswyft Racial Trait Default										RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Planetouched|Shadowswyft	TYPE:PC							CR:1/2	SOURCEPAGE:PH	
Spikers		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')			AUTO:LANG|Common	LANGBONUS:Infernal																								LEGS:2	HANDS:2						ABILITY:Internal|AUTOMATIC|Spiker Racial Trait Default										RACETYPE:Humanoid	RACESUBTYPE:Extraplanar|Planetouched|Spiker	TYPE:PC							CR:1/2	SOURCEPAGE:PH	
