SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net																							
																									
#Saint		VISIBLE:YES	SOURCEPAGE:EXD	!PRERACE:1,TYPE=Outsider,TYPE=Elemental	PREALIGN:LG,NG,CG		RACETYPE:Outsider	TEMPLATE:Outsider	BONUS:COMBAT|AC|WIS|TYPE=Insight	ABILITY:Special Ability|AUTOMATIC|Holy Power|Holy Touch	ABILITY:Special Ability|AUTOMATIC|Fast Healing|Resistance To Fire|Resistance To Poison|Tongues	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=TL|Guidance|Resistance|Virtue|Bless	DR:5/magic|PREHD:MIN=4	DR:5/evil|PREHD:MIN=8	DR:10/evil|PREHD:MIN=12	DEFINE:FastHealing|max(10,(TL/2))	ABILITY:Special Ability|AUTOMATIC|Immunity To Acid|Immunity To Cold|Immunity To Electricity|Immunity To Petrification|Protective Aura	VISION:Low-Light|Darkvision (60')	DEFINE:FireResistBonus|10	DEFINE:PoisonResistBonus|4	BONUS:STAT|CON|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4	BONUS:MISC|CR|2	LEVELADJUSTMENT:2
Anarchic		VISIBLE:YES	SOURCEPAGE:PH	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Fey,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Ooze,RACETYPE=Plant,RACETYPE=Vermin	!PRERACE:1,RACESUBTYPE=Incorporeal	PREALIGN:NG,TN,NE,CG,CN,CE	RACESUBTYPE:Extraplanar	TEMPLATE:CHOOSE:Anarchic (Animal)|Anarchic (Vermin)	TEMPLATE:CHOOSE:Int Bonus +1|Int Bonus +2|Int Bonus +3	ABILITY:Special Ability|AUTOMATIC|Smite Law|Resistance To Acid|Resistance To Cold|Resistance To Electricity|Resistance To Fire|Resistance To Sonic|Immunity To Polymorph|Immunity To Petrification|Fast Healing	BONUS:VAR|SmiteLaw|1	BONUS:VAR|SmiteLawDamage|min(TL,20)	BONUS:VAR|AcidResistanceBonus,ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus,SonicResistanceBonus|5		DR:5/magic|PREHD:MIN=12	VISION:Darkvision (60')	BONUS:MISC|CR|1|PRELEVEL:MIN=4	BONUS:MISC|CR|1|PRELEVEL:MIN=8	LEVELADJUSTMENT:5						
Anarchic (Animal)		VISIBLE:NO	SOURCEPAGE:PH	PRERACE:1,TYPE=Animal			RACETYPE:Magical Beast	RACESUBTYPE:Augmented Animal	TEMPLATE:Augmented (Animal)																
Anarchic (Vermin)		VISIBLE:NO	SOURCEPAGE:PH	PRERACE:1,TYPE=Vermin			RACETYPE:Magical Beast	RACESUBTYPE:Augmented Vermin	TEMPLATE:Augmented (Vermin)	DEFINE:UNLOCK.INT	KIT:1|Vermin Intelligence														
Axiomatic		VISIBLE:YES	SOURCEPAGE:PH	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Fey,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Ooze,RACETYPE=Plant,RACETYPE=Vermin	!PRERACE:1,RACESUBTYPE=Incorporeal	PREALIGN:LG,LN,LE,NG,TN,NE	RACESUBTYPE:Extraplanar	TEMPLATE:CHOOSE:Axiomatic (Animal)|Axiomatic (Vermin)	TEMPLATE:CHOOSE:Int Bonus +1|Int Bonus +2|Int Bonus +3	ABILITY:Special Ability|AUTOMATIC|Smite Chaos|Resistance To Cold|Resistance To Electricity|Resistance To Fire|Resistance To Sonic|Linked Mind	BONUS:VAR|SmiteChaos|1	BONUS:VAR|SmiteChaosDamage|min(TL,20)	BONUS:VAR|ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus,SonicResistanceBonus|5	BONUS:VAR|ColdResistanceBonus,ElectricityResistanceBonus,FireResistanceBonus,SonicResistanceBonus|5|PREHD:MIN=12	SR:min(5+HD,25)	VISION:Darkvision (60')	BONUS:MISC|CR|1|PRELEVEL:MIN=4	BONUS:MISC|CR|1|PRELEVEL:MIN=8	LEVELADJUSTMENT:4						
Axiomatic (Animal)		VISIBLE:NO	SOURCEPAGE:PH	PRERACE:1,TYPE=Animal			RACETYPE:Magical Beast	RACESUBTYPE:Augmented Animal	TEMPLATE:Augmented (Animal)																
Axiomatic (Vermin)		VISIBLE:NO	SOURCEPAGE:PH	PRERACE:1,TYPE=Vermin			RACETYPE:Magical Beast	RACESUBTYPE:Augmented Vermin	TEMPLATE:Augmented (Vermin)	DEFINE:UNLOCK.INT	KIT:1|Vermin Intelligence														
Entropic		VISIBLE:YES	SOURCEPAGE:PH	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Fey,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Outsider,RACETYPE=Plant,RACETYPE=Undead,RACETYPE=Vermin			TEMPLATE:CHOOSE:Entropic (Undead)|Entropic (Other)		TEMPLATE:CHOOSE:Int Bonus +1|Int Bonus +2|Int Bonus +3	NATURALATTACKS:Negative Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,1d4	ABILITY:Special Ability|AUTOMATIC|Negative Energy Ray|Limited Spell Resistance (Positive energy)|Negative Adaptation|Negative Energy Aura|Turn Resistance	BONUS:VAR|TurnResistBonus|4					BONUS:MISC|CR|1	BONUS:MISC|CR|1|PRELEVEL:MIN=4	BONUS:MISC|CR|1|PRELEVEL:MIN=8	LEVELADJUSTMENT:2	BONUS:STAT|CON|2	BONUS:STAT|CHA|2			
Entropic (Undead)		VISIBLE:NO	SOURCEPAGE:PH	PRERACE:1,TYPE=Undead			RACETYPE:Undead																		
Entropic (Other)		VISIBLE:NO	SOURCEPAGE:PH	!PRERACE:1,TYPE=Undead			RACETYPE:Outsider	RACESUBTYPE:Extraplanar																	
Vivacious		VISIBLE:NO	SOURCEPAGE:PH	PRERACE:1,RACETYPE=Aberration,RACETYPE=Animal,RACETYPE=Dragon,RACETYPE=Fey,RACETYPE=Giant,RACETYPE=Humanoid,RACETYPE=Magical Beast,RACETYPE=Monstrous Humanoid,RACETYPE=Outsider,RACETYPE=Plant,RACETYPE=Vermin	!PRERACE:1,RACESUBTYPE=Incorporeal		RACETYPE:Outsider	RACESUBTYPE:Extraplanar	TEMPLATE:CHOOSE:Int Bonus +1|Int Bonus +2|Int Bonus +3	NATURALATTACKS:Positive Energy Ray,Weapon.Natural.Ranged.Finesseable.Touch,*1,1d4	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Positive Energy Ray|Fast Healing|Limited Spell Resistance (Negative Energy)|Positive Adaptation|Positive Energy Aura	MOVECLONE:Walk,Fly,0	BONUS:COMBAT|CA|mac(CHA,1)|TYPE=Deflection	BONUS:VAR|Maneuverability|5	BONUS:VAR|FastHealing|5		BONUS:MISC|CR|1	BONUS:MISC|CR|1|PRELEVEL:MIN=4	BONUS:MISC|CR|1|PRELEVEL:MIN=8	LEVELADJUSTMENT:5	BONUS:STAT|CON|2	BONUS:STAT|CHA|2			
