SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Wizard.MOD												
SUBCLASS:Air Elementalist	COST:1	CHOICE:DESCRIPTOR|Air	KNOWNSPELLSFROMSPECIALTY:1									
SUBCLASSLEVEL:1				ABILITY:Class Ability|AUTOMATIC|Air Elementalist Learning Bonus			BONUS:ABILITYPOOL|Wizard Prohibited Element|1					
SUBCLASS:Earth Elementalist	COST:1	CHOICE:DESCRIPTOR|Earth	KNOWNSPELLSFROMSPECIALTY:1									
SUBCLASSLEVEL:1				ABILITY:Class Ability|AUTOMATIC|Earth Elementalist Learning Bonus			BONUS:ABILITYPOOL|Wizard Prohibited Element|1					
SUBCLASS:Fire Elementalist	COST:1	CHOICE:DESCRIPTOR|Fire	KNOWNSPELLSFROMSPECIALTY:1									
SUBCLASSLEVEL:1				ABILITY:Class Ability|AUTOMATIC|Fire Elementalist Learning Bonus			BONUS:ABILITYPOOL|Wizard Prohibited Element|1					
SUBCLASS:Water Elementalist	COST:1	CHOICE:DESCRIPTOR|Water	KNOWNSPELLSFROMSPECIALTY:1									
SUBCLASSLEVEL:1				ABILITY:Class Ability|AUTOMATIC|Water Elementalist Learning Bonus			BONUS:ABILITYPOOL|Wizard Prohibited Element|1					
1	PROHIBITSPELL:DESCRIPTOR.Air|PREVARGTEQ:ProhibitAirElement,1											
1	PROHIBITSPELL:DESCRIPTOR.Earth|PREVARGTEQ:ProhibitEarthElement,1											
1	PROHIBITSPELL:DESCRIPTOR.Fire|PREVARGTEQ:ProhibitFireElement,1											
1	PROHIBITSPELL:DESCRIPTOR.Water|PREVARGTEQ:ProhibitWaterElement,1											
