SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Gnome Artificer	HD:6	TYPE:PC.Prestige	ABB:Gar	MAXLEVEL:10	SOURCEPAGE:MoF	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE		
CLASS:Gnome Artificer	PREMULT:1,[PRERACE:1,RACESUBTYPE=Gnome],[PREMULT:2,[PRERACE:1,RACESUBTYPE=Human],[PREREGION:1,Lantan]]	PRESKILL:1,Craft (Alchemy)=3	PRESKILL:1,Craft (Armorsmithing)=8,Craft (Blacksmithing)=8,Craft (Gemcutting)=8,Craft (Locksmithing)=8,Craft (Metalworking)=8,Craft (Trapmaking)=8,Craft (Weaponsmithing)=8	PRESKILL:3,Craft (Armorsmithing)=4,Craft (Blacksmithing)=4,Craft (Gemcutting)=4,Craft (Locksmithing)=4,Craft (Metalworking)=4,Craft (Trapmaking)=4,Craft (Weaponsmithing)=4	PRESKILL:1,Disable Device=2	PRESKILL:1,Knowledge (Architecture and Engineering)=4	PRESKILL:1,Profession (Apothecary)=3,Profession (Engineer)=3,Profession (Siege Engineer)=3	PREFEAT:1,Lightning Reflexes	PREFEAT:1,Skill Focus(Craft (Armorsmithing)),Skill Focus(Craft (Blacksmithing)),Skill Focus(Craft (Gemcutting)),Skill Focus(Craft (Locksmithing)),Skill Focus(Craft (Metalworking)),Skill Focus(Craft (Trapmaking)),Skill Focus(Craft (Weaponsmithing))	PRESPELLSCHOOL:1,Illusion=1	PRESPELLTYPE:1,Arcane=1
CLASS:Gnome Artificer	STARTSKILLPTS:4	CSKILL:Appraise|Concentration|TYPE.Craft|Disable Device|Knowledge (Architecture and Engineering)|Listen|TYPE.Profession|Search|Use Rope									
CLASS:Gnome Artificer	SPELLSTAT:INT	SPELLTYPE:Mundane	SPELLBOOK:YES	KNOWNSPELLS:LEVEL=0	BONUS:CASTERLEVEL|Gnome Artificer|CL						
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Gnome Artificier
#											
1		KNOWN:4,2		ABILITY:Special Ability|AUTOMATIC|Artificer Item							
2		KNOWN:5,2		ABILITY:Special Ability|AUTOMATIC|Bonus Item|Gnome Artificer Bonus Item			BONUS:VAR|GnomeArtificerBonusItemLVL|CL				
3		KNOWN:5,3,1	AUTO:FEAT|Skill Focus(Disable Device)								
4		KNOWN:6,3,2									
5		KNOWN:6,4,2,1		ABILITY:Special Ability|AUTOMATIC|Salvage							
6		KNOWN:7,4,3,2									
