SOURCELONG:Monsters of Faerun	SOURCESHORT:Mon	SOURCEWEB:http://www.gozzilioni.net							
#									
CLASS:Banelar	HD:10	TYPE:Monster	MAXLEVEL:7	SOURCEPAGE:Mon	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE	
# Class Name	Required Race		Reg. Race Type						
CLASS:Banelar	PRERACE:1,Banelar	PRERACETYPE:1,Magical Beast							
# Class Name	Skill Pts/Lvl	Add INT to Skill Points?							
CLASS:Banelar	STARTSKILLPTS:2	MODTOSKILLS:NO	BONUS:DOMAIN|NUMBER|3						
1									
2	BONUS:PCLEVEL|Cleric|1	BONUS:PCLEVEL|Wizard|1	ADD:SPELLCASTER|1|Cleric	ADD:SPELLCASTER|1|Wizard	DOMAIN:Evil|Magic|Water				
3	BONUS:PCLEVEL|Cleric|1	BONUS:PCLEVEL|Wizard|1							
4	BONUS:PCLEVEL|Cleric|1	BONUS:PCLEVEL|Wizard|1							
5	BONUS:PCLEVEL|Cleric|1	BONUS:PCLEVEL|Wizard|1							
6	BONUS:PCLEVEL|Cleric|1	BONUS:PCLEVEL|Wizard|1							
7	BONUS:PCLEVEL|Cleric|1	BONUS:PCLEVEL|Wizard|1							
#									
CLASS:Choldrith	HD:8	TYPE:Monster	MAXLEVEL:4	SOURCEPAGE:Mon	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	
# Class Name	Skill Pts/Lvl	Class Skill							
CLASS:Choldrith	PRERACE:1,Choldrith	PRERACETYPE:1,Aberration							
# Class Name	Skill Pts/Lvl	Add INT to Skill Points?							
CLASS:Choldrith	STARTSKILLPTS:2	MODTOSKILLS:NO	BONUS:DOMAIN|NUMBER|3						
1	BONUS:PCLEVEL|Cleric|1	ADD:SPELLCASTER|1|Cleric	DOMAIN:Chaos|Evil|Protection						
2	BONUS:PCLEVEL|Cleric|1								
3	BONUS:PCLEVEL|Cleric|1								
4	BONUS:PCLEVEL|Cleric|1								
#									
CLASS:Cloaker Lord	HD:8		TYPE:Monster	MAXLEVEL:9	SOURCEPAGE:Mon	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE
# Class Name	Reg. Race Type								
CLASS:Cloaker Lord	PRERACE:1,Cloaker Lord	PRERACETYPE:Aberration							
# Class Name	Skill Pts/Lvl	Add INT to Skill Points?							
CLASS:Cloaker Lord	STARTSKILLPTS:2	MODTOSKILLS:YES							
SUBCLASS:Shadow		COST:0		CHOICE:SUBSCHOOL|Shadow	KNOWNSPELLSFROMSPECIALTY:1				
SUBCLASSLEVEL:1	ABILITY:Special Ability|AUTOMATIC|Shadow Learning Bonus								
1	BONUS:PCLEVEL|Wizard|1	ADD:SPELLCASTER|1|Wizard							
2	BONUS:PCLEVEL|Wizard|1								
3	BONUS:PCLEVEL|Wizard|1								
4	BONUS:PCLEVEL|Wizard|1								
5	BONUS:PCLEVEL|Wizard|1								
6	BONUS:PCLEVEL|Wizard|1								
7	BONUS:PCLEVEL|Wizard|1								
8	BONUS:PCLEVEL|Wizard|1								
9	BONUS:PCLEVEL|Wizard|1								
#									
