SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																																																									
# Race Name		Favored Class	Skills/Level	Starting Feats	Size	Move	Ignore Encumberance	Face/Space	Reach	Vision	Automatic Languages	Bonus Languages	Change Weapon Prof. Category	Save checks bonus			Combat bonus	Bonus to DC	Bonus to skill			Stat bonus						Automaticaly Gained Weapon Prof.			Weapon prof. bonus			Special ABility			Main Race Type	Race Subtype	Type	CR	Source Page	Innate Spells																	
#Human		FAVCLASS:HIGHESTLEVELCLASS	XTRASKILLPTSPERLVL:1	STARTFEATS:2	SIZE:M	MOVE:Walk,30		FACE:5	REACH:5		LANGAUTO:Common	LANGBONUS:ALL																									RACETYPE:Humanoid	RACESUBTYPE:Human	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF																		
#Dwarf		FAVCLASS:Fighter		STARTFEATS:1	SIZE:M	MOVE:Walk,20	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor	FACE:5	REACH:5	VISION:Darkvision (60')	LANGAUTO:Common,Dwarven	LANGBONUS:Giant,Gnome,Goblin,Orc,Terran,Undercommon	CHANGEPROF:Urgrosh (Dwarven)=Martial						BONUS:SKILL|Craft (Armorsmithing),Craft (Blacksmithing),Craft (Metalworking),Craft (Stonemasonry),Craft (Stoneworking),Craft (Weaponsmithing),Search (Notice unusual stonework)|2|TYPE=Racial					BONUS:STAT|CON|2			BONUS:STAT|CHA|-2	BONUS:WEAPONPROF=Waraxe (Dwarven)|WIELDCATEGORY|-1									RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Stonecunning|Stability|Dwarf Poison Resistance|Dwarf Spell Resistance|Dwarf Attacks|Dodge Giant|Stoneworking Skills																	
Dwarf (Artic)		FAVCLASS:Fighter|Ranger		STARTFEATS:1	SIZE:S	MOVE:Walk,20	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor	FACE:5	REACH:5	VISION:Darkvision (60')	LANGAUTO:Common,Dwarven	LANGBONUS:Giant,Gnome,Goblin,Orc,Terran,Undercommon	CHANGEPROF:Urgrosh (Dwarven)=Martial						BONUS:SKILL|Craft (Armorsmithing),Craft (Blacksmithing),Craft (Metalworking),Craft (Stonemasonry),Craft (Stoneworking),Craft (Weaponsmithing),Search (Notice unusual stonework)|2|TYPE=Racial			BONUS:STAT|STR|4	BONUS:STAT|DEX|-2	BONUS:STAT|CON|2			BONUS:STAT|CHA|-2	BONUS:WEAPONPROF=Waraxe (Dwarven)|WIELDCATEGORY|-1									RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:Humanoid	CR:1/2	SOURCEPAGE:Mon	ABILITY:Special Ability|AUTOMATIC|Stonecunning|Stability|Dwarf Poison Resistance|Dwarf Spell Resistance|Dwarf Attacks|Dodge Giant|Stoneworking Skills|Immunity to Cold	LEVELADJUSTMENT:2																
Dwarf (Urdunnir)		FAVCLASS:Expert		STARTFEATS:1	SIZE:M	MOVE:Walk,20	UNENCUMBEREDMOVE:HeavyLoad|HeavyArmor	FACE:5	REACH:5	VISION:Darkvision (60')	LANGAUTO:Undercommon,Dwarven	LANGBONUS:Giant,Gnome,Goblin,Orc,Terran,Common	CHANGEPROF:Urgrosh (Dwarven)=Martial						BONUS:SKILL|Craft (Armorsmithing),Craft (Blacksmithing),Craft (Metalworking),Craft (Stonemasonry),Craft (Stoneworking),Craft (Weaponsmithing),Search (Notice unusual stonework)|2|TYPE=Racial					BONUS:STAT|CON|2			BONUS:STAT|CHA|-2	BONUS:WEAPONPROF=Waraxe (Dwarven)|WIELDCATEGORY|-1									RACETYPE:Humanoid	RACESUBTYPE:Dwarf	TYPE:Humanoid	CR:2	SOURCEPAGE:Mon	ABILITY:Special Ability|AUTOMATIC|Stonecunning|Stability|Dwarf Spell Resistance|Dwarf Attacks|Dodge Giant|Stoneworking Skills|Resistance To Poison|Stone Walk	BONUS:VAR|PoisonResistanceBonus|4	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Stone Shape,14+CHA|Shape Metal,15+CHA	LEVELADJUSTMENT:4														
#Elf		FAVCLASS:Wizard		STARTFEATS:1	SIZE:M	MOVE:Walk,30		FACE:5	REACH:5	VISION:Low-light	LANGAUTO:Common,Elven	LANGBONUS:Draconic,Gnoll,Gnome,Goblin,Orc,Sylvan							BONUS:SKILL|Listen,Search,Spot|2|TYPE=Racial				BONUS:STAT|DEX|2	BONUS:STAT|CON|-2				AUTO:WEAPONPROF|Longsword|Rapier|Longbow|Shortbow									RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Elf Immunity|Elf Resistance|Notice Secret Doors																	
#Gnome		FAVCLASS:Bard		STARTFEATS:1	SIZE:S	MOVE:Walk,20		FACE:5	REACH:5	VISION:Low-light	LANGAUTO:Common,Gnome	LANGBONUS:Draconic,Dwarven,Elven,Giant,Goblin,Orc	CHANGEPROF:Hammer (Gnome Hooked)=Martial					BONUS:DC|SCHOOL.Illusion|1	BONUS:SKILL|Craft (Alchemy),Listen|2|TYPE=Racial			BONUS:STAT|STR|-2		BONUS:STAT|CON|2													RACETYPE:Humanoid	RACESUBTYPE:Gnome	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Gnome Perception|Gnome Attacks|Dodge Giant|Gnome Speak with Animals										SPELLS:Innate|TIMES=1|CASTERLEVEL=1|Speak with Burrowing Mammals,11+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=1|Dancing Lights,10+CHA|Ghost Sound,10+CHA|Prestidigitation,10+CHA|PRESTAT:1,CHA=10						
#Half-Elf		FAVCLASS:HIGHESTLEVELCLASS		STARTFEATS:1	SIZE:M	MOVE:Walk,30		FACE:5	REACH:5	VISION:Low-light	LANGAUTO:Common,Elven	LANGBONUS:ALL							BONUS:SKILL|Listen,Search,Spot|1|TYPE=Racial	BONUS:SKILL|Diplomacy,Gather Information|2|TYPE=Racial																	RACETYPE:Humanoid	RACESUBTYPE:Elf	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Elven Blood|Elf Immunity|Elf Resistance																	
#Half-Elf (Drow)		FAVCLASS:HIGHESTLEVELCLASS		STARTFEATS:1	SIZE:M	MOVE:Walk,30		FACE:5	REACH:5	VISION:Low-light	LANGAUTO:Common,Elven	LANGBONUS:ALL							BONUS:SKILL|Listen,Search,Spot|1|TYPE=Racial	BONUS:SKILL|Diplomacy,Gather Information|2|TYPE=Racial																	RACETYPE:Humanoid	RACESUBTYPE:Drow|Elf	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Elven Blood|Elf Immunity|Elf Resistance																	
#Half-Orc		FAVCLASS:Barbarian		STARTFEATS:1	SIZE:M	MOVE:Walk,30		FACE:5	REACH:5	VISION:Darkvision (60')	LANGAUTO:Common,Orc	LANGBONUS:Draconic,Giant,Gnoll,Goblin,Abyssal										BONUS:STAT|STR|2			BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2										RACETYPE:Humanoid	RACESUBTYPE:Orc	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Orc Blood																	
#Halfling		FAVCLASS:Rogue		STARTFEATS:1	SIZE:S	MOVE:Walk,20		FACE:5	REACH:5		LANGAUTO:Common,Halfling	LANGBONUS:Dwarven,Elven,Gnome,Goblin,Orc		BONUS:CHECKS|Fortitude|1|TYPE=Racial	BONUS:CHECKS|Reflex|1|TYPE=Racial	BONUS:CHECKS|Will|1|TYPE=Racial	BONUS:COMBAT|TOHIT.Thrown,TOHIT.Sling|1|TYPE=Racial		BONUS:SKILL|Climb,Jump,Listen,Move Silently|2|TYPE=Racial			BONUS:STAT|STR|-2	BONUS:STAT|DEX|2														RACETYPE:Humanoid	RACESUBTYPE:Halfling	TYPE:Humanoid	CR:1/2	SOURCEPAGE:PGtF	ABILITY:Special Ability|AUTOMATIC|Halfling Morale																	
