SOURCELONG:Monsters of Faerun	SOURCESHORT:Mon	SOURCEWEB:http://www.gozzilioni.net																																																																																																																																																																																																																																																																																				
#																																																																																																																																																																																																																																																																																						
###Block: Creature Subtypes																																																																																																																																																																																																																																																																																						
# Template Name	Visible	Source Page	Special Ability																																																																																																																																																																																																																																																																																			
Beast of Xvim	VISIBLE:YES	SOURCEPAGE:Mon	PREALIGN:LE	TEMPLATE:CHOOSE:Beast of Xvim (Animal)|Beast of Xvim (Magical Beast)|Beast of Xvim (Dragon)|Beast of Xvim (Aberration)|Beast of Xvim (Outsider)|Beast of Xvim (Undead)							ABILITY:Special Ability|AUTOMATIC|Frightful Presence|Feed|Smite Good	ABILITY:Special Ability|AUTOMATIC|Immunity To Poison|Immunity To Fear	BONUS:VAR|FrightfulPresRange|30	BONUS:VAR|SmiteGood|1	BONUS:VAR|SmiteGoodDamage|HD	VISION:Darkvision (60')	HD:4+:DR:5/Magic	BONUS:WEAPONPROF=TYPE.Natural|DAMAGESIZE|1	BONUS:STAT|CHA|4	BONUS:MISC|CR|1																																																																																																																																																																																																																																																																		
Beast of Xvim (Animal)	VISIBLE:NO	ADDLEVEL:Animal|1																																																																																																																																																																																																																																																																																				
Beast of Xvim (Magical Beast)	VISIBLE:NO	ADDLEVEL:Magical Beast|1																																																																																																																																																																																																																																																																																				
Beast of Xvim (Dragon)	VISIBLE:NO	ADDLEVEL:Dragon|1																																																																																																																																																																																																																																																																																				
Beast of Xvim (Aberration)	VISIBLE:NO	ADDLEVEL:Aberration|1																																																																																																																																																																																																																																																																																				
Beast of Xvim (Outsider)	VISIBLE:NO	ADDLEVEL:Outsider|1																																																																																																																																																																																																																																																																																				
Beast of Xvim (Undead)	VISIBLE:NO	ADDLEVEL:Undead|1																																																																																																																																																																																																																																																																																				
Curst	VISIBLE:YES	SOURCEPAGE:Mon	PRERACE:1,RACETYPE=Humanoid					PREALIGN:CN			HITDIE:12|CLASS.TYPE=Monster	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE	RACETYPE:Undead	TEMPLATE:Undead	TYPE:Undead	SR:12+TL	ABILITY:Special Ability|AUTOMATIC|Regeneration|Resistance To Cold|Resistance To Fire|Immunity to Turning	BONUS:VAR|RegenerationRate|1	BONUS:SKILL|Craft (Achemy)|-2	BONUS:MISC|CR|1	LEVELADJUSTMENT:3																																																																																																																																																																																																																																																																	
Revenant	VISIBLE:YES	SOURCEPAGE:Mon	PRERACE:1,RACETYPE=Humanoid					PREALIGN:TN			HITDIE:12|CLASS.TYPE=Monster	ABILITY:Special Ability|AUTOMATIC|Vengeful Strike|Paralyzing Glare	ABILITY:Special Ability|AUTOMATIC|Immunity To Turning|Fast Healing|Immunity To Acid|Immunity To Gas|Immunity To Cold|Immunity To Electricity|Immunity To Polymorph|Immunity To Mind-Affecting|Find the Guilty	DR:5/Magic	BONUS:VAR|FastHealing|3	BONUS:STAT|STR|4	BONUS:STAT|2|CHA	RACETYPE:Undead	TYPE:Undead	TEMPLATE:Undead	BONUS:MISC|CR|1	VISION:Darkvision (60')																																																																																																																																																																																																																																																																
#Lycanthrope																																																																																																																																																																																																																																																																																						
#Lycanthrope (Mon)	VISIBLE:YES	SOURCEPAGE:Mon	TEMPLATE:CHOOSE:Wererat	TEMPLATE:CHOOSE:Natural Lycanthrope|Afflicted Lycanthrope	DEFINE:NoTypeTraits|1	PRERACE:1,RACETYPE=Humanoid,RACETYPE=Giant	!PRETEMPLATE:1,Lycanthrope	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE	BONUS:HP|CURRENTMAX|(AnimalCon/2)*AnimalHD|PREMULT:2,[!PRETEMPLATE:1,Lycanthrope (Animal Form)],[!PRETEMPLATE:1,Lycanthrope (Hybrid Form)]	BONUS:STAT|WIS|2	ABILITY:Special Ability|AUTOMATIC|Alternate Form|Scent	AUTO:FEAT|Iron Will	RACESUBTYPE:Shapechanger	VISION:Low-light																																																																																																																																																																																																																																																																								
#Werebat	VISIBLE:EXPORT	SOURCEPAGE:Mon	CR:2		DEFINE:AnimalSize|4	DEFINE:AnimalHD|4	DEFINE:AnimalMove|30	DEFINE:AnimalAC|0	DEFINE:AnimalDex|4	DEFINE:AnimalCon|6	BONUS:MOVEADD|TYPE.Climb|-10|PRETEMPLATE:1,Lycanthrope (Animal Form)	BONUS:SKILL|Swim|8|TYPE=Racial	BONUS:SKILL|Climb,Swim|DEX-STR|PREMULT:1,[PRETEMPLATE:1,Lycanthrope (Animal Form)],[PRETEMPLATE:1,Lycanthrope (Hybrid Form)]	CSKILL:Climb|Hide|Listen|Move Silently|Spot|Swim	ABILITY:Special Ability|AUTOMATIC|Rat Empathy	ABILITY:Special Ability|VIRTUAL|Disease|PREMULT:1,[PRETEMPLATE:1,Lycanthrope (Animal Form)],[PRETEMPLATE:1,Lycanthrope (Hybrid Form)]	VFEAT:Weapon Finesse	ADDLEVEL:Animal (Will)|1																																																																																																																																																																																																																																																																				
#Werebat Attacks																			VISIBLE:NO																																																																																								PRETEMPLATE:1,Wererat																																																																																																																	BONUS:WEAPONPROF=Bite|DAMAGE|STR/2																																																										NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing.Disease,*1,1d4
