SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Eye of Horus-Re.MOD	MAXLEVEL:20											
11				ABILITY:Special Ability|AUTOMATIC|Eye Horus Re Positive Energy Burst (Epic)								
11:REPEATLEVEL:1	ADD:SPELLCASTER|Cleric											
12:REPEATLEVEL:2							BONUS:ABILITYPOOL|Epic Eye of Horus-Re Feat|1					
#												
CLASS:Hammer of Moradin.MOD	MAXLEVEL:20											
12:REPEATLEVEL:2	BONUS:ABILITYPOOL|Epic Hammer of Moradin Feat|1											
#												
CLASS:Ex-Hammer of Moradin.MOD	MAXLEVEL:20											
12:REPEATLEVEL:2	BONUS:ABILITYPOOL|Epic Hammer of Moradin Feat|1											
#												
CLASS:Hathran.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|ANY											
12:REPEATLEVEL:2	BONUS:ABILITYPOOL|Epic Hathran Feat|1											
#												
CLASS:Ex-Hathran.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|ANY											
12:REPEATLEVEL:2	BONUS:ABILITYPOOL|Epic Hathran Feat|1											
#												
CLASS:Incantatrix.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|Arcane											
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Incantatrix Feat|1											
#												
CLASS:Justiciar of Tyr.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|Divine											
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Justiciar of Tyr Feat|1											
#												
CLASS:Ex-Justiciar of Tyr.MOD	MAXLEVEL:20											
11:REPEATLEVEL:1	ADD:SPELLCASTER|Divine											
13:REPEATLEVEL:3	BONUS:ABILITYPOOL|Epic Justiciar of Tyr Feat|1											
#												
CLASS:Monk of the Long Death.MOD	MAXLEVEL:20											
11				ABILITY:Special Ability|AUTOMATIC|Monk of the Long Death Death Attack (Epic)								
14:REPEATLEVEL:4	BONUS:ABILITYPOOL|Epic Monk of the Long Death Feat|1											
#												
CLASS:Ex-Monk of the Long Death.MOD	MAXLEVEL:20											
