SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																				
																						
# Equipment Name	Output Name		Type	Cost	Weight	Base Quantity	Modifier	Requires Modification?	Source Page	Weapon prop. bonus	Special Property											
#Baneblade of Demron (Evaelathil)	COST:161045																					
#Baneblade of Demron (Mhaorathil)	COST:150297																					
#Baneblade of Demron (Morvian)	COST:158389																					
#Baneblade of Demron (Farvian)	COST:134970																					
#Baneblade of Demron (Dragathil)	COST:125720																					
#Baneblade of Demron (Keryvian)	COST:207070																					
#Cheldaorn Katar	COST:8302																					
#Craemmol's Hammer	COST:43312																					
#Lashing Sword of Samos the Skullreaver	COST:56310																					
#Nychyaella's Healing Spear	COST:44392																					
#Rustblade	COST:58302																					
#Twinblade Alight	COST:82215																					
#Tyranny's Knell	COST:154312																					
#Black Sword	COST:131335																					
#Calathangas	COST:15800																					
#Dyerwaen	COST:29335																					
#Elqilar	COST:167315																					
#Evithyan's Blade	COST:72315																					
#Ilbratha (Mistress of Battle)	COST:31115																					
#Nightwatcher	COST:89315																					
#Shazzelim	COST:92415																					
#Taragarth (the Bloodbrand)	COST:42310																					
																						
Baneblade of Demron (Evaelathil)		PROFICIENCY:WEAPON|Sword (Short)	TYPE:Enhancement.Weapon.Melee.Finesseable.Martial.Specific.Piercing.Sword	COST:5	WT:1		EQMOD:STEEL.MWORKW.PLUS4W.LGHT_EMIT.HOLY_M.BANE_M|Outsiders (evil).BANE_M|Undead	MODS:NO	SOURCEPAGE:PGtF		SPROP:Resistance to Fire 10. 	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	WIELD:Light	SIZE:S	PRERACE:1,RACESUBTYPE=Halfling	SPELLS:Baneblade of Demron (Evaelathil)|TIMES=1|CASTERLEVEL=12|Charm Person|Locate Creature				
Baneblade of Demron (Mhaorathil)		PROFICIENCY:WEAPON|Sword (Short)	TYPE:Enhancement.Weapon.Melee.Finesseable.Martial.Specific.Piercing.Sword	COST:10	WT:2		EQMOD:STEEL.MWORKW.PLUS4W.LGHT_EMIT.HOLY_M.BANE_M|Outsiders (evil).BANE_M|Undead	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:2	DAMAGE:1d6	WIELD:Light	SIZE:S	PRERACE:1,RACESUBTYPE=Dwarf	SPELLS:Baneblade of Demron (Mhaorathil)|TIMES=1|CASTERLEVEL=12|Cure Light Wounds|Disrupting Weapon|Remove Disease				
Baneblade of Demron (Morvian)		PROFICIENCY:WEAPON|Greatsword	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Slashing.Sword	COST:50	WT:8		EQMOD:STEEL.MWORKW.PLUS4W.LGHT_EMIT.HOLY_M.BANE_M|Outsiders (evil).BANE_M|Undead.LAW_M	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:2	DAMAGE:2d6	WIELD:TwoHanded	SIZE:M	PREALIGN:LG	SPELLS:Baneblade of Demron (Morvian)|TIMES=1|CASTERLEVEL=12|Daylight				
Baneblade of Demron (Farvian)		PROFICIENCY:WEAPON|Longsword	TYPE:Enhancement.Weapon.Melee.Martial.Specific.Slashing.Sword	COST:15	WT:4		EQMOD:STEEL.MWORKW.PLUS4W.LGHT_EMIT.HOLY_M.BANE_M|Outsiders (evil).BANE_M|Undead.SPL_STR	MODS:NO	SOURCEPAGE:PGtF		SPROP:You can cast up to three spells each day as if using Still Spell metamagic feat.	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	PRECLASS:1,SPELLCASTER.Arcane=1					
Baneblade of Demron (Dragathil)		PROFICIENCY:WEAPON|Rapier	TYPE:Enhancement.Weapon.Melee.Finesseable.Martial.Specific.Piercing.Sword	COST:20	WT:2		EQMOD:STEEL.MWORKW.PLUS4W.LGHT_EMIT.HOLY_M.BANE_M|Outsiders (evil).BANE_M|Undead.MERC_M	MODS:NO	SOURCEPAGE:PGtF			CRITMULT:x2	CRITRANGE:3	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	PRESKILL:1,Diplomacy=5	SPELLS:Baneblade of Demron (Dragathil)|TIMES=1|CASTERLEVEL=12|Hold Person				
Baneblade of Demron (Keryvian)		PROFICIENCY:WEAPON|Sword (Bastard)	TYPE:Enhancement.Weapon.Melee.Martial.Exotic.Specific.Slashing.Sword	COST:35	WT:6		EQMOD:STEEL.MWORKW.PLUS4W.LGHT_EMIT.HOLY_M.BANE_M|Outsiders (evil).BANE_M|Undead.KEEN.MAGIC_COST|44735	MODS:NO	SOURCEPAGE:PGtF	BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Sword (Bastard))	SPROP:1 negative level bestowed to the target when critical hit is scored (after 24h Fort DC 16 or permanent loss), the wielder receives 1d6 temporary hp.	CRITMULT:x2	CRITRANGE:2	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M	PREMULT:2,[PRECLASS:1,Fighter=1,Paladin=1,Ranger=1],[PREALIGN:LG,NG,CG]	SPELLS:Baneblade of Demron (Keryvian)|TIMES=ATWILL|CASTERLEVEL=12|Jump|Feather Fall|Alarm				
Cheldaorn Katar		PROFICIENCY:WEAPON|Dagger (Punching)	TYPE:Enhancement.Weapon.Melee.Finesseable.Simple.Specific.Piercing.Dagger	COST:2	WT:1		EQMOD:STEEL.MWORKW.PLUS1W.MAGIC_COST|6000	MODS:NO	SOURCEPAGE:PGtF		SPROP:Inflict a poison spell effect 1/day, fortitude save (DC14)	CRITMULT:x3	CRITRANGE:1	DAMAGE:1d4	WIELD:Light	SIZE:M						
