SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net																																								
																																										
# BASICS																				[PREMULT:2,[PRERACE:1,RACESUBTYPE=Human],[PREREGION:1,Rashemen]]																						
# Feat Name	Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page	
#Augmented Alchemy	TYPE:Epic	VISIBLE:YES									PRELEVEL:MIN=21	PRESKILL:1,Craft (Alchemy)=24			PRESTAT:1,INT=21									DESC:You can create alchemical items and substances that are much more powerful than normal.																	SOURCEPAGE:CAd	
Axiomatic Strike	TYPE:Epic	VISIBLE:YES				PREABILITY:1,CATEGORY=Special Ability,Smite Anarchy					PRELEVEL:MIN=21									PREALIGN:LG,LN,LE				DESC:Any weapon you wield becomes axiomatic.																	SOURCEPAGE:PGtF	
Chosen Weapon Specialization	TYPE:Epic	VISIBLE:YES				PREFEAT:2,Epic Prowess,Weapon Focus			PRETEXT:Weapon Focus with  deity's chosen weapon		PRELEVEL:MIN=21									PREDOMAIN:1,War				DESC:Gain +2 bonus on weapon damage rolls with deity's chosen weapon.	STACK:NO	MULT:YES	CHOOSE:WEAPONPROFICIENCY|DEITYWEAPON	SELECT:1					BONUS:WEAPONPROF=%LIST|DAMAGE|2								SOURCEPAGE:PGtF	
Divine Spell Penetration	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Improved Alignment Based Casting					PRELEVEL:MIN=21				PRESTAT:1,WIS=21				PRESPELLTYPE:1,Divine=9	PREMULT:1,[PREMULT:2,[PREALIGN:1,LG,LN,LE],[PREDOMAIN:1,Law]],[PREMULT:2,[PREALIGN:CG,CN,CE],[PREDOMAIN:1,Chaos]],[PREMULT:2,[PREALIGN:LG,NG,CG],[PREDOMAIN:1,Good]],[PREMULT:2,[PREALIGN:LE,NE,CE],[PREDOMAIN:1,Evil]]				DESC:Gain +4 on caster level checks to defeat spell resistance with spells of chosen alignment.	STACK:NO	MULT:YES	CHOOSE:DOMAIN|QUALIFIED[Chaos|Evil|Good|Law]	SELECT:1													SOURCEPAGE:PGtF	
Enhance Effect	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Skill Focus(Spellcraft)	PREABILITY:1,CATEGORY=Special Ability,Metamagic Effect				PRELEVEL:MIN=21	PRESKILL:2,Knowledge (Arcana)=30,Spellcraft=30												DESC:You can change variables of a persisten spell effect.														BONUS:VAR|MetamagicEffectPerDay|2			SOURCEPAGE:PGtF	
Epic Counterspell	TYPE:Epic	VISIBLE:YES				PREFEAT:5,Combat Reflexes,Improved Counterspell,Improved Initiative,Quicken Spell,Reactive Counterspell					PRELEVEL:MIN=21	PRESKILL:1,Spellcraft=30												DESC:You can counter any number od spells in a round, even without a readied action.																	SOURCEPAGE:PGtF	
Epic Devotion	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Iron Will					PRELEVEL:MIN=21				PRESTAT:1,WIS=21					PRETEXT:Alignment different from the chosen component, patron deity who does not accept clerics with the chosen component				DESC:Gain +4 bonus on saves against spells with the chosen descriptor	STACK:NO	MULT:YES	CHOOSE:DOMAIN|Chaos|Evil|Good|Lawful														SOURCEPAGE:PGtF	SAB:+4 divine bonus on saves against spells with % descriptor|%LIST
Epic Spellfire Wielder	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Endurance,Spellfire Wielder					PRELEVEL:MIN=21	PRESKILL:1,Concentration=20												DESC:Treat your CON as 4 points higher for determining limit of stored spellfire energy levels.	STACK:YES	MULT:YES	CHOOSE:NOCHOICE														SOURCEPAGE:PGtF	
Improved Cooperative Metamagic	TYPE:Epic	VISIBLE:YES				PREFEAT:3,Silent Spell,Still Spell,Quicken Spell	PREABILITY:1,CATEGORY=Special Ability,Cooperative Metamagic				PRELEVEL:MIN=21	PRESKILL:1,Spellcraft=30												DESC:You can apply Silent Spell, Still Spell or Quicken Spell to an ally's spell.														BONUS:VAR|CooperativeMetamagicPerDay|2			SOURCEPAGE:PGtF	
Improved Snatch Spell	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Epic Skill Focus(Spellcraft)	PREABILITY:1,CATEGORY=Special Ability,Snatch Spell				PRELEVEL:MIN=21	PRESKILL:2,Knowledge (Arcana)=40,Spellcraft=40												DESC:Enhance or control a spell you have seized as if you had cast it yourself.																	SOURCEPAGE:PGtF	
Improved Spellpool Access	TYPE:Epic	VISIBLE:YES					PREABILITY:1,CATEGORY=Special Ability,Spellpool				PRELEVEL:MIN=21	PRESKILL:2,Knowledge (Arcana)=30,Spellcraft=30												DESC:Increase chance of a desired spell being in a spellpool.																	SOURCEPAGE:PGtF	
Inscribe Epic Rune	TYPE:Epic	VISIBLE:YES				PREFEAT:1,Inscribe Rune					PRELEVEL:MIN=21	PRESKILL:1,TYPE.Craft=24			PRESTAT:1,INT=19									DESC:You can inscribe a rune beyond normal power limits.																	SOURCEPAGE:PGtF	
#																																										
Armor Skin.MOD	TYPE:EpicEyeOfHorusRe																																									
Automatic Quicken Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Automatic Silent Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Automatic Still Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Bonus Domain.MOD	TYPE:EpicEyeOfHorusRe																																									
Chosen Weapon Specialization.MOD	TYPE:EpicEyeOfHorusRe																																									
Divine Spell Penetration.MOD	TYPE:EpicEyeOfHorusRe																																									
Enhance Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Epic Counterspell.MOD	TYPE:EpicEyeOfHorusRe																																									
Epic Devotion.MOD	TYPE:EpicEyeOfHorusRe																																									
Epic Spell Focus.MOD	TYPE:EpicEyeOfHorusRe																																									
Epic Spell Penetration.MOD	TYPE:EpicEyeOfHorusRe																																									
Epic Spellcasting.MOD	TYPE:EpicEyeOfHorusRe																																									
Ignore Material Components.MOD	TYPE:EpicEyeOfHorusRe																																									
Improved Alignment Based Casting.MOD	TYPE:EpicEyeOfHorusRe																																									
Improved Combat Casting.MOD	TYPE:EpicEyeOfHorusRe																																									
Improved Heighten Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Improved Metamagic.MOD	TYPE:EpicEyeOfHorusRe																																									
Improved Spell Capacity.MOD	TYPE:EpicEyeOfHorusRe																																									
Intensify Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Multispell.MOD	TYPE:EpicEyeOfHorusRe																																									
Permanent Emanation.MOD	TYPE:EpicEyeOfHorusRe																																									
Planar Turning.MOD	TYPE:EpicEyeOfHorusRe																																									
Positive Energy Aura.MOD	TYPE:EpicEyeOfHorusRe																																									
Spectral Strike.MOD	TYPE:EpicEyeOfHorusRe																																									
Spell Stowaway.MOD	TYPE:EpicEyeOfHorusRe																																									
Spell Opportunity.MOD	TYPE:EpicEyeOfHorusRe																																									
Spontaneous Domain Access.MOD	TYPE:EpicEyeOfHorusRe																																									
Spontaneous Spell.MOD	TYPE:EpicEyeOfHorusRe																																									
Tenacious Magic.MOD	TYPE:EpicEyeOfHorusRe																																									
Armor Skin.MOD	TYPE:EpicHammerOfMoradin																																									
Bonus Domain.MOD	TYPE:EpicHammerOfMoradin																																									
Chosen Weapon Specialization.MOD	TYPE:EpicHammerOfMoradin																																									
Damage Reduction.MOD	TYPE:EpicHammerOfMoradin																																									
Devastating Critical.MOD	TYPE:EpicHammerOfMoradin																																									
Divine Spell Penetration.MOD	TYPE:EpicHammerOfMoradin																																									
Enhance Spell.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Devotion.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Endurance.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Leadership.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Prowess.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Spell Focus.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Spell Penetration.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Spellcasting.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Toughness.MOD	TYPE:EpicHammerOfMoradin																																									
Epic Weapon Focus.MOD	TYPE:EpicHammerOfMoradin																																									
Ignore Material Components.MOD	TYPE:EpicHammerOfMoradin																																									
Improved Alignment Based Casting.MOD	TYPE:EpicHammerOfMoradin																																									
Improved Aura of Courage.MOD	TYPE:EpicHammerOfMoradin																																									
Improved Combat Casting.MOD	TYPE:EpicHammerOfMoradin																																									
Improved Spell Capacity.MOD	TYPE:EpicHammerOfMoradin																																									
Improved Whirlwind Attack.MOD	TYPE:EpicHammerOfMoradin																																									
Legendary Commander.MOD	TYPE:EpicHammerOfMoradin																																									
Overwhelming Critical.MOD	TYPE:EpicHammerOfMoradin																																									
Penetrate Damage Reduction.MOD	TYPE:EpicHammerOfMoradin																																									
Spell Stowaway.MOD	TYPE:EpicHammerOfMoradin																																									
Spell Opportunity.MOD	TYPE:EpicHammerOfMoradin																																									
Spontaneous Domain Access.MOD	TYPE:EpicHammerOfMoradin																																									
Superior Initiative.MOD	TYPE:EpicHammerOfMoradin																																									
Widen Aura of Courage.MOD	TYPE:EpicHammerOfMoradin																																									
Augmented Alchemy.MOD	TYPE:EpicHathran																																									
Automatic Quicken Spell.MOD	TYPE:EpicHathran																																									
Automatic Silent Spell.MOD	TYPE:EpicHathran																																									
Automatic Still Spell.MOD	TYPE:EpicHathran																																									
Bonus Domain.MOD	TYPE:EpicHathran																																									
Enhance Spell.MOD	TYPE:EpicHathran																																									
Epic Leadership.MOD	TYPE:EpicHathran																																									
Epic Spell Focus.MOD	TYPE:EpicHathran																																									
Epic Spell Penetration.MOD	TYPE:EpicHathran																																									
Epic Spellcasting.MOD	TYPE:EpicHathran																																									
Familiar Spell.MOD	TYPE:EpicHathran																																									
Ignore Material Components.MOD	TYPE:EpicHathran																																									
Improved Alignment Based Casting.MOD	TYPE:EpicHathran																																									
Improved Combat Casting.MOD	TYPE:EpicHathran																																									
Improved Heighten Spell.MOD	TYPE:EpicHathran																																									
Improved Metamagic.MOD	TYPE:EpicHathran																																									
Improved Spell Capacity.MOD	TYPE:EpicHathran																																									
Intensify Spell.MOD	TYPE:EpicHathran																																									
Multispell.MOD	TYPE:EpicHathran																																									
Permanent Emanation.MOD	TYPE:EpicHathran																																									
Scribe Epic Scroll.MOD	TYPE:EpicHathran																																									
Spell Opportunity.MOD	TYPE:EpicHathran																																									
Spell Stowaway.MOD	TYPE:EpicHathran																																									
Spontaneous Domain Access.MOD	TYPE:EpicHathran																																									
Spontaneous Spell.MOD	TYPE:EpicHathran																																									
Tenacious Magic.MOD	TYPE:EpicHathran																																									
Augmented Alchemy.MOD	TYPE:EpicIncantatrix																																									
Automatic Quicken Spell.MOD	TYPE:EpicIncantatrix																																									
Automatic Silent Spell.MOD	TYPE:EpicIncantatrix																																									
Automatic Still Spell.MOD	TYPE:EpicIncantatrix																																									
Enhance Effect.MOD	TYPE:EpicIncantatrix																																									
Enhance Spell.MOD	TYPE:EpicIncantatrix																																									
Epic Counterspell.MOD	TYPE:EpicIncantatrix																																									
Epic Spell Focus.MOD	TYPE:EpicIncantatrix																																									
Epic Spell Penetration.MOD	TYPE:EpicIncantatrix																																									
Epic Spellcasting.MOD	TYPE:EpicIncantatrix																																									
Epic Will.MOD	TYPE:EpicIncantatrix																																									
Familiar Spell.MOD	TYPE:EpicIncantatrix																																									
Ignore Material Components.MOD	TYPE:EpicIncantatrix																																									
Improved Combat Casting.MOD	TYPE:EpicIncantatrix																																									
Improved Cooperative Metamagic.MOD	TYPE:EpicIncantatrix																																									
Improved Heighten Spell.MOD	TYPE:EpicIncantatrix																																									
Improved Metamagic.MOD	TYPE:EpicIncantatrix																																									
Improved Snatch Spell.MOD	TYPE:EpicIncantatrix																																									
Improved Spell Capacity.MOD	TYPE:EpicIncantatrix																																									
Intensify Spell.MOD	TYPE:EpicIncantatrix																																									
Master Staff.MOD	TYPE:EpicIncantatrix																																									
Master Wand.MOD	TYPE:EpicIncantatrix																																									
Multispell.MOD	TYPE:EpicIncantatrix																																									
Permanent Emanation.MOD	TYPE:EpicIncantatrix																																									
Spell Knowledge.MOD	TYPE:EpicIncantatrix																																									
Spell Stowaway.MOD	TYPE:EpicIncantatrix																																									
Spell Opportunity.MOD	TYPE:EpicIncantatrix																																									
Spontaneous Spell.MOD	TYPE:EpicIncantatrix																																									
Tenacious Magic.MOD	TYPE:EpicIncantatrix																																									
Armor Skin.MOD	TYPE:EpicJusticiarOfTyr																																									
Axiomatic Strike.MOD	TYPE:EpicJusticiarOfTyr																																									
