SOURCELONG:Forgotten Realms Campaing Setting	SOURCESHORT:FRCS	SOURCEWEB:http://www.gozzilioni.net																																																															
#																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	
Animal (Lizard/Pack)	OUTPUTNAME:Pack Lizard		STARTFEATS:1	SIZE:L	MOVE:Walk,30,Climb,30	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|5|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Move Silently|4|TYPE=Racial				BONUS:STAT|STR|14	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Listen|Move Silently|Spot									LEGS:4					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d6											MONSTERCLASS:Animal:8	RACETYPE:Animal		TYPE:Animal							CR:3	SOURCEPAGE:PGtF		
Animal (Lizard/Riding)	OUTPUTNAME:Riding Lizard		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Climb,40	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|4	BONUS:STAT|CON|6	BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Climb|Hide|Jump|Listen|Spot									LEGS:4					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4|Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Scent|Training ~ Riding Lizard									MONSTERCLASS:Animal:4	RACETYPE:Animal		TYPE:Animal							CR:2	SOURCEPAGE:PGtF		
Animal (Lizard/Spitting Crawler)	OUTPUTNAME:Spitting Crawler Lizard		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Climb,20	FACE:2.5	REACH:0			PREALIGN:TN					BONUS:SKILL|Climb|CHA-STR				BONUS:STAT|STR|-8	BONUS:STAT|DEX|4		BONUS:STAT|INT|-8	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Balance|Climb|Escape Artist|Hide					VFEAT:Weapon Finesse				LEGS:4					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Spit Acid									MONSTERCLASS:Animal:1	RACETYPE:Animal		TYPE:Animal							CR:1/2	SOURCEPAGE:PGtF		
Animal (Snake/Twoheaded Adder)	OUTPUTNAME:Two-Headed Adder Snake		STARTFEATS:1	SIZE:S	MOVE:Walk,20,Climb,20,Swim,20	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Listen,Spot|4|TYPE=Racial	BONUS:SKILL|Balance,Climb|8|TYPE=Racial	BONUS:SKILL|Climb|max(STR,DEX)-STR		BONUS:STAT|STR|-4	BONUS:STAT|DEX|6		BONUS:STAT|INT|-10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Balance|Climb|Escape Artist|Hide|Listen|Spot|Swim					VFEAT:Weapon Finesse				LEGS:0					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*2,1d2		ABILITY:Special Ability|AUTOMATIC|Poison|Scent									MONSTERCLASS:Animal:1	RACETYPE:Animal		TYPE:Animal							CR:1	SOURCEPAGE:PGtF		
Animal (Snake/Winged Viper)	OUTPUTNAME:Winged Viper Snake		STARTFEATS:1	SIZE:L	MOVE:Walk,20,Fly,50	FACE:10	REACH:10			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide,Listen,Spot|4|TYPE=Racial	BONUS:SKILL|Balance,Climb|8|TYPE=Racial	BONUS:SKILL|Climb|max(STR,DEX)-STR			BONUS:STAT|DEX|6		BONUS:STAT|INT|-10	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-8			MONCSKILL:Balance|Climb|Hide|Listen|Spot									LEGS:0					NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Poison|Scent									MONSTERCLASS:Animal:3	RACETYPE:Animal		TYPE:Animal							CR:2	SOURCEPAGE:PGtF		
Beholder (Death Tyrant)	OUTPUTNAME:Beholder [NAME]		STARTFEATS:1	SIZE:L	MOVE:Fly,15	FACE:10	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE										BONUS:STAT|WIS|4	BONUS:STAT|CHA|6			MONCSKILL:Search|Spot									LEGS:0	HANDS:0				NATURALATTACKS:Eye Rays,Weapon.Natural.Finesseable.Ranged.Finesseable.Touch,*1,0		ABILITY:Special Ability|AUTOMATIC|Antimagic Cone|Single Actions Only|Turn Resistance									MONSTERCLASS:Undead:11	RACETYPE:Undead	RACESUBTYPE:Beholder	TYPE:Undead					HITDICEADVANCEMENT:16,33		CR:13	SOURCEPAGE:PGtF		BONUS:VAR|TurnResistBonus|2
Gargoyle (Kir Lanan)	OUTPUTNAME:Kir-lanan Gargoyle	FAVCLASS:Fighter	STARTFEATS:1	SIZE:M	MOVE:Walk,20,Fly,90	FACE:5	REACH:5				AUTO:LANG|Common		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|4	BONUS:STAT|DEX|2			BONUS:STAT|WIS|-2				MONCSKILL:Escape Artist|Hide|Listen|Move Silently|Spot|Use Magic Device									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Touch Attack ~ Kir Lanan|Vulnerability To Positive energy									MONSTERCLASS:Monstrous Humanoid:4	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:4	CR:2	SOURCEPAGE:PGtF	SPELLS:Innate|TIMES=3|CASTERLEVEL=4|Ray of Enfeeblement	
Rothe (Deep)	OUTPUTNAME:[NAME] Rothe		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE							BONUS:STAT|DEX|4	BONUS:STAT|CON|2	BONUS:STAT|INT|-10		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Horn,Weapon.Natural.Finesseable.Melee.Piercing,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Immunity To Fungus|Resistance To Cold									MONSTERCLASS:Magical Beast:2	RACETYPE:Magical Beast	RACESUBTYPE:Rothe	TYPE:Magical Beast					HITDICEADVANCEMENT:4		CR:2	SOURCEPAGE:PGtF	SPELLS:Innate|TIMES=2|CASTERLEVEL=4|Dancing Lights	BONUS:VAR|ColdResistanceBonus|20
Rothe (Ghost)	OUTPUTNAME:[NAME] Rothe		STARTFEATS:1	SIZE:L	MOVE:Walk,30	FACE:10	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|16	BONUS:STAT|DEX|2	BONUS:STAT|CON|10	BONUS:STAT|INT|-10		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d4|Horn,Weapon.Natural.Finesseable.Melee.Piercing,*2,2d4											MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast	RACESUBTYPE:Rothe	TYPE:Magical Beast					HITDICEADVANCEMENT:8		CR:2	SOURCEPAGE:PGtF	SPELLS:Innate|TIMES=1|CASTERLEVEL=1|Jump	SPELLS:Innate|TIMES=1|CASTERLEVEL=3|Silence
Rothe (Surface)	OUTPUTNAME:[NAME] Rothe		STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:10	REACH:5	VISION:Darkvision (60')		PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|8	BONUS:STAT|DEX|2	BONUS:STAT|CON|6	BONUS:STAT|INT|-10		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d8|Horn,Weapon.Natural.Finesseable.Melee.Piercing,*2,1d4											MONSTERCLASS:Magical Beast:3	RACETYPE:Magical Beast	RACESUBTYPE:Rothe	TYPE:Magical Beast					HITDICEADVANCEMENT:6		CR:2	SOURCEPAGE:PGtF		
