SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net		
				
###Block: Region				
# Template Name	Visible	langauto	langbonus	region
No Faerun Regiun	VISIBLE:NO			REGION:No Faerunian region
#				
# Human Region A/B				
Human Aglarond Region	VISIBLE:NO	LANGAUTO:Aglarondan	LANGBONUS:Chessentan,Damaran,Draconic,Elven,Mulhorandi,Orc,Sylvan,Untheric	REGION:Aglarond
Human Altumbel Region	VISIBLE:NO	LANGAUTO:Aglarondan	LANGBONUS:Aquan,Chondathan,Chessentan,Rashemi,Serusan,Untheric	REGION:Altumbel
Human Amn Region	VISIBLE:NO	LANGAUTO:Chondathan	LANGBONUS:Alzhedo,Elven,Giant,Goblin,Nexalan,Orc,Shaaran	REGION:Amn
Human Anauroch Region	VISIBLE:NO	LANGAUTO:Midani	LANGBONUS:Chondathan,Damaran,Draconic,Gnoll,Netherese,Orc	REGION:Anauroch
Human Calimshan Region	VISIBLE:NO	LANGAUTO:Alzhedo	LANGBONUS:Auran,Chondathan,Chultan,Draconic,Ignan,Shaaran,Tashalan	REGION:Calimshan
Human Chessenta Region	VISIBLE:NO	LANGAUTO:Chessentan	LANGBONUS:Aglarondan,Chondathan,Draconic,Mulhorandi,Turmic,Untheric	REGION:Chessenta
Human Chult Region	VISIBLE:NO	LANGAUTO:Chultan	LANGBONUS:Alzhedo,Draconic,Dwarven,Goblin,Shaaran,Sylvan,Tashalan	REGION:Chult
Human Cormyr Region	VISIBLE:NO	LANGAUTO:Chondathan	LANGBONUS:Damaran,Elven,Gnome,Goblin,Halfling,Orc,Turmic	REGION:Cormyr
Human Dalelands Region	VISIBLE:NO	LANGAUTO:Chondathan	LANGBONUS:Damaran,Elven,Giant,Gnome,Orc,Sylvan	REGION:Dalelands
Human Damara Region	VISIBLE:NO	LANGAUTO:Damaran	LANGBONUS:Chondathan,Dwarven,Giant,Goblin,Orc,Uluik	REGION:Damara
Human Dambrath Region	VISIBLE:NO	LANGAUTO:Dambrathan	LANGBONUS:Dwarven,Elven,Halfling,Halruaan,Gnoll,Illuskan,Shaaran,Undercommon	REGION:Dambrath
Human Dragon Coast Region	VISIBLE:NO	LANGAUTO:Chondathan	LANGBONUS:Aglarondan,Chessentan,Damaran,Goblin,Halfling,Orc,Turmic	REGION:Dragon Coast
Human Golden Water Region	VISIBLE:NO	LANGAUTO:Durpari	LANGBONUS:Aglarondan,Dwarven,Giant,Halruaan,Halfling,Mulhorandi,Shaaran	REGION:Golden Water
Human Great Dale Region	VISIBLE:NO	LANGAUTO:Damaran	LANGBONUS:Giant,Goblin,Mulhorandi,Rashemi,Sylvan	REGION:Great Dale
Human Great Glacier Region	VISIBLE:NO	LANGAUTO:Uluik	LANGBONUS:Auran,Damaran,Dwarven,Elven,Giant	REGION:Great Glacier
Human Halruaa Region	VISIBLE:NO	LANGAUTO:Halruaan	LANGBONUS:Dambrathan,Elven,Goblin,Halfling,Shaaran,Tashalan	REGION:Halruaa
Human Hordeland Region	VISIBLE:NO	LANGAUTO:Tuigan	LANGBONUS:Damaran,Goblin,Mulhorandi,Rashemi,Shou Expatriate	REGION:Hordeland
Human Impiltur Region	VISIBLE:NO	LANGAUTO:Damaran	LANGBONUS:Aglarondan,Chessentan,Chondathan,Dwarven,Giant,Goblin,Mulhorandi,Turmic	REGION:Impiltur
Human Lake of Steam Region	VISIBLE:NO	LANGAUTO:Shaaran	LANGBONUS:Alzhedo,Chondathan,Dwarven,Goblin,Tashalan	REGION:Lake of Steam
