SOURCELONG:Power of Faerun	SOURCESHORT:PoF	SOURCEWEB:http://www.gozzilioni.net

###Block:
# Equipment Name			Type								Contains									Cost		Weight	Source Page				Bonus to skill					Quality and value
#Coin (Platinum)	TYPE:Coin	COST:10	WT:0.02	SOURCEPAGE:PoF
#Coin (Gold)		TYPE:Coin	COST:1	WT:0.02	SOURCEPAGE:PoF
#Coin (Silver)	TYPE:Coin	COST:0.1	WT:0.02	SOURCEPAGE:PoF
#Coin (Copper)	TYPE:Coin	COST:0.01	WT:0.02	SOURCEPAGE:PoF
Tradebars (25gp)	TYPE:Coin	COST:25	WT:0.5	SOURCEPAGE:PoF
Tradebars (50gp)	TYPE:Coin	COST:50	WT:1	SOURCEPAGE:PoF
Tradebars (75gp)	TYPE:Coin	COST:75	WT:1.5	SOURCEPAGE:PoF
Tradebars (100gp)	TYPE:Coin	COST:100	WT:2	SOURCEPAGE:PoF
Coin (Chessenta/Belbolt)	TYPE:Coin	COST:20	WT:0.02	SOURCEPAGE:PoF
Coin (Chessenta/Authokh)	TYPE:Coin	COST:5	WT:0.02	SOURCEPAGE:PoF
Coin (Amn/Danter)		TYPE:Coin	COST:1	WT:0.02	SOURCEPAGE:PoF
Coin (Amn/Taran)	TYPE:Coin	COST:0.1	WT:0.02	SOURCEPAGE:PoF
Coin (Amn/Fandar)	TYPE:Coin	COST:0.01	WT:0.02	SOURCEPAGE:PoF
Coin (Cormyr/Tricrown)	TYPE:Coin	COST:10	WT:0.02	SOURCEPAGE:PoF
Coin (Cormyr/Lions)		TYPE:Coin	COST:1	WT:0.02	SOURCEPAGE:PoF
Coin (Cormyr/Falcon)	TYPE:Coin	COST:0.1	WT:0.02	SOURCEPAGE:PoF
Coin (Cormyr/Thumb)	TYPE:Coin	COST:0.01	WT:0.02	SOURCEPAGE:PoF
Coin (Sembia/Noble)		TYPE:Coin	COST:1	WT:0.02	SOURCEPAGE:PoF
Coin (Sembia/Raven)	TYPE:Coin	COST:0.1	WT:0.02	SOURCEPAGE:PoF
Coin (Sembia/Steelpence)	TYPE:Coin	COST:0.01	WT:0.02	SOURCEPAGE:PoF
Coin (Zhentil keep/Glory)		TYPE:Coin	COST:1	WT:0.02	SOURCEPAGE:PoF
Coin (Zhentil Keep/Talon)	TYPE:Coin	COST:0.1	WT:0.02	SOURCEPAGE:PoF
Coin (Zhentil Keep/Fang)	TYPE:Coin	COST:0.01	WT:0.02	SOURCEPAGE:PoF
