SOURCELONG:Underdark	SOURCESHORT:Und	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Amorphous Form			TYPE:Divine.Arcane			SCHOOL:Transmutation			COMPS:S, M, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Willing corporeal creature touched.		DURATION:1 minute/level	SAVEINFO:Will negates	SPELLRES:Yes (Harmless)	DESC:The subject and all its gear become amorphous and oozelike.	SOURCEPAGE:Und								
Clarity of Mind			TYPE:Divine.Arcane			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Living creature touched.		DURATION:1 hour/level	SAVEINFO:Will negates	SPELLRES:Yes (Harmless)	DESC:You grant the subject a +4 insight bonus on saving throws against all spells with the charm, compulsion, or glamer descriptors.	SOURCEPAGE:Und								
Contagious Fog			TYPE:Divine.Arcane			SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Cloud spreads in a 30-ft. radius, 20 ft. high.		DURATION:1 round/level	SAVEINFO:See text	SPELLRES:Yes	DESC:This spell generates a damp miasma of disease-filled fog similar to a fog cloud.	SOURCEPAGE:Und								
Dehydrate			TYPE:Divine.Arcane			SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One living creature.		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:You afflict the target with a horrible, desiccating curse.	SOURCEPAGE:Und								
Drown (Mass)			TYPE:Divine.Arcane			SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Water	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One or more creatures, no two of which can be more than 30 ft apart.		DURATION:Instantaneous	SAVEINFO:Fortitude negates	SPELLRES:Yes	DESC:This spell functions like drown, except that it affects multiple creatures.	SOURCEPAGE:Und								
Mark of the Outcast			TYPE:Divine.Arcane			SCHOOL:Necromancy			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One creature.		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell creates an indelible mark on the target's face.	SOURCEPAGE:Und	TEMPBONUS:ANYPC|SKILL|Bluff,Diplomacy|-5|TYPE=Circumatance	TEMPBONUS:ANYPC|COMBAT|AC|-2					
Rushing Waters			TYPE:Divine.Arcane			SCHOOL:Conjuration	SUBSCHOOL:Summoning	DESCRIPTOR:Water	COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:15 ft radius spread.		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No (See text)	DESC:Cold water gushes in a great wave outward from the point you choose, violently spreading to the limits of the area.	SOURCEPAGE:Und								
Sanctuary (Mass)			TYPE:Divine.Arcane			SCHOOL:Abjuration			COMPS:V, S, DF	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:One creature touched/2 levels.		DURATION:1 round/level	SAVEINFO:Will negates	SPELLRES:No	DESC:Opponents can't attack you, and you can't attack.	SOURCEPAGE:Und								
Weighed in the Balance			TYPE:Divine.Arcane			SCHOOL:Necromancy			COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Creatures in a 30-ft.-radius spread centered on you		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes	DESC:This spell harms or heals creatures within its area based on their alignments and life status.	SOURCEPAGE:Und								
Word of Balance			TYPE:Divine.Arcane			SCHOOL:Evocation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:30 ft.	TARGETAREA:Creatures in a 30-ft.-radius spread centered on you		DURATION:Instantaneous	SAVEINFO:Will negates	SPELLRES:Yes (See text)	DESC:Any lawful good, chaotic good, lawful evil, or chaotic evil creature who hears the word of balance suffers ill effects.	SOURCEPAGE:Und								
