SOURCELONG:Nephandum	SOURCESHORT:Nep	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE
# Class Name req	Requirements	FINE										
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	define class variables (DEFINE:variable|value	FINE			
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Puppeteer	HD:6	TYPE:Prestige.Nephandum	ABB:Pup	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Puppeteer	PRESKILL:2,Craft (Leatherworking)=4,Knowledge (Arcana)=4	PRESKILL:1,Perform (Comedy)=8,Perform (Oratory)=8	PREFEAT:1,Craft Wondrous Item	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=2							
CLASS:Puppeteer	STARTSKILLPTS:6	CSKILL:Appraise|Balance|Climb|TYPE.Craft|Concentration|Diplomacy|Disguise|Escape Artist|Forgery|Gather Information|Hide|Jump|TYPE.Knowledge|Listen|Move Silently|TYPE.Perform|TYPE.Profession|Sense Motive|Sleight of Hand|Speak Language|Spellcraft|Swim|Tumble|Use Magic Device										
#												
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Create Puppet			BONUS:VAR|PuppetNumber|(CL+2)/3	BONUS:VAR|PuppetLVL|CL				
2	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Store Spell								
3	ADD:SPELLCASTER|Arcane											
4	ADD:SPELLCASTER|Arcane											
5	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Talking Puppet								
6	ADD:SPELLCASTER|Arcane											
7	ADD:SPELLCASTER|Arcane											
8	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Puppet Show								
9	ADD:SPELLCASTER|Arcane											
10	ADD:SPELLCASTER|Arcane											
#												
CLASS:Witch Hunter	HD:8	TYPE:Prestige.Nephandum	ABB:Wih	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Witch Hunter	PREALIGN:LG,LN,NG,TN,CG,CN	PREATT:5	PRESKILL:2,Gather Information=4,Knowledge (Arcana)=4	PREFEAT:2,Iron Will,Investigator								
CLASS:Witch Hunter	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Decipher Script|Diplomacy|Disable Device|Gather Information|Listen|TYPE.Knowledge|TYPE.Profession|Search|Sense Motive|Spellcraft|Spot|Survival|Use Magic Device										
CLASS:Witch Hunter	SPELLSTAT:INT	SPELLTYPE:Arcane			BONUS:CASTERLEVEL|Witch Hunter|CL							
#												
1		AUTO:FEAT|Simple Weapon Proficiency	ABILITY:Special Ability|AUTOMATIC|Witch Hunter Weapon Proficiency									
1		AUTO:FEAT|Armor Proficiency (Light)										
1			ABILITY:Special Ability|AUTOMATIC|Witch Hunter Shield Proficiency									
#												
1				ABILITY:Special Ability|AUTOMATIC|Forbidden Knowledge			BONUS:VAR|ForbiddenKnowledge|CL+BardicKnowledgeLvl	BONUS:VAR|ForbiddenKnowledge|SynergyBonus|PRESKILL:1,Knowledge (Arcana)=5|TYPE=Synergy.STACK				
1				ABILITY:Special Ability|AUTOMATIC|Basic Dark Nemesi|Witch Hunter Dark Nemesi			BONUS:VAR|WitchHunterDarkNemesiLVL|CL					
#												
1	CAST:0,0	KNOWN:0,2										
2	CAST:0,1	KNOWN:0,3		ABILITY:Special Ability|AUTOMATIC|Dispel Occult			BONUS:VAR|DispelOccultPerDay|(CL+2)/4					
3	CAST:0,2,0	KNOWN:0,3,2										
4	CAST:0,3,1	KNOWN:0,4,3		ABILITY:Special Ability|AUTOMATIC|Resist Possession								
5	CAST:0,3,2,0	KNOWN:0,4,3,2										
6	CAST:0,3,3,1	KNOWN:0,4,4,3										
7	CAST:0,3,3,2,0	KNOWN:0,4,4,3,2										
8	CAST:0,3,3,3,1	KNOWN:0,4,4,4,3		ABILITY:Special Ability|AUTOMATIC|Immunity to Curses								
9	CAST:0,3,3,3,2	KNOWN:0,4,4,4,3										
10	CAST:0,3,3,3,3	KNOWN:0,4,4,4,4		ABILITY:Special Ability|AUTOMATIC|Destroy Impious Receptacle			BONUS:VAR|DestroyImpiousReceptaclePerWeek|1					
#												
CLASS:Scarlet Disciple	HD:6	TYPE:Prestige.Nephandum	ABB:Scd	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE			
CLASS:Scarlet Disciple	PRESKILL:1,Knowledge (Arcana)=8	PREALIGN:LN,LE,TN,NE,CN,CE	PREFEAT:2,Toughness,Great Fortitude	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=3							
CLASS:Scarlet Disciple	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|TYPE.Knowledge|Listen|Spot|Spellcraft										
#												
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Ability Enhancement (+2 Dex)			BONUS:VAR|FamiliarLVL|(CL+1)/2					
2				ABILITY:Special Ability|AUTOMATIC|Bloodshot Eyes								
3	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Blood Link								
4				ABILITY:Special Ability|AUTOMATIC|Cloak of Thorns			BONUS:VAR|CloakOfThornsDie|3	BONUS:VAR|CloakOfThornsDC|CL				
5	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Ability Enhancement (+2 Con)								
6				ABILITY:Special Ability|AUTOMATIC|Rapid Heartbeat								
7	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Blood Link (Superior)								
8				ABILITY:Special Ability|AUTOMATIC|Strengthened Thorns								
9	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Ability Enhancement (+2 Str)								
10				ABILITY:Special Ability|AUTOMATIC|Hidden Heart								
#												
CLASS:Divine Lightning	HD:8	TYPE:Prestige.Nephandum	ABB:Dil	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Divine Lightning	PREALIGN:LG,NG,CG	PREATT:6	PREFEAT:2,Extra Turning,Improved Turning	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=2							
CLASS:Divine Lightning	STARTSKILLPTS:2	CSKILL:TYPE.Craft|Diplomacy|Heal|Jump|Knowledge (Religion)|TYPE.Profession|Sense Motive|Spellcraft|Tumble						DEFINE:DivineHeatDie|0				
#												
1		AUTO:FEAT|Simple Weapon Proficiency|Martial Weapon Proficiency Output	ABILITY:Special Ability|AUTOMATIC|All Automatic Proficiencies|All Martial Weapon Proficiencies									
1		AUTO:FEAT|Armor Proficiency (Light)|Armor Proficiency (Medium)|Armor Proficiency (Heavy)										
1		AUTO:FEAT|Shield Proficiency|Tower Shield Proficiency										
#												
1	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Divine Heat|Divine Lightning Turn Undead			BONUS:VAR|DivineLightningTurnUndeadLVL|CL	BONUS:VAR|DivineHeat|(CL+2)/3				
2				ABILITY:Special Ability|AUTOMATIC|Aura of Courage								
3	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Lightning			BONUS:VAR|LightningPerDay|CL/3	BONUS:VAR|LightningDuration|CL				
4												
5	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Exalted Defence								
6												
7	ADD:SPELLCASTER|Divine											
8				ABILITY:Special Ability|AUTOMATIC|Immunity To Paralysis								
9	ADD:SPELLCASTER|Divine											
10												
#												
CLASS:Wild Fury	HD:12	TYPE:Prestige.Nephandum	ABB:Wif	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Wild Fury	PREALIGN:NG,TN,NE,CG,CN,CE	PREFEAT:1,Animal Affinity	PRESKILL:2,Handle Animal=8,Survival=8	PREATT:7	PREABILITY:1,CATEGORY=Special Ability,Rage	PRETEXT:Communion ritual with the choosed animal						
CLASS:Wild Fury	STARTSKILLPTS:4	CSKILL:Climb|TYPE.Craft|Handle Animal|Intimidate|Jump|Listen|Ride|Survival|Swim										
#												
1				ABILITY:Special Ability|AUTOMATIC|Predator Rage|Wild Fury Predator Rage			BONUS:VAR|WildFuryPredatorRageLVL|CL					
2												
3												
4				ABILITY:Special Ability|AUTOMATIC|Additional Rage			BONUS:VAR|AdditionalRage|CL/4					
5												
6												
7												
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Frightful Rage			BONUS:VAR|FrightfulRageDC|CL/2					
#												
CLASS:Defiled	HD:8	TYPE:Prestige.Nephandum	ABB:Def	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
CLASS:Defiled	PRESKILL:2,Knowledge (Nature)=8,Survival=8	PREFEAT:1,Endurance	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1	PRECLASS:1,Druid=1							
CLASS:Defiled	STARTSKILLPTS:4	CSKILL:Climb|Concentration|Handle Animal|Heal|Hide|Intimidate|Jump|Knowledge (Nature)|Listen|Sense Motive|Spellcraft|Spot|Survival|Swim				SPELLLIST:1|Defiled						
#												
1	ADD:SPELLCASTER|Druid			ABILITY:Special Ability|AUTOMATIC|Repulsive Aspect|Acid Secretion			BONUS:VAR|AcidSecretionDC|CL					
2	ADD:SPELLCASTER|Druid			ABILITY:Special Ability|AUTOMATIC|Decay|Immunity To Disease			BONUS:VAR|DecayBonus|CL/2					
3	ADD:SPELLCASTER|Druid			ABILITY:Special Ability|AUTOMATIC|Acid Club			BONUS:VAR|AcidClubPerDay|CL/3					
4	ADD:SPELLCASTER|Druid											
5	ADD:SPELLCASTER|Druid			ABILITY:Special Ability|AUTOMATIC|Immunity To Poison								
6	ADD:SPELLCASTER|Druid											
7	ADD:SPELLCASTER|Druid			ABILITY:Special Ability|AUTOMATIC|Plague Spreader								
8	ADD:SPELLCASTER|Druid											
9	ADD:SPELLCASTER|Druid											
10	ADD:SPELLCASTER|Druid											
#												
CLASS:Infested	HD:8	TYPE:Prestige.Nephandum	ABB:Inf	MAXLEVEL:10	SOURCEPAGE:Nep	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE			
