SOURCELONG:Champions of Darkness	SOURCESHORT:RLCoD	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Cause Fear.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Charm Person.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Comprehend Languages.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Daze.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Detect Magic.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Detect Poison.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Detect Secret Doors.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Ventriloquism.MOD	CLASSES:Manipulator=1	TYPE:Arcane
Calm Emotions.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Command.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Detect Thoughts.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Erase.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Hypnotism.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Sleep.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Suggestion.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Whispering Wind.MOD	CLASSES:Manipulator=2	TYPE:Arcane
Clairaudience/Clairvoyance.MOD	CLASSES:Manipulator=3	TYPE:Arcane
Enthrall.MOD	CLASSES:Manipulator=3	TYPE:Arcane
See Invisibility.MOD	CLASSES:Manipulator=3	TYPE:Arcane
Tongues.MOD	CLASSES:Manipulator=3	TYPE:Arcane
Cause Fear.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Daze.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Detect Magic.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Ghost Sound.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Hypnotism.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Prestidigitation.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Sleep.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Ventriloquism.MOD	CLASSES:Mesmerist=1	TYPE:Arcane
Charm Person.MOD	CLASSES:Mesmerist=2	TYPE:Arcane
Detect Thoughts.MOD	CLASSES:Mesmerist=2	TYPE:Arcane
Hypnotic Pattern.MOD	CLASSES:Mesmerist=2	TYPE:Arcane
Tongues.MOD	CLASSES:Mesmerist=2	TYPE:Arcane
Undetectable Alignment.MOD	CLASSES:Mesmerist=2	TYPE:Arcane
Charm Monster.MOD	CLASSES:Mesmerist=3	TYPE:Arcane
Emotion.MOD	CLASSES:Mesmerist=3	TYPE:Arcane
Enthrall.MOD	CLASSES:Mesmerist=3	TYPE:Arcane
Geas (Lesser).MOD	CLASSES:Mesmerist=3	TYPE:Arcane
Suggestion.MOD	CLASSES:Mesmerist=3	TYPE:Arcane
Bane.MOD	CLASSES:Night Lord=1	TYPE:Divine
Cause Fear.MOD	CLASSES:Night Lord=1	TYPE:Divine
Curse Water.MOD	CLASSES:Night Lord=1	TYPE:Divine
Detect Undead.MOD	CLASSES:Night Lord=1	TYPE:Divine
Doom.MOD	CLASSES:Night Lord=1	TYPE:Divine
Expeditious Retreat.MOD	CLASSES:Night Lord=1	TYPE:Divine
Inflict Light Wounds.MOD	CLASSES:Night Lord=1	TYPE:Divine
Magic Weapon.MOD	CLASSES:Night Lord=1	TYPE:Divine
Mount.MOD	CLASSES:Night Lord=1	TYPE:Divine
Bull's Strength.MOD	CLASSES:Night Lord=2	TYPE:Divine
Chill Touch.MOD	CLASSES:Night Lord=2	TYPE:Divine
Darkness.MOD	CLASSES:Night Lord=2	TYPE:Divine
Darkvision.MOD	CLASSES:Night Lord=2	TYPE:Divine
Death Knell.MOD	CLASSES:Night Lord=2	TYPE:Divine
Desecrate.MOD	CLASSES:Night Lord=2	TYPE:Divine
Ghoul Touch.MOD	CLASSES:Night Lord=2	TYPE:Divine
Inflict Moderate Wounds.MOD	CLASSES:Night Lord=2	TYPE:Divine
Ray of Enfeeblement.MOD	CLASSES:Night Lord=2	TYPE:Divine
Scare.MOD	CLASSES:Night Lord=2	TYPE:Divine
Animate Dead.MOD	CLASSES:Night Lord=3	TYPE:Divine
Bestow Curse.MOD	CLASSES:Night Lord=3	TYPE:Divine
Contagion.MOD	CLASSES:Night Lord=3	TYPE:Divine
Deeper Darkness.MOD	CLASSES:Night Lord=3	TYPE:Divine
Fear.MOD	CLASSES:Night Lord=3	TYPE:Divine
Inflict Serious Wounds.MOD	CLASSES:Night Lord=3	TYPE:Divine
Keen Edge.MOD	CLASSES:Night Lord=3	TYPE:Divine
Speak with Dead.MOD	CLASSES:Night Lord=3	TYPE:Divine
Vampiric Touch.MOD	CLASSES:Night Lord=3	TYPE:Divine
Cause Fear.MOD	CLASSES:Scourge=1	TYPE:Arcane
Chill Touch.MOD	CLASSES:Scourge=1	TYPE:Arcane
