SOURCELONG:Ravenloft Dungeon Master's Guide	SOURCESHORT:RLDMG	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	TARGETAREA:		Duration	Save Info	Spell Resistance	DESC:	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Arcane Mark.MOD	CLASSES:Prophet=0																									
Dancing Lights.MOD	CLASSES:Prophet=0																									
Detect Magic.MOD	CLASSES:Prophet=0																									
Ghost Sound.MOD	CLASSES:Prophet=0																									
Guidance.MOD	CLASSES:Prophet=0																									
Light.MOD	CLASSES:Prophet=0																									
Mage Hand.MOD	CLASSES:Prophet=0																									
Message.MOD	CLASSES:Prophet=0																									
Open/Close.MOD	CLASSES:Prophet=0																									
Read Magic.MOD	CLASSES:Prophet=0																									
Command.MOD	CLASSES:Prophet=1																									
Comprehend Languages.MOD	CLASSES:Prophet=1																									
Deathwatch.MOD	CLASSES:Prophet=1																									
Detect Secret Doors.MOD	CLASSES:Prophet=1																									
Detect Undead.MOD	CLASSES:Prophet=1																									
Detect Chaos.MOD	CLASSES:Prophet=1																									
Detect Law.MOD	CLASSES:Prophet=1																									
Erase.MOD	CLASSES:Prophet=1																									
Hypnotism.MOD	CLASSES:Prophet=1																									
Identify.MOD	CLASSES:Prophet=1																									
Obscuring Mist.MOD	CLASSES:Prophet=1																									
Protection from Chaos.MOD	CLASSES:Prophet=1																									
Protection from Evil.MOD	CLASSES:Prophet=1																									
Protection from Good.MOD	CLASSES:Prophet=1																									
Protection from Law.MOD	CLASSES:Prophet=1																									
Random Action.MOD	CLASSES:Prophet=1																									
Sleep.MOD	CLASSES:Prophet=1																									
Unseen Servant.MOD	CLASSES:Prophet=1																									
Animal Messenger.MOD	CLASSES:Prophet=2																									
Blindness/Deafness.MOD	CLASSES:Prophet=2																									
Calm Emotions.MOD	CLASSES:Prophet=2																									
Charm Person.MOD	CLASSES:Prophet=2																									
Darkvision.MOD	CLASSES:Prophet=2																									
Detect Thoughts.MOD	CLASSES:Prophet=2																									
Enthrall.MOD	CLASSES:Prophet=2																									
Fog Cloud.MOD	CLASSES:Prophet=2																									
Hold Person.MOD	CLASSES:Prophet=2																									
Locate Object.MOD	CLASSES:Prophet=2																									
Magic Mouth.MOD	CLASSES:Prophet=2																									
Misdirection.MOD	CLASSES:Prophet=2																									
Obscure Object.MOD	CLASSES:Prophet=2																									
Shield Other.MOD	CLASSES:Prophet=2																									
See Invisibility.MOD	CLASSES:Prophet=2																									
Undetectable Alignment.MOD	CLASSES:Prophet=2																									
Whispering Wind.MOD	CLASSES:Prophet=2																									
Zone of Truth.MOD	CLASSES:Prophet=2																									
Clairaudience/Clairvoyance.MOD	CLASSES:Prophet=3																									
Dispel Magic.MOD	CLASSES:Prophet=3																									
Explosive Runes.MOD	CLASSES:Prophet=3																									
Glyph of Warding.MOD	CLASSES:Prophet=3																									
Helping Hand.MOD	CLASSES:Prophet=3																									
Illusory Script.MOD	CLASSES:Prophet=3																									
Invisibility Purge.MOD	CLASSES:Prophet=3																									
Magic Circle against Law.MOD	CLASSES:Prophet=3																									
Magic Circle against Evil.MOD	CLASSES:Prophet=3																									
Magic Circle against Chaos.MOD	CLASSES:Prophet=3																									
Magic Circle against Good.MOD	CLASSES:Prophet=3																									
Nondetection.MOD	CLASSES:Prophet=3																									
Phantom Steed.MOD	CLASSES:Prophet=3																									
Sepia Snake Sigil.MOD	CLASSES:Prophet=3																									
Suggestion.MOD	CLASSES:Prophet=3																									
Slow.MOD	CLASSES:Prophet=3																									
Speak with Dead.MOD	CLASSES:Prophet=3																									
Summon Swarm.MOD	CLASSES:Prophet=3																									
Tasha's Hideous Laughter.MOD	CLASSES:Prophet=3																									
Tongues.MOD	CLASSES:Prophet=3																									
Arcane Eye.MOD	CLASSES:Prophet=4																									
Bestow Curse.MOD	CLASSES:Prophet=4																									
Charm Monster.MOD	CLASSES:Prophet=4																									
Confusion.MOD	CLASSES:Prophet=4																									
Detect Scrying.MOD	CLASSES:Prophet=4																									
Discern Lies.MOD	CLASSES:Prophet=4																									
Dimensional Anchor.MOD	CLASSES:Prophet=4																									
Divination.MOD	CLASSES:Prophet=4																									
Emotion.MOD	CLASSES:Prophet=4																									
Fire Trap.MOD	CLASSES:Prophet=4																									
Hallucinatory Terrain.MOD	CLASSES:Prophet=4																									
Locate Creature.MOD	CLASSES:Prophet=4																									
Rainbow Pattern.MOD	CLASSES:Prophet=4																									
Remove Curse.MOD	CLASSES:Prophet=4																									
Sending.MOD	CLASSES:Prophet=4																									
Scrying.MOD	CLASSES:Prophet=4																									
Solid Fog.MOD	CLASSES:Prophet=4																									
Speak with Plants.MOD	CLASSES:Prophet=4																									
Break Enchantment.MOD	CLASSES:Prophet=5																									
Commune.MOD	CLASSES:Prophet=5																									
Dimension Door.MOD	CLASSES:Prophet=5																									
Dominate Person.MOD	CLASSES:Prophet=5																									
Nightmare.MOD	CLASSES:Prophet=5																									
Dream.MOD	CLASSES:Prophet=5																									
Feeblemind.MOD	CLASSES:Prophet=5																									
Geas/Quest.MOD	CLASSES:Prophet=5																									
Command (Greater).MOD	CLASSES:Prophet=5																									
Hold Monster.MOD	CLASSES:Prophet=5																									
