SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPH	SOURCEWEB:http://www.gozzilioni.net
		
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine
Alarm.MOD	CLASSES:Monster Hunter=1	
Chill Touch.MOD	CLASSES:Monster Hunter=1	
Detect Magic.MOD	CLASSES:Monster Hunter=1	
Detect Secret Doors.MOD	CLASSES:Monster Hunter=1	
Detect Undead.MOD	CLASSES:Monster Hunter=1	
Disrupt Undead.MOD	CLASSES:Monster Hunter=1	
Hold Portal.MOD	CLASSES:Monster Hunter=1	
Light.MOD	CLASSES:Monster Hunter=1	
Protection from Chaos.MOD	CLASSES:Monster Hunter=1	
Protection from Evil.MOD	CLASSES:Monster Hunter=1	
Protection from Good.MOD	CLASSES:Monster Hunter=1	
Protection from Law.MOD	CLASSES:Monster Hunter=1	
Read Magic.MOD	CLASSES:Monster Hunter=1	
Resistance.MOD	CLASSES:Monster Hunter=1	
Arcane Lock.MOD	CLASSES:Monster Hunter=2	
Continual Flame.MOD	CLASSES:Monster Hunter=2	
Darkvision.MOD	CLASSES:Monster Hunter=2	
Daze Monster.MOD	CLASSES:Monster Hunter=2	
Expeditious Retreat.MOD	CLASSES:Monster Hunter=2	
Knock.MOD	CLASSES:Monster Hunter=2	
Magic Weapon.MOD	CLASSES:Monster Hunter=2	
See Invisibility.MOD	CLASSES:Monster Hunter=2	
Daylight.MOD	CLASSES:Monster Hunter=3	
Diminish Undead.MOD	CLASSES:Monster Hunter=3	
Dispel Magic.MOD	CLASSES:Monster Hunter=3	
Gentle Repose.MOD	CLASSES:Monster Hunter=3	
Halt Undead.MOD	CLASSES:Monster Hunter=3	
Magic Circle against Chaos.MOD	CLASSES:Monster Hunter=3	
Magic Circle against Evil.MOD	CLASSES:Monster Hunter=3	
Magic Circle against Good.MOD	CLASSES:Monster Hunter=3	
Magic Circle against Law.MOD	CLASSES:Monster Hunter=3	
Tongues.MOD	CLASSES:Monster Hunter=3	
Break Enchantment.MOD	CLASSES:Monster Hunter=4	
Detect Scrying.MOD	CLASSES:Monster Hunter=4	
Heroism.MOD	CLASSES:Monster Hunter=4	
Locate Creature.MOD	CLASSES:Monster Hunter=4	
Remove Curse.MOD	CLASSES:Monster Hunter=4	
Suppress Lycanthropy.MOD	CLASSES:Monster Hunter=4	
Dispel Magic (Greater).MOD	CLASSES:Monster Hunter=5	
Hold Monster.MOD	CLASSES:Monster Hunter=5	
Repulsion.MOD	CLASSES:Monster Hunter=5	
