SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net																																							
																																									
# BASICS																																									
# Feat Name	Type	visible		Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page
Back to the Wall.MOD	DESC:You are at your best when your situation is at its worst.																																								
Cold One.MOD	DESC:You are cold and clammy to the touch																																								
Courage.MOD	DESC:You are particular fearless in the face of danger.																																								
Dead Man Walking.MOD	DESC:After you brush with the horrors of the night, you accept that you are living on borrowed time.																																								
Ethereal Empathy.MOD	DESC:You have psychic ability to sense the emotions imbued within ethereal resonance.																																								
Ghostsight.MOD	DESC:You can see creatures in the Near Ethereal.																																								
Haunted.MOD	DESC:The spirit of a friend, ally or loved one has returned from the grave to watch over you as a geist.																																								
Jaded.MOD	DESC:You have been hardened against the horrors of the world by crude experience.																																								
Lunatic.MOD	DESC:Your mind and body are tied to the cycles of the moon, making you more energetic and excitable as the moon waxes.																																								
Open Mind.MOD	DESC:An adaptable m,ind keeps your sanity resilient.																																								
Redhead.MOD	DESC:According to the folklore of some domains, people born with red hair have been marked by the fey.																																								
Reincarnated.MOD	DESC:You have bvague, dreamlike memories of a former life.																																								
Voice of Wrath.MOD	DESC:The unseen voices of vengeance heed your command.																																								
