SOURCELONG:Ravenloft Player's Handbook	SOURCESHORT:RLPHB	SOURCEWEB:http://www.gozzilioni.net																														
				
###Block: Region				
# Template Name	Visible	langauto	langbonus	region
No Ravenloft Regiun	VISIBLE:NO			REGION:No Ravenloft region
#				
# Human Region A/B				
Barovia Region	VISIBLE:NO	AUTO:LANG|Balok	LANGBONUS:Luktar,Vaasi,Sithican,Forfarian,Thaani	REGION:Barovia
Borca Region	VISIBLE:NO	AUTO:LANG|Balok,Low Mordentish	LANGBONUS:Falkovnian,Luktar,Halfling	REGION:Borca
Darkon Region	VISIBLE:NO	AUTO:LANG|Darkonese	LANGBONUS:Halfling,Gnome,Elven,Dwarven,Falkovnian,Lamordian,High Mordentish,Low Mordentish,Tepestani,Vaasi	REGION:Darkon
Dementlieu Region	VISIBLE:NO	AUTO:LANG|Low Mordentish	LANGBONUS:Lamordian,Falkovnian,Halfling	REGION:Dementlieu
Falkovnia Region	VISIBLE:NO	AUTO:LANG|Falkovnian	LANGBONUS:Darkonese,Balok,High Mordentish,Low Mordentish,Halfling,Gnome,Elven,Dwarven	REGION:Falkovnia
Forlorn Region	VISIBLE:NO			REGION:Forlorn
Hazlan Region	VISIBLE:NO	AUTO:LANG|Vaasi	LANGBONUS:Halfling,Gnome,Balok	REGION:Hazlan
Invidia Region	VISIBLE:NO	AUTO:LANG|Balok	LANGBONUS:High Mordentish,Low Mordentish,Falkovnian,Luktar,Vaasi	REGION:Invidia
Kartakass Region	VISIBLE:NO	AUTO:LANG|Vaasi	LANGBONUS:Balok,Sithican	REGION:Kartakass
Keening Region	VISIBLE:NO			REGION:Keening
Lamordia Region	VISIBLE:NO	AUTO:LANG|Lamordian	LANGBONUS:Low Mordentish,High Mordentish,Falkovnian,Darkonese	REGION:Lamordia
Markovia Region	VISIBLE:NO			REGION:Markovia
Mordent Region	VISIBLE:NO	AUTO:LANG|Low Mordentish	LANGBONUS:Falkovnian,Vaasi,High Mordentish	REGION:Mordentish
Necropolis Region	VISIBLE:NO	AUTO:LANG|Darkonese	LANGBONUS:Halfling,Gnome,Lamordian,Falkovnian	REGION:Necropolis
Nocturnal Sea Region	VISIBLE:NO		LANGBONUS:Grabenite,Sithican,Vaasi	REGION:Nocturnal Sea
Nova Vaasa Region	VISIBLE:NO	AUTO:LANG|Vaasi	LANGBONUS:Halfling,Gnome,Balok,Darkonese	REGION:Nova Vaasa
Richmulot Region	VISIBLE:NO		LANGBONUS:Low Mordentish,High Mordentish,Halfling,Balok,Falkovnian	REGION:Richmulot
Sea of Sorrow Region	VISIBLE:NO		LANGBONUS:Low Mordentish,High Mordentish,Lamordian,Darkonese	REGION:Sea of Sorrow
Shadow Rift Region	VISIBLE:NO			REGION:Shadow Rift
Sithicus Region	VISIBLE:NO	AUTO:LANG|Sithican	LANGBONUS:Vaasi,Balok,Low Mordentish,High Mordentish	REGION:Sithicus
Tepest Region	VISIBLE:NO	AUTO:LANG|Tepestani	LANGBONUS:Darkonese,Vaasi,Sylvan	REGION:Tepest
Valachan Region	VISIBLE:NO	AUTO:LANG|Vaasi	LANGBONUS:Low Mordentish,High Mordentish,Gnome,Sithican	REGION:Valachan
Vechor Region	VISIBLE:NO	AUTO:LANG|Vechorite		REGION:Vechor
Vebrek Region	VISIBLE:NO	AUTO:LANG|Low Mordentish	LANGBONUS:Balok,Vaasi,Sithican	REGION:Vebrek
Har'Akir Region	VISIBLE:NO	AUTO:LANG|Akiri	LANGBONUS:Pharazian	REGION:Har'Akir
Pharazia Region	VISIBLE:NO	AUTO:LANG|Pharazian		REGION:Pharazia
Sebua Region	VISIBLE:NO	AUTO:LANG|Wildspeak		REGION:Sebua
Sanguinia Region	VISIBLE:NO	AUTO:LANG|Sanguine		REGION:Sanguine
Vorostokov Region	VISIBLE:NO	AUTO:LANG|Voros		REGION:Vorostokov
Avonleigh Region	VISIBLE:NO			REGION:Avonleigh
Nidala Region	VISIBLE:NO	AUTO:LANG|Nidalan		REGION:Nidala
Shadowmanor Region	VISIBLE:NO			REGION:Shadowmanor
Saragoss Region	VISIBLE:NO		LANGBONUS:Low Mordentish,High Mordentish,Vaasi,Darkonese,Souragnian,Rokuma	REGION:Saragoss
Sri Raji Region	VISIBLE:NO	AUTO:LANG|Rajian		REGION:Sri Raji
Wildlands Region	VISIBLE:NO			REGION:Wildlands
Paridon Region	VISIBLE:NO	AUTO:LANG|Zherisian		REGION:Paridon
Timor Region	VISIBLE:NO			REGION:Timor
Bluetspur Region	VISIBLE:NO			REGION:Bluetspur
G'Henna Region	VISIBLE:NO	AUTO:LANG|Balok	LANGBONUS:Falkovnian	REGION:G'Henna
Odiare Region	VISIBLE:NO	AUTO:LANG|Odiaran		REGION:Odiare
Taiyoo Region	VISIBLE:NO	AUTO:LANG|Rokuma		REGION:Taiyoo
Souragne Region	VISIBLE:NO	AUTO:LANG|Souragnian		REGION:Souragne
