SOURCELONG:Complete Adventurer	SOURCESHORT:CAd	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Ninja Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Crossbow (Hand)|Kama|Kukri|Nunchaku|Sai|Shortbow|Sword (Short)|Shuriken|Siangham							ADD:FEAT|Exotic Weapon Proficiency(Sword (Bastard))																					
Scout Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Handaxe|Axe (Throwing)|Sword (Short)|Shortbow																												
Dread Pirate Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Sword (Short)|Sap|Pick (Light)|Kukri|Handaxe|Hammer (Light)|Axe (Throwing)|Rapier																												
Vigilante Weapon Proficiencies	CATEGORY:Special Ability	TYPE:Special	VISIBLE:NO	AUTO:WEAPONPROF|Net																												
CATEGORY=Special Ability|Monk Weapon Proficiencies.MOD			AUTO:WEAPONPROF|Longstaff																													
																																
# Ability Name																																
Ninja AC	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaAC|0	DEFINE:NinjaACLVL|0				BONUS:COMBAT|AC|max(WIS,0)+NinjaAC|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|NinjaAC|(NinjaACLVL)/5																	SOURCEPAGE:CAd
Ninja Ki Power	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaKiPowerLVL|0					BONUS:VAR|KiPowerPerDay|NinjaKiPowerLVL																		SOURCEPAGE:CAd
Ninja Sudden Strike	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaSuddenStrikeLVL|0					BONUS:VAR|SuddenStrike|(NinjaSuddenStrikeLVL+1)/2																		SOURCEPAGE:CAd
Ninja Ghost Step	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaGostStepLVL|0					BONUS:VAR|GhostStepPower|(NinjaGostStepLVL+5)/7																		SOURCEPAGE:CAd
Ninja Acrobatics	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaAcrobaticsLVL|0					BONUS:VAR|AcrobaticsBonus|(NinjaAcrobaticsLVL/6)*2																		SOURCEPAGE:CAd
Ninja Ghost Mind	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaGhostMindLVL|0					BONUS:VAR|GhostMindDC|NinjaGhostMindLVL																		SOURCEPAGE:CAd
Ninja Ki Dodge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:NinjaKiDodgeLVL|0					BONUS:VAR|KiDodgePower|(NinjaKiDodgeLVL+6)/12																		SOURCEPAGE:CAd
Scout Skirmish	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ScoutSkirmishLVL|0					BONUS:VAR|SkirmishDamage|(ScoutSkirmishLVL+3)/4	BONUS:VAR|SkirmishAC|(ScoutSkirmishLVL+1)/4																	SOURCEPAGE:CAd
Scout Battle Fortitude	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ScoutBattleFortitudeLVL|0					BONUS:VAR|BattleFortitudeBonus|(ScoutBattleFortitudeLVL+7)/9																		SOURCEPAGE:CAd
Scout Movement	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES	OUTPUTNAME:Fast Movement					DEFINE:ScoutMoveBonus|0	DEFINE:ScoutMoveLVL|0				BONUS:MOVEADD|TYPE.Walk|ScoutMoveBonus|TYPE=Enhancement|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|ScoutMoveBonus|min(20,((ScoutMoveLVL+5)/8)*10)																	SOURCEPAGE:CAd
Spellthief Arcane Sight	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpellthiefArcaneSightVL|0					BONUS:VAR|ArcaneSightPerDay|max(1,CHA)	BONUS:VAR|ArcaneSightLVL|SpellthiefArcaneSightVL																	SOURCEPAGE:CAd
Spellthief Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpellthiefSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|(SpellthiefSneakAttackLVL+3)/4																		SOURCEPAGE:CAd
Spellthief Steal Spell	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpellthiefStealSpellLVL|0					BONUS:VAR|StealSpell|min(9,max(1,SpellthiefStealSpellLVL/2))																		SOURCEPAGE:CAd
Spellthief Spellgrace	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpellthiefSpellgraceLVL|0					BONUS:VAR|SpellgraceBonus|((SpellthiefSpellgraceLVL+7)/9)																		SOURCEPAGE:CAd
Spellthief Steal Spell Effect	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpellthiefStealSpellEffectLVL|0					BONUS:VAR|StealSpellEffectCasterlevel|SpellthiefStealSpellEffectLVL																		SOURCEPAGE:CAd
Spellthief Energy Resistance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpellthiefEnergyResistanceLVL|0					BONUS:VAR|StealEnergyResistance|(((SpellthiefEnergyResistanceLVL+5)/8)*10)																		SOURCEPAGE:CAd
Animal Lord Wild Aspect	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AnimalLordWildAspectLVL|0					BONUS:VAR|WildAspectPerDay|AnimalLordWildAspectLVL/3	BONUS:VAR|WildAspectPower|((AnimalLordWildAspectLVL+1)/4)	BONUS:VAR|WildAspectLVL|AnimalLordWildAspectLVL																SOURCEPAGE:CAd
Beastmaster Animal Companion	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:BeastmasterAnimalCompanionLVL|0					BONUS:VAR|AnimalCompanionLVL|BeastmasterAnimalCompanionLVL+3																		SOURCEPAGE:CAd
Bloodhound Shield mind	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShieldMindLVL|0					BONUS:VAR|ShieldMindSR|ShieldMindLVL																		SOURCEPAGE:CAd
Daggerspell Sneak Attack	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DaggerspellSneakAttackLVL|0					BONUS:VAR|SneakAttackDice|DaggerspellSneakAttackLVL/3																		SOURCEPAGE:CAd
Daggerspell Wild Shape	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DaggerspellWildShape|0					BONUS:VAR|WildShapeDuration|DaggerspellWildShape																		SOURCEPAGE:CAd
