SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Warlock Eldritch Blast	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WarlockEldritchBlastLVL|0					BONUS:VAR|EldritchBlast|(WarlockEldritchBlastLVL+1)/2																		SOURCEPAGE:CA
Warlock Invocation	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WarlockInvocationLVL|0					BONUS:VAR|InvocationLVL|WarlockInvocationLVL																		SOURCEPAGE:CA
Warlock Energy Resistance	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WarlockEnergyResistanceLVL|0	DEFINE:WarlockBasicResistance|5				BONUS:VAR|WarlockBasicResistance|5|PREVARGTEQ:WarlockEnergyResistanceLVL,20																		SOURCEPAGE:CA
Warmage Edge	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WarmageEdgeLVL|0																							SOURCEPAGE:CA
Wu Jen Watchful Spirit	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|WatchfulSpiritPerDay|1																		SOURCEPAGE:CA
#																																
Acolyte of the Skin Fiendish Glare	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:AcolyteSkinFiendishGlareLVL|0					BONUS:VAR|FiendishGlareDC|AcolyteSkinFiendishGlareLVL																		SOURCEPAGE:CA
Acolyte of the Skin Glare of the Pit	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|GlareOfThePitPerDay|1																		SOURCEPAGE:CA
Acolyte of the Skin Summon Fiend	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SummonFiendPerDay|1																		SOURCEPAGE:CA
Alienist Pseudonatural	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO															TEMPLATE:Pseudonatural (CA)													SOURCEPAGE:CA	
Blood Magus Awaken Blood	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|AwakenBloodPerDay|1																		SOURCEPAGE:CA
Blood Magus Bloodwalk	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|BloodwalkPerDay|1																		SOURCEPAGE:CA
Elemental Savant Energy Penetration	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalSavantEnergyPenetrationLVL|0					BONUS:VAR|EnergyPenetrationBonus|((ElementalSavantEnergyPenetrationLVL+2)/5)*2																		SOURCEPAGE:CA
Elemental Savant Energy Focus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ElementalSavantEnergyFocusLVL|0					BONUS:VAR|EnergyFocusBonus|ElementalSavantEnergyFocusLVL/5																		SOURCEPAGE:CA
Enlightened Fist Ki Strike Advancement	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|KiStrikeMagic|1																		SOURCEPAGE:CA
Enlightened Fist AC	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:EnlightnedFistACLVL|0					BONUS:VAR|MonkACLVL|EnlightnedFistACLVL																		SOURCEPAGE:CA
Enlightened Fist Flurry	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:EnlightnedFistFlurryLVL|0					BONUS:VAR|FlurryLVL|EnlightnedFistFlurryLVL																		SOURCEPAGE:CA
Fate Spinner Spin Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:FateSpinnerSinFateLVL|0					BONUS:VAR|SpinFatePoints|FateSpinnerSinFateLVL																		SOURCEPAGE:CA
Fate Spinner Fickle Finger of Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FickleFingerPerDay|1																		SOURCEPAGE:CA
Fate Spinner Deny Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DenyFatePerDay|1																		SOURCEPAGE:CA
Fate Spinner Resist Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ResistFatePerDay|1																		SOURCEPAGE:CA
Fate Spinner Seal Fate	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SealFatePerDay|1																		SOURCEPAGE:CA
Green Star Adept DR	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GreenStarAdeptDR|0	DEFINE:GreenStarAdeptDRLVL|0				BONUS:VAR|GreenStarAdeptDR|GreenStarAdeptDRLVL									DR:GreenStarAdeptDR/Adamantine									SOURCEPAGE:CA
