SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net	
#			
# Class Name		Max Level	
CLASS:Warlock.MOD		MAXLEVEL:NOLIMIT	
23:REPEATLEVEL:3		BONUS:ABILITYPOOL|Epic Feat|1	
#			
# Class Name			
CLASS:Warmage.MOD		MAXLEVEL:NOLIMIT	
21:REPEATLEVEL:4		ADD:ABILITY|Special Ability|VIRTUAL|Advanced Learning ~ Warmage	
23:REPEATLEVEL:3		BONUS:ABILITYPOOL|Epic Warmage Feat|1	
#			
# Class Name			
CLASS:Wu Jen.MOD		MAXLEVEL:NOLIMIT	
21:REPEATLEVEL:3		BONUS:ABILITYPOOL|Spell Secret|1	BONUS:ABILITYPOOL|Taboo|1
23:REPEATLEVEL:3		BONUS:ABILITYPOOL|Epic Wu Jen Feat|1	
