SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net
			
#Teleport	CLASSES:Sorcerer,Wizard=5	TYPE:Arcane.Divine	
Glyph of Warding.MOD	CLASSES:Geometer=3		
Glyph of Warding (Greater).MOD	CLASSES:Geometer=6		
Acid Splash.MOD	CLASSES:Warmage=0	TYPE:Arcane	
Disrupt Undead.MOD	CLASSES:Warmage=0	TYPE:Arcane	
Light.MOD	CLASSES:Warmage=0	TYPE:Arcane	
Ray of Frost.MOD	CLASSES:Warmage=0	TYPE:Arcane	
Accuracy.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Burning Hands.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Chill Touch.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Fist of Stone.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Hail of Stone.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Magic Missile.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Orb of Acid (Lesser).MOD	CLASSES:Warmage=1	TYPE:Arcane	
Orb of Cold (Lesser).MOD	CLASSES:Warmage=1	TYPE:Arcane	
Orb of Electricity (Lesser).MOD	CLASSES:Warmage=1	TYPE:Arcane	
Orb of Fire (Lesser).MOD	CLASSES:Warmage=1	TYPE:Arcane	
Orb of Sound (Lesser).MOD	CLASSES:Warmage=1	TYPE:Arcane	
Shocking Grasp.MOD	CLASSES:Warmage=1	TYPE:Arcane	
True Strike.MOD	CLASSES:Warmage=1	TYPE:Arcane	
Blades of Fire.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Continual Flame.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Fire Trap.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Fireburst.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Flaming Sphere.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Ice Knife.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Acid Arrow.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Pyrotechnics.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Scorching Ray.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Whirling Blade.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Shatter.MOD	CLASSES:Warmage=2	TYPE:Arcane	
Fire Shield.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Fireball.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Flame Arrow.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Gust of Wind.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Ice Storm.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Lightning Bolt.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Poison.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Ring of Blades.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Sleet Storm.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Stinking Cloud.MOD	CLASSES:Warmage=3	TYPE:Arcane	
Blast of Flame.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Contagion.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Black Tentacles.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Orb of Acid.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Orb of Cold.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Orb of Electricity.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Orb of Fire.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Orb of Force.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Orb of Sound.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Phantasmal Killer.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Shout.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Wall of Fire.MOD	CLASSES:Warmage=4	TYPE:Arcane	
Arc of Lightning.MOD	CLASSES:Warmage=5	TYPE:Arcane	
Cloudkill.MOD	CLASSES:Warmage=5	TYPE:Arcane	
Cone of Cold.MOD	CLASSES:Warmage=5	TYPE:Arcane	
Fire Shield (Mass).MOD	CLASSES:Warmage=5	TYPE:Arcane	
Fireburst (Greater).MOD	CLASSES:Warmage=5	TYPE:Arcane	
Flame Strike.MOD	CLASSES:Warmage=5	TYPE:Arcane	
Prismatic Ray.MOD	CLASSES:Warmage=5	TYPE:Arcane	
Acid Fog.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Blade Barrier.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Chain Lightning.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Circle of Death.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Disintegrate.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Fire Seeds.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Freezing Sphere.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Transformation.MOD	CLASSES:Warmage=6	TYPE:Arcane	
Delayed Blast Fireball.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Earthquake.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Finger of Death.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Fire Storm.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Mage's Sword.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Prismatic Spray.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Sunbeam.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Waves of Exhaustion.MOD	CLASSES:Warmage=7	TYPE:Arcane	
Horrid Wilting.MOD	CLASSES:Warmage=8	TYPE:Arcane	
Incendiary Cloud.MOD	CLASSES:Warmage=8	TYPE:Arcane	
Polar Ray.MOD	CLASSES:Warmage=8	TYPE:Arcane	
Prismatic Wall.MOD	CLASSES:Warmage=8	TYPE:Arcane	
Scintillating Pattern.MOD	CLASSES:Warmage=8	TYPE:Arcane	
Shout (Greater).MOD	CLASSES:Warmage=8	TYPE:Arcane	
