SOURCELONG:Complete Arcane	SOURCESHORT:CA	SOURCEWEB:http://www.gozzilioni.net																																												
																																														
# BASICS																																														
# Feat Name	Type	visible	outputname	Req. Att.	Required Class	Required Feat				Req. nb of Hand	Required Lvl	Required Skill	Req. Spellbook		Required Stat						Var. Min. Value	Special Ability	Define	Description	Stackable?	Multiple?	Choose	Automaticaly Gained Armor Prof.	Automaticaly Gained Shield Prof.	Automaticaly Gained Weapon Prof.	Add Spell Lvl	Save checks bonus	Combat bonus	BONUS:DC	Bonus to HP	% bonus to range	Bonus to skill	Modify VAR	Weapon prop. bonus	Weapon prof. bonus	Source Page					
Arcane Defense	TYPE:General	VISIBLE:YES				PREFEAT:1,Spell Focus																		DESC:See Text	STACK:NO	MULT:YES	CHOOSE:FEAT=Spell Focus														SOURCEPAGE:CA					
Arcane Mastery	TYPE:General	VISIBLE:YES											PRESPELLCAST:TYPE=Arcane											DESC:See Text																	SOURCEPAGE:CA					
Arcane Preparation	TYPE:General	VISIBLE:YES											PRESPELLCAST:MEMORIZE=N											DESC:See Text																	SOURCEPAGE:CA					
Battle Caster	TYPE:General	VISIBLE:YES																				PRETEXT:Ability to ignore arcane spell failure chance from armor		DESC:See Text																	SOURCEPAGE:CA					
Black Lore of Moil	TYPE:Metamagic.Wizard	VISIBLE:YES			PRECLASS:1,SPELLCASTER=7	PREFEAT:1,Spell Focus(Necromancy)																		DESC:See Text																	SOURCEPAGE:CA	ADDSPELLLEVEL:0				
Born of the Three Thunder	TYPE:Metamagic.Wizard	VISIBLE:YES				PREFEAT:1,Energy Substitution(Electricity)						PRESKILL:1,Knowledge (Nature)=4												DESC:See Text																	SOURCEPAGE:CA					
Chain Spell	TYPE:Metamagic.Wizard	VISIBLE:YES				PREFEAT:1,TYPE=Metamagic																		DESC:See Text																	SOURCEPAGE:CA	ADDSPELLLEVEL:3				
Communicator	TYPE:General	VISIBLE:YES																						DESC:See Text																	SOURCEPAGE:CA			SPELLS:Communicator|TIMES=1|CASTERLEVEL=1|Arcane Mark|Comprehend Languages|Message		
Cooperative Spell	TYPE:Metamagic.Wizard	VISIBLE:YES				PREFEAT:1,TYPE=Metamagic																		DESC:See Text																	SOURCEPAGE:CA	ADDSPELLLEVEL:0				
Craft Contingent Spell	TYPE:ItemCreation.Wizard	VISIBLE:YES			PRECLASS:1,SPELLCASTER=11																			DESC:See Text																	SOURCEPAGE:CA					
