SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																															
																																	
###Block: Proficiencies																																	
# Ability Name	Category of Ability	Type	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Acid Resistance	CATEGORY:Special Ability	TYPE:FavoredSoulEnergyResistance	VISIBLE:YES		KEY:Favored Soul ~ Acid Resistance									BONUS:VAR|AcidResistanceBonus|FavoredSoulResistanceBonus									ABILITY:Special Ability|AUTOMATIC|Resistance To Acid									SOURCEPAGE:CD	
Cold Resistance	CATEGORY:Special Ability	TYPE:FavoredSoulEnergyResistance	VISIBLE:YES		KEY:Favored Soul ~ Cold Resistance									BONUS:VAR|ColdResistanceBonus|FavoredSoulResistanceBonus									ABILITY:Special Ability|AUTOMATIC|Resistance To Cold									SOURCEPAGE:CD	
Electricity Resistance	CATEGORY:Special Ability	TYPE:FavoredSoulEnergyResistance	VISIBLE:YES		KEY:Favored Soul ~ Electricity Resistance									BONUS:VAR|ElectricityResistanceBonus|FavoredSoulResistanceBonus									ABILITY:Special Ability|AUTOMATIC|Resistance To Electricity									SOURCEPAGE:CD	
Fire Resistance	CATEGORY:Special Ability	TYPE:FavoredSoulEnergyResistance	VISIBLE:YES		KEY:Favored Soul ~ Fire Resistance									BONUS:VAR|FireResistanceBonus|FavoredSoulResistanceBonus									ABILITY:Special Ability|AUTOMATIC|Resistance To Fire									SOURCEPAGE:CD	
Sonic Resistance	CATEGORY:Special Ability	TYPE:FavoredSoulEnergyResistance	VISIBLE:YES		KEY:Favored Soul ~ Sonic Resistance									BONUS:VAR|SonicResistanceBonus|FavoredSoulResistanceBonus									ABILITY:Special Ability|AUTOMATIC|Resistance To Sonic									SOURCEPAGE:CD	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassAbility.FavoredSoulDamageReduction	VISIBLE:YES	DESC:DR Silver/10	KEY:Favored Soul ~ Silver Damage Reduction			PREALIGN:LG,LN,LE,NG,TN,NE						BONUS:DR|FavoredSoulDR|Silver									DR:0/Silver									SOURCEPAGE:CD	
Damage Reduction	CATEGORY:Special Ability	TYPE:ClassAbility.FavoredSoulDamageReduction	VISIBLE:YES	DESC:DR Cold Iron/10	KEY:Favored Soul ~ Cold Iron Damage Reduction			PREALIGN:CG,CN,CE,NG,TN,NE						BONUS:DR|FavoredSoulDR|Cold Iron									DR:0/Cold Iron									SOURCEPAGE:CD	
Sense Elements	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD	
Spirit Shaman Guide	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	BONUS:ABILITYPOOL|Spirit Guide|1	AUTO:FEAT|Alertness																											SOURCEPAGE:CD	
Spirit Shaman Spirits	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO	DESC:Treat all Incorporeal undeads, feys, elementals, creatures in astral forms, creatures with astral bodies, creatures with Spirit subtype, spirit folk, telthors and spirit creature created by spells such Dream Sight or Wood Wose as Spirits for purpose af Shaman abilities.																												SOURCEPAGE:CD	
Spirit Shaman Spirit Form	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:SpiritFormLVL|0					BONUS:VAR|SpiritFormTimes|1	BONUS:VAR|SpiritFormTimes|1|PREVARGTEQ:SpiritFormLVL,15	BONUS:VAR|SpiritFormTimes|1|PREVARGTEQ:SpiritFormLVL,20																SOURCEPAGE:CD	
Spirit Shaman Recall Spirit	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|RecallSpiritTimes|1																		SOURCEPAGE:CD	
Spirit Shaman Spirit Journey	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SpiritJourneyTimes|1																		SOURCEPAGE:CD	
Black Flame Zealot Fateful Stride	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FatefulStrideTimes|1																		SOURCEPAGE:CD	
Black Flame Zealot Sacred Flame	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SacredBFlameTimes|1																		SOURCEPAGE:CD	
Blighter Blightfire	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:BlighterBlightfireLVL|0					BONUS:VAR|BlightfireDC|BlighterBlightfireLVL																		SOURCEPAGE:CD	
Blighter Undead Wild Shape	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:BlighterUndeadWildShape|0					BONUS:VAR|UndeadWildShapeDuration|BlighterUndeadWildShape																		SOURCEPAGE:CD	
Blighter Undead Wild Shape Times	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|UndeadWildShapeTimes|1|PREVARGTEQ:UndeadWildShape,3	BONUS:VAR|UndeadWildShapeTimes|1|PREVARGTEQ:UndeadWildShape,4	BONUS:VAR|UndeadWildShapeTimes|1|PREVARGTEQ:UndeadWildShape,6	BONUS:VAR|UndeadWildShapeTimes|1|PREVARGTEQ:UndeadWildShape,8	BONUS:VAR|UndeadWildShapeTimes|1|PREVARGTEQ:UndeadWildShape,10														SOURCEPAGE:CD	
Blighter Undead Wild Shape Progression	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|UndeadWildShapeProgression|1|PREVARGTEQ:BlighterUndeadWildShape,3	BONUS:VAR|UndeadWildShapeProgression|1|PREVARGTEQ:BlighterUndeadWildShape,5	BONUS:VAR|UndeadWildShapeProgression|1|PREVARGTEQ:BlighterUndeadWildShape,9																SOURCEPAGE:CD	
Blighter Speak with Dead Animals	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SpeakDeadAnimalTimes|1																		SOURCEPAGE:CD	
Blighter Contagious Touch	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:BlighterContagiousTouchLVL|0					BONUS:VAR|ContagiousTouchTimes|(BlighterContagiousTouchLVL-3)/2																		SOURCEPAGE:CD	
Blighter Unbond	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|UnbondTimes|1																		SOURCEPAGE:CD	
Blighter Plague	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|PlagueTimes|1																		SOURCEPAGE:CD	
Church Inquisitor Discern Lies	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DiscernLiesTimes|3																		SOURCEPAGE:CD	
Consecrated Harrier Blessing of the Scripture	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ConsecratedHarrierBlessingLVL|0					BONUS:VAR|BlessingScriptureBonus|2+((ConsecratedHarrierBlessingLVL/5)*2)																		SOURCEPAGE:CD	
Consecrated Harrier Sanctified Sight	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|SanctifiedSightBonus|4																		SOURCEPAGE:CD	
Consecrated Harrier Dispel Magic	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|DispelMagicTimes|max(WIS,1)																		SOURCEPAGE:CD	
Consecrated Harrier False Vision	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|FalseVisionTimes|max(WIS,1)																		SOURCEPAGE:CD	
Contemplative Divine Wholeness	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DivineWholenessLVL|0					BONUS:VAR|DivineWholeness|DivineWholenessLVL*4																		SOURCEPAGE:CD	
Contemplative Divine Soul	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ContemplativeDivineSoulLVL|0					SR:15+ContemplativeDivineSoulLVL																		SOURCEPAGE:CD	
Divine Crusader Perfect Self	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:NO	OUTPUTNAME:Perfect Self																			TEMPLATE:Divine Crusader Outsider									SOURCEPAGE:CD	
Divine Oracle Scry Bonus	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO											BONUS:VAR|ScryBonus|1																		SOURCEPAGE:CD	
Divine Oracle Trap Sense	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:DivineOracleTrapSenseLVL|0					BONUS:VAR|TrapSenseBonus|(DivineOracleTrapSenseLVL+1)/3																		SOURCEPAGE:CD	
Entropomancer Shard of Entropy	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:ShardOfEntropyLVL|0					BONUS:VAR|ShardOfEntropyPower|1	BONUS:VAR|ShardOfEntropyPower|1|PREVARGTEQ:ShardOfEntropyLVL,10	BONUS:VAR|ShardOfEntropyTimes|2	BONUS:VAR|ShardOfEntropyDamage|1+(((ShardOfEntropyLVL+3)/4)*2)															SOURCEPAGE:CD	
Entropomancer Entropic Shield	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:EntropicFieldLVL|0					BONUS:VAR|EntropicFieldTimes|2	BONUS:VAR|EntropicFieldDuration|EntropicFieldLVL	BONUS:VAR|EntropicFieldRadius|5*EntropicFieldLVL	BONUS:VAR|EntropicFieldPower|1|PREVARGTEQ:EntropicFieldLVL,5	BONUS:VAR|EntropicFieldPower|1|PREVARGTEQ:EntropicFieldLVL,7														SOURCEPAGE:CD	
Evangelist Great Oratory	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GreatOratoryLVL|0					BONUS:VAR|BardicMusicLvl|GreatOratoryLVL																		SOURCEPAGE:CD	
Geomancer Spell Versatility	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:GeomancerSpellVersatilityLVL|0					BONUS:VAR|SpellVersatility|GeomancerSpellVersatilityLVL-1																		SOURCEPAGE:CD	
Holy Liberator Smite Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:HolyLiberatorSmiteEvilLVL|0					BONUS:VAR|SmiteEvil|HolyLiberatorSmiteEvilLVL/5+1																		SOURCEPAGE:CD	
Holy Liberator Break Enchantment	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:HolyLiberatorBreakEnchantmentLVL|0					BONUS:VAR|BreakEnchantmentTimes|HolyLiberatorBreakEnchantmentLVL/4																		SOURCEPAGE:CD	
Hospitaler Remove Disease	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:HospitalerRemoveDiseaseLVL|0					BONUS:VAR|RemoveDisease|(HospitalerRemoveDiseaseLVL+1)/4																		SOURCEPAGE:CD	
Pious Templar Smite Evil	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:PiousTemplarSmiteEvilLVL|0					BONUS:VAR|SmiteEvil|(PiousTemplarSmiteEvilLVL+2)/4																		SOURCEPAGE:CD	
Pious Templar DR	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:PiousTemplarDRLVL|0	DEFINE:PiousTemplarDR|0				BONUS:VAR|PiousTemplarDR|(PiousTemplarDRLVL+1)/4									DR:0/-	BONUS:DR|-|PiousTemplarDR								SOURCEPAGE:CD	
Pious Templar Level Advanced Feat Tracker	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:PiousTemplarLVL|0					BONUS:VAR|WeaponSpecQualifyLVL|PiousTemplarLVL																		SOURCEPAGE:CD	
Pious Templar Weapon Specialization Qualify	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:WeapSpecQualify|0	DEFINE:WeaponSpecQualifyLVL|0				BONUS:VAR|WeapSpecQualify|1|PREVARGTEQ:WeaponSpecQualifyLVL,3																		SOURCEPAGE:CD	
Radiant Servant Turn Undead	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:RspTurnUndeadLVL|0					BONUS:VAR|TurnLevelBase|RspTurnUndeadLVL	BONUS:VAR|TurnDamagePlusBase|RspTurnUndeadLVL																	SOURCEPAGE:CD	
Radiant Servant Empower Healing	CATEGORY:Special Ability	TYPE:Internal	VISIBLE:NO						DEFINE:RadiantServantEmpowerHealingLVL|0					BONUS:VAR|EmpowerHealingLevel|(RadiantServantEmpowerHealingLVL+2)/4																		SOURCEPAGE:CD	
