SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net													
#															
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOS	FINE			
# Class Name req	Requirements	FINE													
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	define class variables (DEFINE:variable|value	FINE						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)					
CLASS:Black Flame Zealot	HD:6	TYPE:Prestige	ABB:Bfz	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
#CLASS:Black Flame Zealot	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:3,Hide=8,Knowledge (Religion)=8,Move Silently=8	PREFEAT:2,Exotic Weapon Proficiency(Kukri),Iron Will	PREVARGTEQ:SneakAttackDice,1	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1	PREDEITY:1,Y	PRETEXT:Must slay an enemy of the fait for no other reason than joining the Order of the Black Flame							
CLASS:Black Flame Zealot	PREALIGN:LN,LE,TN,NE,CN,CE	PRESKILL:3,Hide=8,Knowledge (Religion)=8,Move Silently=8	PREFEAT:2,Martial Weapon Proficiency(Kukri),Iron Will	PREVARGTEQ:SneakAttackDice,1	PRESPELLCAST:TYPE=Divine	PRESPELLTYPE:1,Divine=1	PREDEITY:1,Y	PRETEXT:Must slay an enemy of the fait for no other reason than joining the Order of the Black Flame							
CLASS:Black Flame Zealot	STARTSKILLPTS:4	CSKILL:Balance|Climb|Escape Artist|Hide|Jump|Knowledge (Religion)|Listen|Move Silently|Open Lock|TYPE.Profession|Search|Sleight of Hand|Spellcraft|Spot|Swim|Tumble|Use Rope													
1				ABILITY:Special Ability|AUTOMATIC|Zelous Hearth|Death Attack			BONUS:VAR|DeathAttack|CL								
2	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Poison Use											
3							BONUS:VAR|SneakAttackDice|CL/3								
4	ADD:SPELLCASTER|Divine														
5				ABILITY:Special Ability|AUTOMATIC|Fateful Stride|Black Flame Zealot Fateful Stride											
6	ADD:SPELLCASTER|Divine														
7				ABILITY:Special Ability|AUTOMATIC|Sacred Flame (Black)|Black Flame Zealot Sacred Flame											
8	ADD:SPELLCASTER|Divine														
9															
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Unholy Burst											
#															
CLASS:Blighter	HD:8	TYPE:Prestige	ABB:Bli	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Blighter	PREALIGN:LN,LE,TN,NE,CN,CE	PREATT:4	PRECLASS:1,Ex Druid=5												
CLASS:Blighter	STARTSKILLPTS:4	CSKILL:Concentration|TYPE.Craft|Diplomacy|Handle Animal|Heal|Knowledge (Nature)|Listen|Profession (Herbalist)|Spellcraft|Spot|Survival|Swim	SPELLSTAT:WIS	SPELLTYPE:Divine		KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Blighter|CL+classlevel("Druid")			DEFINE:ContagiousTouchTimes|0	DEFINE:UnbondTimes|0	DEFINE:PlagueTimes|0			
1	CAST:4,2			ABILITY:Special Ability|AUTOMATIC|Deforestation											
2	CAST:5,3,0			ABILITY:Special Ability|AUTOMATIC|Blightfire (Su)|Blighter Blightfire|Sustenance			BONUS:VAR|BlighterBlightfireLVL|CL								
3	CAST:5,3,1,0			ABILITY:Special Ability|AUTOMATIC|Undead Wild Shape|Blighter Undead Wild Shape|Blighter Undead Wild Shape Times|Blighter Undead Wild Shape Progression			BONUS:VAR|BlighterUndeadWildShape|CL								
4	CAST:6,3,2,1,0			ABILITY:Special Ability|AUTOMATIC|Speak with Dead Animals|Blighter Speak with Dead Animals											
5	CAST:6,3,3,2,1,0			ABILITY:Special Ability|AUTOMATIC|Contagious Touch|Blighter Contagious Touch			BONUS:VAR|BlighterContagiousTouchLVL|CL								
6	CAST:6,3,3,3,2,1,0														
7	CAST:6,4,3,3,3,2,1,0														
8	CAST:6,4,4,3,3,3,2,1,0			ABILITY:Special Ability|AUTOMATIC|Unbond|Blighter Unbond											
9	CAST:6,5,4,4,4,4,3,2,1,0														
10	CAST:6,5,5,4,4,4,4,3,2,1			ABILITY:Special Ability|AUTOMATIC|Plague|Blighter Plague											
#															
CLASS:Church Inquisitor	HD:8	TYPE:Prestige	ABB:Inq	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE						
CLASS:Church Inquisitor	PREALIGN:LG,LN	PRECHECKBASE:1,Will=3	PRESKILL:3,Knowledge (Arcana)=4,Knowledge (Religion)=4,Spellcraft=4	PRESPELL:1,Zone of Truth	PRESPELLTYPE:1,Divine=1	PRETEXT:Must uncover some corruption within a lawful chirch or religious order									
CLASS:Church Inquisitor	STARTSKILLPTS:4	CSKILL:Bluff|Concentration|Decipher Script|Diplomacy|Gather Information|Intimidate|Knowledge (Arcana)|Knowledge (Local)|Knowledge (The Planes)|Knowledge (Religion)|Search|Sense Motive|Spellcraft|Spot													
1	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Detect Evil		DOMAIN:Inquisition	BONUS:DOMAIN|NUMBER|1	BONUS:VAR|DetectEvilLVL|CL							
2	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Immunity To Charm Effects											
3	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Pierce Illusion											
4	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Pierce Disguise											
5	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Immunity To Compulsion											
6	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Force Shapechange											
7	ADD:SPELLCASTER|Divine														
8	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Immunity to Possession											
9	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Discern Lies|Church Inquisitor Discern Lies											
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Learn the Truth			BONUS:VAR|LearnTruthTimes|3	BONUS:VAR|LearnTruthDC|CL							
#															
###TODO CONTIGUOUS:Paladin															
CLASS:Consecrated Harrier	HD:10	TYPE:Prestige	ABB:Coh	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE						
CLASS:Consecrated Harrier	PREALIGN:LG,LN,LE	PREATT:5	PRESKILL:2,Disguise=5,Gather Information=5	PREFEAT:1,Track	PRETEXT:The candidate must accept an assignment from her church to locate and destroy some specific, individual enemy of the church. A character who fails must wait a year and a day before applying again. If she succeeds, the church accepts her as a consecrated harrier.										
CLASS:Consecrated Harrier	STARTSKILLPTS:4	CSKILL:Bluff|Climb|Diplomacy|Disguise|Gather Information|Intimidate|Knowledge (Local)|TYPE.Profession|Ride|Search|Use Rope	SPELLSTAT:WIS	SPELLTYPE:Divine		KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4	BONUS:CASTERLEVEL|Consecrated Harrier|CL	SPELLLIST:2|Consecrated Harrier|Ranger							
1	CAST:0,0			ABILITY:Special Ability|AUTOMATIC|Blessing of Scripture|Consecrated Harrier Blessing of the Scripture|Detect Chaos			BONUS:VAR|ConsecratedHarrierBlessingLVL|CL	BONUS:VAR|DetectChaosLVL|CL							
2	CAST:0,1			ABILITY:Special Ability|AUTOMATIC|Sanctified Sight|Consecrated Harrier Sanctified Sight											
3	CAST:0,1,0			ABILITY:Special Ability|AUTOMATIC|Dispel Magic|Consecrated Harrier Dispel Magic											
4	CAST:0,1,1			ABILITY:Special Ability|AUTOMATIC|Crushing Despair (Sp)			BONUS:VAR|CrushingDespairPerDay|max(WIS,1)	BONUS:VAR|CrushingDespairLVL|CL							
5	CAST:0,1,1,0														
6	CAST:0,1,1,1			ABILITY:Special Ability|AUTOMATIC|False Vision|Consecrated Harrier False Vision											
7	CAST:0,2,1,1,0														
8	CAST:0,2,1,1,1			ABILITY:Special Ability|AUTOMATIC|Implacable Hunt											
9	CAST:0,2,2,1,1														
10	CAST:0,2,2,2,1			ABILITY:Special Ability|AUTOMATIC|Faultless Hunt											
#															
CLASS:Contemplative	HD:6	TYPE:Prestige	ABB:Con	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE						
CLASS:Contemplative	PRESKILL:1,Knowledge (Religion)=13	PRESPELLCAST:TYPE=Divine	PRETEXT:Must have had direct contact with one's patron deity or a direct servant of that deity, or with an enlightened being embodying the highest principles of an alignment (a solar, for example).												
CLASS:Contemplative	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Heal|Intimidate|Knowledge (Religion)|TYPE.Profession|Sense Motive|Spellcraft													
1	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Divine Health		BONUS:DOMAIN|NUMBER|1									
2	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Slippery Mind											
3	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Divine Wholeness			BONUS:VAR|DivineWholenessLVL|CL								
4	ADD:SPELLCASTER|Divine														
5	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Divine Body											
6	ADD:SPELLCASTER|Divine					BONUS:DOMAIN|NUMBER|1									
7	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Divine Soul|Contemplative Divine Soul			BONUS:VAR|ContemplativeDivineSoulLVL|CL								
8	ADD:SPELLCASTER|Divine														
9	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Eternal Body			TEMPLATE:Eternal Body								
10	ADD:SPELLCASTER|Divine			ABILITY:Special Ability|AUTOMATIC|Mystic Union											
#															
CLASS:Divine Crusader	HD:8	TYPE:Prestige	ABB:Dic	MAXLEVEL:10	SOURCEPAGE:CD	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL/3*4|TYPE=Base.REPLACE	EXCLASS:Ex Divine Crusader					
CLASS:Divine Crusader	PREALIGN:Deity	PREATT:7	PRESKILL:1,Knowledge (Religion)=2	PREFEAT:1,Weapon Focus	PRETEXT:Weapon Focus in a deity favored weapon
CLASS:Divine Crusader	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Diplomacy|Intimidate|Jump|Knowledge (Religion)|Ride|Swim	SPELLSTAT:WIS	SPELLTYPE:Divine			BONUS:CASTERLEVEL|Divine Crusader|CL								
###Block: Aura strength															
