SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net																								
																										
###Block: AB																										
# Spell Name	Output Name	Spell Variations	Type	Classes of caster	Domains granting the spell	School	Sub-School	Spell Descriptors	Components	Casting Time	Range	Target Area or Effect		Duration	Save Info	Spell Resistance	Description	Source Page	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose
Detect Undead.COPY=Detect Spirits																										
Detect Spirits.MOD	CLASSES:.CLEARALL	SOURCEPAGE:CD																								
#																										
Anger of the Noonday Sun			TYPE:Divine	CLASSES:Druid=6		SCHOOL:Evocation		DESCRIPTOR:Light	COMPS:V, S	CASTTIME:1 standard action	RANGE:10 ft.	TARGETAREA:All sighted creature within 10-ft-radius burst centered on you		DURATION:Instantaneous	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Blinds creatures within 10 ft	SOURCEPAGE:CD								
Awaken (Mass)	OUTPUTNAME:Awaken, Mass		TYPE:Divine	CLASSES:Druid=8		SCHOOL:Transmutation			COMPS:V, S, F, XP	CASTTIME:24 hours	RANGE:Medium	TARGETAREA:One animal or tree/three levels, no two of wich may be more than 30 ft apart		DURATION:Instantaneous	SAVEINFO:See text	SPELLRES:Yes	DESC:As Awaken, but multiple creatures	SOURCEPAGE:CD			XPCOST:250					
Bane Bow			TYPE:Divine	CLASSES:Ranger=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Ranged weapon touched		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Weapon becomes +5 bane against favored enemy	SOURCEPAGE:CD								
Beast Claw			TYPE:Divine	CLASSES:Cleric=4|Druid=3		SCHOOL:Transmutation			COMPS:V, S, M	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Your hands become slashing natural weapons	SOURCEPAGE:CD								
Beget Bogun			TYPE:Divine	CLASSES:Druid=1		SCHOOL:Conjuration	SUBSCHOOL:Creation		COMPS:V, S, M, XP	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Tiny construct		DURATION:Instantaneous	SAVEINFO:None	SPELLRES:No	DESC:You create a Tiny nature servant	SOURCEPAGE:CD			XPCOST:25					
Bestow Curse (Greater)	OUTPUTNAME:Bestow Curse, Greater		TYPE:Arcane.Divine	CLASSES:Bard=6|Cleric=7|Sorcerer,Wizard=8		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched		DURATION:Permanent	SAVEINFO:Will negates	SPELLRES:Yes	DESC:As Bestow Curse, but more severe penalty	SOURCEPAGE:CD								
Binding Winds			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One creature		DURATION:Concentration	SAVEINFO:Reflex negates	SPELLRES:Yes	DESC:Air prevents target from moving, hinders ranged attacks	SOURCEPAGE:CD								
