SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net										
#												
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE
# Class Name req	Requirements	FINE										
# Class Name 3	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE			
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST						
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SA)	(SA)	(DOMAIN)	(BONUS)			(DEFINE)		
CLASS:Bear Warrior	HD:12	TYPE:Prestige.Oriental	ABB:BeW	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Bear Warrior	PREATT:7	PREFEAT:1,Power Attack	PREABILITY:1,CATEGORY=Special Ability,Rage,Frenzy									
CLASS:Bear Warrior	STARTSKILLPTS:4	CSKILL:Climb|Handle Animal|Intimidate|Jump|Listen|Ride|Survival|Swim										
1				ABILITY:Special Ability|AUTOMATIC|Bear Form|Bear Warrior Bear Form|Bear Warrior Black Bear Form			BONUS:VAR|BarWarriorBearFormLVL|CL					
2												
3				ABILITY:Special Ability|AUTOMATIC|Scent								
4												
5				ABILITY:Special Ability|AUTOMATIC|Bear Warrior Brown Bear Form								
6												
7				ABILITY:Special Ability|AUTOMATIC|Bear Warrior Rage								
8												
9												
10				ABILITY:Special Ability|AUTOMATIC|Bear Warrior Dire Bear Form								
#												
CLASS:Bladesinger	HD:8	TYPE:Prestige	ABB:Bld	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Bladesinger	PREATT:5	PREMULT:1,[PRERACE:1,Elf%,Half-Elf],[PRERACE:1,RACESUBTYPE=Elf]	PRESKILL:4,Balance=2,Perform (Dance)=2,Perform (Sing)=2,Tumble=2	PRESKILL:1,Concentration=4	PREFEAT:3,Combat Casting,Combat Expertise,Dodge	PREFEAT:1,Weapon Focus(Longsword),Weapon Focus(Rapier)	PRESPELLCAST:TYPE=Arcane	PRESPELLTYPE:1,Arcane=1				
CLASS:Bladesinger	STARTSKILLPTS:2	CSKILL:Balance|Concentration|Jump|Knowledge (Arcana)|TYPE.Perform|Spellcraft|Tumble										
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Bladesinger										
#												
1	ADD:SPELLCASTER|Arcane			ABILITY:Special Ability|AUTOMATIC|Bladesong Style|Bladesinger Baldesong Style			BONUS:VAR|BladesingerBladesongStyleLVL|CL					
2				ABILITY:Special Ability|AUTOMATIC|Lesser Spellsong								
3	ADD:SPELLCASTER|Arcane											
4				ABILITY:Special Ability|AUTOMATIC|Song of Celerity			BONUS:VAR|SongOfCelerityPerDay|1	BONUS:VAR|SongOfCelerityPower|CL/4				
5	ADD:SPELLCASTER|Arcane											
6				ABILITY:Special Ability|AUTOMATIC|Greater Spellsong								
7	ADD:SPELLCASTER|Arcane											
8												
9	ADD:SPELLCASTER|Arcane											
10				ABILITY:Special Ability|AUTOMATIC|Song of Fury								
#												
###TODO CONTIGUOUS:Paladin												
CLASS:Cavalier	HD:10	TYPE:Prestige	ABB:Cav	MAXLEVEL:10	SOURCEPAGE:CW	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/2+2	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE			
CLASS:Cavalier	PREALIGN:LG,LN,LE	PREATT:8	PRESKILL:2,Handle Animal=4,Knowledge (Nobility and Royalty)=4	PRESKILL:1,Ride=6	PREFEAT:4,Spirited Charge,Weapon Focus(Lance),Mounted Combat,Ride By Attack							
CLASS:Cavalier	STARTSKILLPTS:2	CSKILL:Diplomacy|Handle Animal|Intimidate|Knowledge (Nobility and Royalty)|TYPE.Profession|Ride										
1		ABILITY:Special Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Cavalier										
#												
