SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net																									
																											
# Equipment Name	Output Name	Required Proficiency	Type	Cost	Weight	Wield Category	Slot Needed	Size	Damage	Critical Hit Range	Critical Hit Multiplier	Modifier	Alternative Type	Alternative Damage	Alternative Critical Range	Alternative Critical	Alternative Modifier		Range	Reach	Reach Multiplier			BONUS:EQM	Special Property	Weapon prop. bonus	
Buckler Axe (Dwarven)	OUTPUTNAME:Buckler-Axe, Dwarven	PROFICIENCY:WEAPON|Buckler Axe (Dwarven)	TYPE:Weapon.Exotic.Melee.Standard.Slashing.Light.Dwarven.Axe	COST:20	WT:4	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL						SOURCEPAGE:CW							SPROP:Penalty when wielded		
Lightblade (Elven)	OUTPUTNAME:Lightblade, Elven	PROFICIENCY:WEAPON|Lightblade (Elven)	TYPE:Weapon.Exotic.Melee.Standard.Piercing.Light.Elven.Sword	COST:50	WT:1	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:3	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:CW									
Tortoise Blade (Gnome)	OUTPUTNAME:Tortoise Blade, Gnomish	PROFICIENCY:WEAPON|Tortoise Blade (Gnome)	TYPE:Weapon.Exotic.Melee.Standard.Piercing.Light.Gnomish.Dagger	COST:10	WT:3	WIELD:Light		SIZE:M	DAMAGE:1d6	CRITRANGE:2	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:CW									
Maul		PROFICIENCY:WEAPON|Maul	TYPE:Weapon.Exotic.Martial.Melee.Standard.Bludgeoning.TwoHanded.Mace	COST:15	WT:20	WIELD:TwoHanded		SIZE:M	DAMAGE:1d10	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL						SOURCEPAGE:CW								BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Maul)	
Pick (Dire)	OUTPUTNAME:Pick, Dire	PROFICIENCY:WEAPON|Pick (Dire)	TYPE:Weapon.Martial.Exotic.Melee.Standard.Piercing.TwoHanded.Pick	COST:30	WT:12	WIELD:TwoHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x4	EQMOD:STEEL						SOURCEPAGE:CW								BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Pick (Dire))	
Scourge		PROFICIENCY:WEAPON|Scourge	TYPE:Weapon.Exotic.Melee.Standard.Slashing.OneHanded.Whip	COST:20	WT:2	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:CW							SPROP:+2 bonus on opposed attack roll when disarming an opponent		
Thinblade (Elven)	OUTPUTNAME:Thinblade, Elven	PROFICIENCY:WEAPON|Thinblade (Elven)	TYPE:Weapon.Exotic.Melee.Standard.Piercing.OneHanded.Elven.Sword	COST:100	WT:3	WIELD:OneHanded		SIZE:M	DAMAGE:1d8	CRITRANGE:3	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:CW									
Warmace		PROFICIENCY:WEAPON|Warmace	TYPE:Weapon.Martial.Exotic.Melee.Standard.Bludgeoning.TwoHanded.Mace	COST:25	WT:10	WIELD:TwoHanded		SIZE:M	DAMAGE:1d12	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:CW								BONUS:WEAPON|WIELDCATEGORY|-1|PREFEAT:1,Exotic Weapon Proficiency(Warmace)	BONUS:COMBAT|AC|-1|PREEQUIPPRIMARY:1,Warmace
Greatspear		PROFICIENCY:WEAPON|Greatspear	TYPE:Weapon.Exotic.Melee.Ranged.Standard.Piercing.TwoHanded.Reach.Spear	COST:25	WT:9	WIELD:TwoHanded		SIZE:M	DAMAGE:2d6	CRITRANGE:1	CRITMULT:x3	EQMOD:WOOD						SOURCEPAGE:CW	RANGE:10		REACHMULT:2						
Hammer (Double)	OUTPUTNAME:Hammer, Double	PROFICIENCY:WEAPON|Hammer (Double)	TYPE:Weapon.Exotic.Melee.Double.Standard.Bludgeoning.Hammer	COST:70	WT:18	WIELD:TwoHanded	SLOTS:2	SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x3	EQMOD:STEEL	ALTTYPE:Melee.Exotic.Bludgeoning.Hammer	ALTDAMAGE:1d8	ALTCRITRANGE:1	ALTCRITMULT:x3	ALTEQMOD:STEEL	SOURCEPAGE:CW									
Lajatang		PROFICIENCY:WEAPON|Lajatang	TYPE:Weapon.Exotic.Melee.Standard.Slashing.TwoHanded.Double.Quarterstaff	COST:90	WT:7	WIELD:TwoHanded	SLOTS:2	SIZE:M	DAMAGE:1d8	CRITRANGE:1	CRITMULT:x2	EQMOD:WOOD	ALTTYPE:Melee.Exotic.Slashing.Quarterstaff	ALTDAMAGE:1d8	ALTCRITRANGE:1	ALTCRITMULT:x2	ALTEQMOD:WOOD	SOURCEPAGE:CW									
Mancatcher		PROFICIENCY:WEAPON|Mancatcher	TYPE:Weapon.Exotic.Melee.Standard.Bludgeoning.TwoHanded.Double.Reach	COST:20	WT:8	WIELD:TwoHanded		SIZE:M	DAMAGE:1d4	CRITRANGE:1	CRITMULT:x2	EQMOD:STEEL						SOURCEPAGE:CW			REACHMULT:2						
