SOURCELONG:Dungeon's Master Guide	SOURCESHORT:DMG2	SOURCEWEB:http://www.gozzilioni.net																														
																																
# Modifier Name	Naming Option	Unique Key	Type														Cost		Visible		Type granted	Source Page				Prohibited Type						Apply to both heads
#Wood	NAMEOPT:NORMAL	KEY:WOOD	TYPE:BaseMaterial.Mundane.Ammunition.Armor.Shield.Weapon.Instruments.Tools.Goods	COST:0	VISIBLE:QUALIFY	ITYPE:Wooden	SOURCEPAGE:RSRD Equipment.rtf	!PRETYPE:EQMODTYPE=Mundane	!PRETYPE:1,Metal	ASSIGNTOALL:YES																						
#Steel	NAMEOPT:NORMAL	KEY:STEEL	TYPE:BaseMaterial.Mundane.Ammunition.Armor.Shield.Weapon.Instruments.Tools.Goods	COST:0	VISIBLE:QUALIFY	ITYPE:Metal	SOURCEPAGE:RSRD Equipment.rtf	!PRETYPE:EQMODTYPE=Mundane	!PRETYPE:1,Wooden																							
Feycraft	NAMEOPT:NORMAL	KEY:FEYCRAFT_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:1500	VISIBLE:QUALIFY	ITYPE:Templated.Feycraft.Fineassable	SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Weapon],[PRETYPE:1,Light,OneHanded]	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:-1 hardness	BONUS:COMBAT|DAMAGESIZE|-1	BONUS:EQM|WEIGHTMULT|0.9														
Feycraft	NAMEOPT:NORMAL	KEY:FEYCRAFT_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:500	VISIBLE:QUALIFY	ITYPE:Templated.Feycraft	SOURCEPAGE:DMG2	PREMULT:2,[PRETYPE:1,Armor],[PRETYPE:1,Light,Medium]	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:-5 hp/inch and -1 hardness	BONUS:MISC|SPELLFAILURE|-5	BONUS:EQM|WEIGHTMULT|0.9														
Feycraft	NAMEOPT:NORMAL	KEY:FEYCRAFT_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:500	VISIBLE:QUALIFY	ITYPE:Templated.Feycraft	SOURCEPAGE:DMG2	PRETYPE:2,Shield,EQMOD=WOOD	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:-5 hp/inch and -1 hardness	BONUS:MISC|SPELLFAILURE|-5	BONUS:EQM|WEIGHTMULT|0.9														
# Modifier Name																																
Fireshaped	NAMEOPT:NORMAL	KEY:FIRESHAPE_W	TYPE:BaseMaterial.SpecialMaterial.Ammunition.Weapon	COST:800	VISIBLE:QUALIFY	ITYPE:Templated.Fireshaped	SOURCEPAGE:DMG2	PRETYPE:2,Weapon,EQMOD=STEEL	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+1 damage to creatures with Cold subtype.																
Fireshaped	NAMEOPT:NORMAL	KEY:FIRESHAPE_AR	TYPE:BaseMaterial.SpecialMaterial.Armor	COST:300	VISIBLE:QUALIFY	ITYPE:Templated.Fireshaped	SOURCEPAGE:DMG2	PRETYPE:2,Armor,EQMOD=STEEL	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+2 bonus on saving throw against fire effects.																
Fireshaped	NAMEOPT:NORMAL	KEY:FIRESHAPE_SH	TYPE:BaseMaterial.SpecialMaterial.Shield	COST:300	VISIBLE:QUALIFY	ITYPE:Templated.Fireshaped	SOURCEPAGE:DMG2	PRETYPE:2,Shield,EQMOD=STEEL	!PRETYPE:1,Templated	ASSIGNTOALL:YES						SPROP:+2 bonus on saving throw against fire effects.																
# Modifier Name																																
