SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net														
																
###Block:Alchemical Stuff and Liquids																
# Equipment Name		Type	Cost	Weight	Source Page	Quality and value										
Undead Graft (Demon Claw)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.UndeadGraft	COST:0	WT:0.00	SOURCEPAGE:FFo			PRERACE:1,Golem (Demonflesh)			ABILITY:Special Ability|VIRTUAL|Undead Graft ~ Demon Claw	BONUS:WEAPONPROF=Claw|DAMAGE|(STR/2*3)*(-1)+(35/2*3)				
Undead Graft (Whip Tail)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.UndeadGraft	COST:0	WT:0.00	SOURCEPAGE:FFo			PRERACE:1,Golem (Demonflesh)		SPROP:Daze ~ fullround action (Fort DC 11)	ABILITY:Special Ability|VIRTUAL|Undead Graft ~ Whip Tail					
Undead Graft (Fast Leg)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.UndeadGraft	COST:0	WT:0.00	SOURCEPAGE:FFo			PRERACE:1,Golem (Demonflesh)			BONUS:SKILL|Climb,Jump|5|TYPE=Racial					
Maug Graft (Locking Hand)	OUTPUTNAME:[NAME]	TYPE:Glove.Resizable.Graft.MaugGraft	COST:2000	WT:0.00	SOURCEPAGE:FFo					SPROP:+5 bonus on any roll to avoid being disarmed.						
Maug Graft (Rollers)	OUTPUTNAME:[NAME]	TYPE:Legwear.Resizable.Graft.MaugGraft	COST:10000	WT:0.00	SOURCEPAGE:FFo		BONUS:SLOTS|BOOT|-2	BONUS:MOVEADD|TYPE.Walk|20	BONUS:SKILL|Climb,Ride,Swim|-8	ABILITY:Special Ability|VIRTUAL|Trample						
Maug Graft (Shoving Hand)	OUTPUTNAME:[NAME]	TYPE:Glove.Resizable.Graft.MaugGraft	COST:2000	WT:0.00	SOURCEPAGE:FFo					SPROP:push objects or enemies with STR = %|10+STR						
Maug Graft (Shudder Plate)	OUTPUTNAME:[NAME]	TYPE:Shirt.Resizable.Graft.MaugGraft	COST:8000	WT:0.00	SOURCEPAGE:FFo			BONUS:SKILL|Move Silently|-4		VISION:Tremorsense (15')						
Maug Graft (Spike Stones)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.MaugGraft	COST:4000	WT:0.00	SOURCEPAGE:FFo											
Maug Graft (Stone Spitter)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.MaugGraft	COST:2000	WT:0.00	SOURCEPAGE:FFo											
Aboleth Graft (Aboleth Tentacle)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:50000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh	SPROP:tentacle STR = %|STRSCORE+4	ABILITY:Special Ability|VIRTUAL|Slime|Aboleth Graft ~ Tentacle					
Aboleth Graft (Aboleth Mucus Sheath)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:5000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh		BONUS:MOVEADD|TYPE.Swim|10	BONUS:SKILL|Escape Artist|10|TYPE=Circumstance				
Aboleth Graft (Aboleth Skum Eyes)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:600	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh		BONUS:SKILL|Spot|2|TYPE=Racial					
Aboleth Graft (Aboleth Skum Tail)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.AbolethGraft	COST:6000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Aboleth Flesh	PREFEAT:1,Graft Flesh		MOVE:Swim,40	ABILITY:Special Ability|VIRTUAL|Aboleth Skum Tail Skills				
Beholder Graft (Beholder Crown of Eyes)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.BeholderGraft	COST:60000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Beholder Flesh	PREFEAT:1,Graft Flesh		VISION:Darkvision (60')	ABILITY:Special Ability|VIRTUAL|All-Around Vision	BONUS:SKILL|Search,Spot|4|TYPE=Racial			
Beholder Graft (Beholder Eye Stalk)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.BeholderGraft	COST:195000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Beholder Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Eye Rays	ABILITY:Special Ability|VIRTUAL|All-Around Vision	BONUS:SKILL|Search,Spot|4|TYPE=Racial			
Beholder Graft (Beholder Gazing Eye)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.BeholderGraft	COST:195000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Beholder Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Gaze					
Beholder Graft (Beholder Plated Skin)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.BeholderGraft	COST:64000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Beholder Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|CA|4|TYPE=NaturalArmor.STACK					
Beholder Graft (Beholder Replacement Eye)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.BeholderGraft	COST:195000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Beholder Flesh	PREFEAT:1,Graft Flesh	SPROP:1/day	ABILITY:Special Ability|VIRTUAL|Eye Rays					
Beholder Graft (Beholder Third Eye)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.BeholderGraft	COST:165000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Beholder Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|Antimagic Cone					
Fiendish Graft (Fiendish Charming Eye)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:120000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh	SPROP:See in darkness.	ABILITY:Special Ability|VIRTUAL|Charming Gaze	BONUS:VAR|CharmingGazeDC|14				
Fiendish Graft (Fiendish Clawed Arm)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:50000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh	SPROP:Clawed Arm STR = %|STRSCORE+4		ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Clawed Arm				
Fiendish Graft (Fiendish Fast Leg)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:4000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		BONUS:MOVEADD|TYPE.Walk|10|PREVARLT:var("COUNT[EQTYPE.ARMOR.IS.MEDIUM]"),1	BONUS:SKILL|Climb,Jump|5|TYPE=Competence				
Fiendish Graft (Fiendish Fearsome Eye)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:120000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		ABILITY:Special Ability|VIRTUAL|See Invisibility|Paralyzing Gaze					
Fiendish Graft (Fiendish Feathered Wing)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:10000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		MOVECLONE:Walk,Fly,*2	ABILITY:Special Ability|VIRTUAL|Flight Maneuverability	BONUS:VAR|Maneuverability|3			
Fiendish Graft (Fiendish Ear)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:2500	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		BONUS:SKILL|Listen|4|TYPE=Racial	VFEAT:Blind Fight				
Fiendish Graft (Fiendish Jaws)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:2000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh			ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Jaws				
Fiendish Graft (Fiendish Skin)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:55000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh		BONUS:COMBAT|CA|1|TYPE=NaturalArmor.STACK	BONUS:STAT|DEX|2|TYPE=Inherent	VISION:Darkvision (60')	ABILITY:Special Ability|VIRTUAL|Poison (Sp)	DEFINE:PoisonPerDay|1	DEFINE:PoisonLVL|16
Fiendish Graft (Fiendish Flexible Arm)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:27000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh	SPROP:three fingered. Useable as a normal arm.		ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Flexible Arm				
Fiendish Graft (Fiendish Grappling Tentacle)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:20000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh	SPROP:barbed hook. Grappling Tentacle STR = %. Grapple bonus +4|STRSCORE+4		ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Grappling Tentacle				
Fiendish Graft (Fiendish Long Arm)	OUTPUTNAME:[NAME]	TYPE:Goods.Resizable.Graft.FiendishGraft	COST:5000	WT:0.00	SOURCEPAGE:FFo			PREABILITY:1,CATEGORY=Special Ability,Graft Fiendish Flesh	PREFEAT:1,Graft Flesh	SPROP:reach weapon.		ABILITY:Special Ability|VIRTUAL|Fiendish Graft ~ Long Arm				
