SOURCELONG:Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Beholder	CATEGORY:Internal	TYPE:Special	AUTO:LANG|Beholder|Common	AUTO:FEAT|Alertness	ABILITY:Special Ability|AUTOMATIC|Beholder ~ Eye Rays|Beholder ~ All-Around Vision|Beholder ~ Flight|Flight Maneuverability	ABILITY:Special Ability|AUTOMATIC|Beholder ~ Antimagic Cone|PRERACE:2,RACESUBTYPE=Beholder,RACESUBTYPE=TrueBeholder	ABILITY:Special Ability|AUTOMATIC|Beholder ~ Stunning Gaze|PRERACE:2,RACESUBTYPE=Beholder,RACESUBTYPE=LesserBeholder																									
Eye Rays	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Each of a Veholder's small eyes can produce a magical ray once per round as a free action.	KEY:Beholder ~ Eye Rays																											SOURCEPAGE:MM
Flight	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES		KEY:Beholder ~ Flight									BONUS:VAR|Maneuverability|4|TYPE=Racial																		SOURCEPAGE:MM
All-Around Vision	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:can't be flanked.	KEY:Beholder ~ All-Around Vision									BONUS:SKILL|Spot,Search|4|TYPE=Racial																		SOURCEPAGE:MM
Antimagic Cone	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A Beholder's central eye continually produces a 150-ft cone of antimagic.	KEY:Beholder ~ Antimagic Cone																											SOURCEPAGE:MM
Stunning Gaze	CATEGORY:Special Ability	TYPE:BeholderRaceTrait.SpecialQuality.Supernatural.Gaze	VISIBLE:YES	DESC:Stun for 1 round, 30-feet radius. Will DC %1 negates.|DefaultDCCha	KEY:Beholder ~ Stunning Gaze																											SOURCEPAGE:MM
																																
Race Traits ~ Carrion Crawler	CATEGORY:Internal	TYPE:Special	AUTO:FEAT|Alertness	ABILITY:Special Ability|AUTOMATIC|Carrion Crawler ~ Paralysis|Scent|Carrion Crawler ~ Skills																												
Paralysis	CATEGORY:Special Ability	TYPE:CarrionCrawlerRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Tentacle. Fort DC %1 or paralyzed for 2d4 rounds.|ParalysisDC	KEY:Carrion Crawler ~ Paralysis				DEFINE:ParalysisDC|0					BONUS:VAR|ParalysisDC|DefaultDCCon	BONUS:VAR|ParalysisDC|2|PREFEAT:1,Ability Focus(Paralysis)								ABILITY:Ability Focus|AUTOMATIC|Paralysis									SOURCEPAGE:MM
Skills	CATEGORY:Special Ability	TYPE:CarrionCrawlerRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+8 racial bonus on Climb checks and can always choose to take 10 on Climb checks even if rushed od threatened.	KEY:Carrion Crawler ~ Skills									BONUS:SKILL|Climb|8|TYPE=Racial																		SOURCEPAGE:MM
																																
CATEGORY=Internal|Race Traits ~ Giant Eagle.MOD	ABILITY:Special Ability|AUTOMATIC|Giant Eagle ~ Training																															
